table_name,dataset_name,evaluation_region,mask_type,category,lama_applicability,metric,row_count,mean_value,median_value,std_value,min_value,max_value,positive_improvement_count,negative_improvement_count,zero_improvement_count,positive_improvement_share
dataset_mask_type_by_region,canonical,masked_region,scratch_thin,,,mae_improvement,50,150.70430602550508,156.22354793548584,42.88238660478206,36.96601915359497,227.52654552459717,50,0,0,1.0
dataset_mask_type_by_region,canonical,boundary_region,scratch_thin,,,mae_improvement,50,55.2384279179573,59.037877202034,15.895632979062528,14.826958060264587,87.65328741073608,50,0,0,1.0
dataset_mask_type_by_region,canonical,outside_mask_region,scratch_thin,,,mae_improvement,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0
dataset_mask_type_by_region,canonical,mask_bbox_crop,scratch_thin,,,mae_improvement,50,3.3077219698578118,3.3044869899749756,1.1963201766939249,0.524274755269289,6.312008284032345,50,0,0,1.0
dataset_mask_type_by_region,canonical,full_image,zero_control,,,mae_improvement,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0
dataset_mask_type_by_region,canonical,content_region,zero_control,,,mae_improvement,50,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0
dataset_mask_type_by_region,damage_size,full_image,,,,mae_improvement,35,10.069805905542204,7.880039155483246,8.003454861227759,1.3691829442977905,36.38330852985382,35,0,0,1.0
dataset_mask_type_by_region,damage_size,content_region,,,,mae_improvement,35,13.164582679952893,10.19222104549408,9.689809922166464,1.8867457956075668,42.14537465572357,35,0,0,1.0
dataset_mask_type_by_region,damage_size,masked_region,,,,mae_improvement,35,140.8279470716204,128.1334743499756,40.829133990969986,89.72101974487305,210.4577751159668,35,0,0,1.0
dataset_mask_type_by_region,damage_size,boundary_region,,,,mae_improvement,35,75.14558936868396,71.82702398300171,20.709474778784532,46.6223931312561,111.11152529716492,35,0,0,1.0
dataset_mask_type_by_region,damage_size,outside_mask_region,,,,mae_improvement,35,0.0,0.0,0.0,0.0,0.0,0,0,35,0.0
dataset_mask_type_by_region,damage_size,mask_bbox_crop,,,,mae_improvement,35,75.55045106751578,66.8942437171936,24.18921826249439,42.08711862564087,118.58244800567627,35,0,0,1.0
dataset_mask_type_by_region,mask_robustness,full_image,,,,mae_improvement,75,7.304962599923213,4.8793977200984955,5.664359076292129,1.3273247629404068,22.895330667495728,75,0,0,1.0
