case_id,dataset_name,painting_id,mask_id,mask_type,evaluation_region,method,source_id,source_relative_path,metric_family,metric_column,metric_name,metric_value_type,metric_direction,metric_value,metric_value_is_numeric,status,issue,restored_path
canonical__p003_loss_large,canonical,p003,p003_loss_large,loss_large,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,37.69424353931396,True,ok,,
canonical__p003_loss_large,canonical,p003,p003_loss_large,loss_large,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,77.84809573724668,True,ok,,
canonical__p003_loss_large,canonical,p003,p003_loss_large,loss_large,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p003_loss_small,canonical,p003,p003_loss_small,loss_small,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,16.276838739150296,True,ok,,
canonical__p003_loss_small,canonical,p003,p003_loss_small,loss_small,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,2.142995894408252,True,ok,,
canonical__p003_loss_small,canonical,p003,p003_loss_small,loss_small,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,1.713280571831597,True,ok,,
canonical__p003_loss_small,canonical,p003,p003_loss_small,loss_small,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,3.4569444444444444,True,ok,,
canonical__p003_loss_small,canonical,p003,p003_loss_small,loss_small,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,46.779650032404405,True,ok,,
canonical__p003_loss_small,canonical,p003,p003_loss_small,loss_small,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p003_mixed_damage,canonical,p003,p003_mixed_damage,mixed_damage,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,9.627246018523495,True,ok,,
canonical__p003_mixed_damage,canonical,p003,p003_mixed_damage,mixed_damage,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,4.149957304107854,True,ok,,
canonical__p003_mixed_damage,canonical,p003,p003_mixed_damage,mixed_damage,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,3.3178044071903936,True,ok,,
canonical__p003_mixed_damage,canonical,p003,p003_mixed_damage,mixed_damage,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,4.197599027599027,True,ok,,
canonical__p003_mixed_damage,canonical,p003,p003_mixed_damage,mixed_damage,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,45.00116512594092,True,ok,,
canonical__p003_mixed_damage,canonical,p003,p003_mixed_damage,mixed_damage,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p003_scratch_thin,canonical,p003,p003_scratch_thin,scratch_thin,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,5.717731871462317,True,ok,,
canonical__p003_scratch_thin,canonical,p003,p003_scratch_thin,scratch_thin,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.3627418962631198,True,ok,,
canonical__p003_scratch_thin,canonical,p003,p003_scratch_thin,scratch_thin,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.2900045889395254,True,ok,,
canonical__p003_scratch_thin,canonical,p003,p003_scratch_thin,scratch_thin,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.3739815179209119,True,ok,,
