dataset_name,mask_type,prompt_variant_id,compared_pairs,source_cases,mean_delta_output_change_vs_generic,mean_abs_delta_output_change_vs_generic,validation_pass_rate,mean_runtime_seconds
mask_robustness,loss_small,p01_style_period,7,7,0.005028457237929805,0.01686039677372683,1.0,9.466661528571942
mask_robustness,loss_small,p02_artist,7,7,-0.07225585614562645,0.07749422265108283,1.0,9.44320541428793
mask_robustness,loss_small,p03_artist_style_period,7,7,-0.059804280598958544,0.06653994605654782,1.0,9.42282167142964
mask_robustness,loss_small,p04_full_context,7,7,-0.05467070725859787,0.07153837012235442,1.0,9.436248899998775
mask_robustness,scratch_thin,p01_style_period,5,5,-0.003313417787905326,0.010380384657118125,1.0,9.460011719996691
mask_robustness,scratch_thin,p02_artist,5,5,0.006380095305265998,0.019756740993923792,1.0,9.441505219999817
mask_robustness,scratch_thin,p03_artist_style_period,5,5,0.0006422254774304914,0.014442500361689925,1.0,9.436463960001129
mask_robustness,scratch_thin,p04_full_context,5,5,0.0014915183738423376,0.013774956597222276,1.0,9.446904980001273
synthetic_degradation,blur,p01_style_period,5,5,-0.1706842493127887,0.8273492883752886,1.0,9.518894560003536
synthetic_degradation,blur,p02_artist,5,5,-2.0033261899594903,2.3342601634837963,1.0,9.525479360003374
synthetic_degradation,blur,p03_artist_style_period,5,5,-1.3628663239655672,2.3084010371455443,1.0,9.501216939996812
synthetic_degradation,blur,p04_full_context,5,5,-1.673813092267072,2.755684972692419,1.0,9.517139100001078
synthetic_degradation,blur_fading,p01_style_period,5,5,-0.01860735857928253,0.07820502387152795,1.0,9.472574759999407
synthetic_degradation,blur_fading,p02_artist,5,5,-0.2985848885995371,0.4423633716724538,1.0,9.480103359997155
synthetic_degradation,blur_fading,p03_artist_style_period,5,5,-0.16387001320167838,0.33307687264901625,1.0,9.460672760001035
synthetic_degradation,blur_fading,p04_full_context,5,5,-0.32602742513020844,0.3712131076388888,1.0,9.473696500001825
synthetic_degradation,dirt_dust,p01_style_period,5,5,-0.005765222620081012,0.009092994972511547,1.0,9.438051740004449
synthetic_degradation,dirt_dust,p02_artist,5,5,-0.0012613932291666075,0.019691523799189835,1.0,9.442317659998661
synthetic_degradation,dirt_dust,p03_artist_style_period,5,5,0.003996785481770804,0.017640629521122664,1.0,9.420526240000617
synthetic_degradation,dirt_dust,p04_full_context,5,5,0.02149059154369217,0.02683794939959494,1.0,9.435020020004595
synthetic_degradation,discolouration,p01_style_period,6,6,0.19263241614824467,0.25552820276331034,1.0,9.481226566669648
synthetic_degradation,discolouration,p02_artist,6,6,0.06736406867886768,0.3497758088288483,1.0,9.457839900002
synthetic_degradation,discolouration,p03_artist_style_period,6,6,-0.08524991259162878,0.28529866536458365,1.0,9.427693566663946
synthetic_degradation,discolouration,p04_full_context,6,6,-0.0374877364547157,0.5549891907491802,1.0,9.471028683328768
synthetic_degradation,fading,p01_style_period,5,5,0.006296793619791607,0.1226546676070603,1.0,9.506841219999478
synthetic_degradation,fading,p02_artist,5,5,0.021081995081019222,0.9716403537326391,1.0,9.485169040004257
synthetic_degradation,fading,p03_artist_style_period,5,5,0.11551310221354161,0.8528937445746534,1.0,9.436283040000125
synthetic_degradation,fading,p04_full_context,5,5,0.06231757269965268,1.0435289171006947,1.0,9.511716960003833
synthetic_degradation,fading_discolouration,p01_style_period,5,5,-0.021603280526620507,0.06138961226851878,1.0,9.51173950000084
