summary_section,grouping_columns,summary_mask_type,summary_category,summary_style_or_period,summary_dataset_name,summary_damage_family,case_count,paired_restoration_cases,cases_with_main_local_metrics,lama_majority_cases,opencv_majority_cases,tie_majority_cases,mixed_or_no_vote_cases,needs_visual_review_cases,mixed_metric_winner_cases,family_disagreement_cases,region_disagreement_cases,mean_vote_margin_lama_minus_opencv,median_rank_change_lama_minus_opencv,opencv_runtime_median_seconds,lama_runtime_median_seconds,opencv_runtime_p95_seconds,lama_runtime_p95_seconds,opencv_deterministic_failure_cases,lama_deterministic_failure_cases,opencv_top_failure_patterns,lama_top_failure_patterns
by_category,summary_category,all,landscape_natural,all,all,all,82,82,82,64,6,10,2,82,72,48,69,7.512195121951219,0.0,0.43815049997647293,1.4609382327775366,0.5300684699701378,1.4609382327775366,0,10,success_or_not_flagged=82,success_or_not_flagged=72; issue:zero_control_copied_without_model_inference=10
by_category,summary_category,all,portrait_figure,all,all,all,82,82,82,59,10,10,3,82,72,39,71,7.390243902439025,0.0,0.5626403000205755,1.4609382327775366,0.68911847496056,1.4609382327775366,0,10,success_or_not_flagged=82,success_or_not_flagged=72; issue:zero_control_copied_without_model_inference=10
by_style_or_period,summary_style_or_period,all,all,18th century portraiture,all,all,5,5,5,4,0,1,0,5,4,2,4,8.8,0.0,0.4160513000097126,1.4609382327775366,0.48048429997870695,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_style_or_period,summary_style_or_period,all,all,19th century French painting,all,all,5,5,5,4,0,1,0,5,4,3,4,7.2,-8.0,0.3908537999959662,1.4609382327775366,0.48137290000449867,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_style_or_period,summary_style_or_period,all,all,19th century portraiture,all,all,5,5,5,4,0,1,0,5,4,1,4,9.6,0.0,0.3840182999847457,1.4609382327775366,0.42224768002051855,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_style_or_period,summary_style_or_period,all,all,Baroque,all,all,37,37,37,27,7,1,2,37,36,23,36,6.648648648648648,0.0,0.6130859999684617,1.4609382327775366,0.7309087999979963,1.4609382327775366,0,1,success_or_not_flagged=37,success_or_not_flagged=36; issue:zero_control_copied_without_model_inference=1
by_style_or_period,summary_style_or_period,all,all,Impressionism,all,all,15,15,15,12,0,3,0,15,12,7,12,8.8,-1.0,0.4447437000344507,1.4609382327775366,0.6319481699785683,1.4609382327775366,0,3,success_or_not_flagged=15,success_or_not_flagged=12; issue:zero_control_copied_without_model_inference=3
by_style_or_period,summary_style_or_period,all,all,Impressionism / modern French painting,all,all,5,5,5,4,0,1,0,5,4,2,4,10.4,-2.5,0.414332700020168,1.4609382327775366,0.476920320012141,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_style_or_period,summary_style_or_period,all,all,Impressionist outdoor figure painting,all,all,5,5,5,3,1,1,0,5,4,4,4,4.0,0.0,0.3931588999694213,1.4609382327775366,0.44912490000715477,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_style_or_period,summary_style_or_period,all,all,Modern French painting,all,all,5,5,5,4,0,1,0,5,4,3,4,8.0,0.0,0.3786885000299662,1.4609382327775366,0.4351780400029383,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_style_or_period,summary_style_or_period,all,all,Neoclassical,all,all,5,5,5,3,0,1,1,5,4,2,3,8.0,0.0,0.4607498000259511,1.4609382327775366,0.5973931799875573,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_style_or_period,summary_style_or_period,all,all,Neoclassical / early 19th century,all,all,5,5,5,3,1,1,0,5,4,1,4,8.8,1.0,0.5476225999882445,1.4609382327775366,0.6113189199706539,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_style_or_period,summary_style_or_period,all,all,Post-Impressionism,all,all,52,52,52,42,4,5,1,52,47,32,46,7.0,-1.25,0.4558701999776531,1.4609382327775366,0.6258721600170246,1.4609382327775366,0,4,success_or_not_flagged=52,success_or_not_flagged=48; issue:zero_control_copied_without_model_inference=4
by_style_or_period,summary_style_or_period,all,all,Realism / early modern French painting,all,all,5,5,5,4,0,1,0,5,4,1,4,11.2,0.0,0.5113206999958493,1.4609382327775366,0.5861904200166463,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_style_or_period,summary_style_or_period,all,all,Spanish portraiture,all,all,5,5,5,3,1,1,0,5,4,1,4,7.2,2.0,0.4909882000065408,1.4609382327775366,0.5508000000147149,1.4609382327775366,0,1,success_or_not_flagged=5,success_or_not_flagged=4; issue:zero_control_copied_without_model_inference=1
by_style_or_period,summary_style_or_period,all,all,unknown_style_or_period,all,all,256,256,256,180,32,36,8,256,219,135,212,6.7109375,0.0,0.43032424995908514,1.4609382327775366,0.5606778249930358,1.4609382327775366,0,32,success_or_not_flagged=256,success_or_not_flagged=224; issue:zero_control_copied_without_model_inference=32
by_dataset_name,summary_dataset_name,all,all,all,canonical,all,250,250,250,171,23,50,6,250,199,111,195,7.152,0.0,0.43705444998340676,1.4609382327775366,0.5945076649892144,1.4609382327775366,0,50,success_or_not_flagged=250,success_or_not_flagged=200; issue:zero_control_copied_without_model_inference=50
by_dataset_name,summary_dataset_name,all,all,all,damage_size,all,35,35,35,35,0,0,0,35,35,27,35,10.057142857142857,0.0,0.4591642000013962,1.4609382327775366,0.6539714200131128,1.4609382327775366,0,0,success_or_not_flagged=35,success_or_not_flagged=35
by_dataset_name,summary_dataset_name,all,all,all,mask_robustness,all,75,75,75,62,12,0,1,75,75,41,74,7.253333333333333,0.5,0.4458800000138581,1.4609382327775366,0.6674837500031572,1.4609382327775366,0,0,success_or_not_flagged=75,success_or_not_flagged=75
by_dataset_name,summary_dataset_name,all,all,all,synthetic_degradation,all,50,50,50,29,11,5,5,50,45,38,41,3.84,0.0,0.4590377499698661,1.4609382327775366,0.7492800300242378,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_damage_family,summary_damage_family,all,all,all,all,canonical,200,200,200,171,23,0,6,200,199,111,195,8.94,0.0,0.4463343499810435,1.4609382327775366,0.602777854973101,1.4609382327775366,0,0,success_or_not_flagged=200,success_or_not_flagged=200
by_damage_family,summary_damage_family,all,all,all,all,damage_size,35,35,35,35,0,0,0,35,35,27,35,10.057142857142857,0.0,0.4591642000013962,1.4609382327775366,0.6539714200131128,1.4609382327775366,0,0,success_or_not_flagged=35,success_or_not_flagged=35
by_damage_family,summary_damage_family,all,all,all,all,mask_robustness,75,75,75,62,12,0,1,75,75,41,74,7.253333333333333,0.5,0.4458800000138581,1.4609382327775366,0.6674837500031572,1.4609382327775366,0,0,success_or_not_flagged=75,success_or_not_flagged=75
by_damage_family,summary_damage_family,all,all,all,all,synthetic_degradation,50,50,50,29,11,5,5,50,45,38,41,3.84,0.0,0.4590377499698661,1.4609382327775366,0.7492800300242378,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_damage_family,summary_damage_family,all,all,all,all,zero_control,50,50,50,0,0,50,0,50,0,0,0,0.0,0.0,0.38879514997825027,0.0,0.5181875600013882,0.0,0,50,success_or_not_flagged=50,issue:zero_control_copied_without_model_inference=50
by_dataset_damage_family,"summary_dataset_name, summary_damage_family",all,all,all,canonical,canonical,200,200,200,171,23,0,6,200,199,111,195,8.94,0.0,0.4463343499810435,1.4609382327775366,0.602777854973101,1.4609382327775366,0,0,success_or_not_flagged=200,success_or_not_flagged=200
by_dataset_damage_family,"summary_dataset_name, summary_damage_family",all,all,all,canonical,zero_control,50,50,50,0,0,50,0,50,0,0,0,0.0,0.0,0.38879514997825027,0.0,0.5181875600013882,0.0,0,50,success_or_not_flagged=50,issue:zero_control_copied_without_model_inference=50
by_dataset_damage_family,"summary_dataset_name, summary_damage_family",all,all,all,damage_size,damage_size,35,35,35,35,0,0,0,35,35,27,35,10.057142857142857,0.0,0.4591642000013962,1.4609382327775366,0.6539714200131128,1.4609382327775366,0,0,success_or_not_flagged=35,success_or_not_flagged=35
by_dataset_damage_family,"summary_dataset_name, summary_damage_family",all,all,all,mask_robustness,mask_robustness,75,75,75,62,12,0,1,75,75,41,74,7.253333333333333,0.5,0.4458800000138581,1.4609382327775366,0.6674837500031572,1.4609382327775366,0,0,success_or_not_flagged=75,success_or_not_flagged=75
by_dataset_damage_family,"summary_dataset_name, summary_damage_family",all,all,all,synthetic_degradation,synthetic_degradation,50,50,50,29,11,5,5,50,45,38,41,3.84,0.0,0.4590377499698661,1.4609382327775366,0.7492800300242378,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_mask_damage_family,"summary_mask_type, summary_damage_family",loss_large,all,all,all,canonical,50,50,50,50,0,0,0,50,50,33,50,10.8,0.25,0.4829880500037689,1.4609382327775366,0.6516852150147315,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_mask_damage_family,"summary_mask_type, summary_damage_family",loss_small,all,all,all,canonical,50,50,50,49,0,0,1,50,49,20,48,12.96,0.25,0.4068963000026997,1.4609382327775366,0.5475252650066977,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_mask_damage_family,"summary_mask_type, summary_damage_family",mixed_damage,all,all,all,canonical,50,50,50,50,0,0,0,50,50,23,50,12.56,0.0,0.473158799984958,1.4609382327775366,0.6051824049762217,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_mask_damage_family,"summary_mask_type, summary_damage_family",scratch_thin,all,all,all,canonical,50,50,50,22,23,0,5,50,50,35,47,-0.56,0.0,0.4108263500093017,1.4609382327775366,0.5493201749923173,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_mask_damage_family,"summary_mask_type, summary_damage_family",unknown_mask,all,all,all,damage_size,35,35,35,35,0,0,0,35,35,27,35,10.057142857142857,0.0,0.4591642000013962,1.4609382327775366,0.6539714200131128,1.4609382327775366,0,0,success_or_not_flagged=35,success_or_not_flagged=35
by_mask_damage_family,"summary_mask_type, summary_damage_family",unknown_mask,all,all,all,mask_robustness,75,75,75,62,12,0,1,75,75,41,74,7.253333333333333,0.5,0.4458800000138581,1.4609382327775366,0.6674837500031572,1.4609382327775366,0,0,success_or_not_flagged=75,success_or_not_flagged=75
by_mask_damage_family,"summary_mask_type, summary_damage_family",unknown_mask,all,all,all,synthetic_degradation,50,50,50,29,11,5,5,50,45,38,41,3.84,0.0,0.4590377499698661,1.4609382327775366,0.7492800300242378,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_mask_damage_family,"summary_mask_type, summary_damage_family",zero_control,all,all,all,zero_control,50,50,50,0,0,50,0,50,0,0,0,0.0,0.0,0.38879514997825027,0.0,0.5181875600013882,0.0,0,50,success_or_not_flagged=50,issue:zero_control_copied_without_model_inference=50
by_category_style_or_period,"summary_category, summary_style_or_period",all,abstraction_surrealism,unknown_style_or_period,all,all,82,82,82,54,11,12,5,82,69,42,65,7.146341463414634,1.0,0.4313525000179652,1.4609382327775366,0.6070478299807291,1.4609382327775366,0,10,success_or_not_flagged=82,success_or_not_flagged=72; issue:zero_control_copied_without_model_inference=10
by_category_style_or_period,"summary_category, summary_style_or_period",all,architecture_structured,unknown_style_or_period,all,all,82,82,82,55,14,12,1,82,70,41,70,5.512195121951219,0.0,0.4134081000229344,1.4609382327775366,0.5523574750171975,1.4609382327775366,0,10,success_or_not_flagged=82,success_or_not_flagged=72; issue:zero_control_copied_without_model_inference=10
by_category_style_or_period,"summary_category, summary_style_or_period",all,high_texture_brushwork,Impressionism,all,all,10,10,10,8,0,2,0,10,8,4,8,9.2,-0.5,0.5000558999890927,1.4609382327775366,0.6395781450002687,1.4609382327775366,0,2,success_or_not_flagged=10,success_or_not_flagged=8; issue:zero_control_copied_without_model_inference=2
