case_id,painting_id,category,title,mask_id,mask_type,model_name,selection_group,figure_filename,figure_path,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked,status,issue
p008_loss_small,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,p008_loss_small,loss_small,opencv_telea,all_opencv_cases,p008_loss_small_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p008_loss_small_opencv_telea_error_maps.png,589824,23310,6.781615734100342,0.4912855327129364,6.290329933166504,241.0,112.0,0.0,232.33334350585938,171.5984344482422,12.431231498718262,159.16720581054688,0,23310,0,0.0,100.0,ok,
p008_mixed_damage,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,p008_mixed_damage,mixed_damage,opencv_telea,all_opencv_cases,p008_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p008_mixed_damage_opencv_telea_error_maps.png,589824,38912,11.774823188781738,0.46630069613456726,11.308521270751953,255.0,82.66666412353516,0.0,236.6666717529297,178.4815216064453,7.068136692047119,171.41339111328125,0,38912,0,0.0,100.0,ok,
p008_scratch_thin,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,p008_scratch_thin,scratch_thin,opencv_telea,all_opencv_cases,p008_scratch_thin_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p008_scratch_thin_opencv_telea_error_maps.png,589824,8622,2.878142833709717,0.1230807825922966,2.7550621032714844,255.0,93.0,0.0,252.66665649414062,196.8914031982422,8.419856071472168,188.47154235839844,0,8622,0,0.0,100.0,ok,
p008_zero_control,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,p008_zero_control,zero_control,opencv_telea,all_opencv_cases,p008_zero_control_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p008_zero_control_opencv_telea_error_maps.png,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,,,ok,
p009_loss_large,p009,portrait_figure,Madame Roulin and Her Baby,p009_loss_large,loss_large,opencv_telea,all_opencv_cases,p009_loss_large_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p009_loss_large_opencv_telea_error_maps.png,589824,58251,11.853754997253418,2.56782865524292,9.28592586517334,255.0,207.3333282470703,-89.33333587646484,230.33334350585938,120.0259017944336,26.000703811645508,94.02519989013672,2577,55646,28,4.423958386980481,95.52797376869067,ok,
p009_loss_small,p009,portrait_figure,Madame Roulin and Her Baby,p009_loss_small,loss_small,opencv_telea,all_opencv_cases,p009_loss_small_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p009_loss_small_opencv_telea_error_maps.png,589824,20955,4.859646320343018,0.4710721969604492,4.388574600219727,245.0,133.0,-60.99999237060547,226.6666717529297,136.78530883789062,13.259350776672363,123.52596282958984,119,20836,0,0.5678835600095442,99.43211643999047,ok,
p009_mixed_damage,p009,portrait_figure,Madame Roulin and Her Baby,p009_mixed_damage,mixed_damage,opencv_telea,all_opencv_cases,p009_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p009_mixed_damage_opencv_telea_error_maps.png,589824,47792,12.36821174621582,1.56821870803833,10.799992561340332,255.0,146.0,-58.666664123535156,229.6666717529297,152.64202880859375,19.35413932800293,133.2878875732422,140,47651,1,0.2929360562437228,99.70497154335453,ok,
p009_scratch_thin,p009,portrait_figure,Madame Roulin and Her Baby,p009_scratch_thin,scratch_thin,opencv_telea,all_opencv_cases,p009_scratch_thin_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p009_scratch_thin_opencv_telea_error_maps.png,589824,9528,2.0535800457000732,0.2275272011756897,1.8260527849197388,255.0,118.66666412353516,-31.666667938232422,242.66665649414062,127.12539672851562,14.084907531738281,113.04048919677734,22,9505,1,0.23089840470193115,99.75860621326616,ok,
p009_zero_control,p009,portrait_figure,Madame Roulin and Her Baby,p009_zero_control,zero_control,opencv_telea,all_opencv_cases,p009_zero_control_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p009_zero_control_opencv_telea_error_maps.png,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,,,ok,
p010_loss_large,p010,portrait_figure,Joan of Arc,p010_loss_large,loss_large,opencv_telea,all_opencv_cases,p010_loss_large_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p010_loss_large_opencv_telea_error_maps.png,589824,92273,30.44405746459961,2.4856584072113037,27.958398818969727,245.6666717529297,119.66666412353516,-47.66667175292969,236.6666717529297,194.60336303710938,15.888731956481934,178.7146453857422,28,92245,0,0.03034473789732641,99.96965526210268,ok,
p010_loss_small,p010,portrait_figure,Joan of Arc,p010_loss_small,loss_small,opencv_telea,all_opencv_cases,p010_loss_small_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p010_loss_small_opencv_telea_error_maps.png,589824,19716,6.950364112854004,0.40589624643325806,6.544467926025391,246.0,82.66666412353516,0.0,235.33334350585938,207.92713928222656,12.142794609069824,195.78436279296875,0,19716,0,0.0,100.0,ok,
p010_mixed_damage,p010,portrait_figure,Joan of Arc,p010_mixed_damage,mixed_damage,opencv_telea,all_opencv_cases,p010_mixed_damage_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p010_mixed_damage_opencv_telea_error_maps.png,589824,48195,16.249557495117188,1.1532396078109741,15.096317291259766,255.0,172.3333282470703,-89.66666412353516,255.0,198.8666534423828,14.11367130279541,184.7529754638672,56,48137,2,0.11619462599854757,99.87965556593008,ok,
p010_scratch_thin,p010,portrait_figure,Joan of Arc,p010_scratch_thin,scratch_thin,opencv_telea,all_opencv_cases,p010_scratch_thin_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p010_scratch_thin_opencv_telea_error_maps.png,589824,10545,3.6652348041534424,0.1236962229013443,3.541538953781128,255.0,95.33333587646484,0.0,255.0,205.01123046875,6.918824195861816,198.09242248535156,0,10545,0,0.0,100.0,ok,
p010_zero_control,p010,portrait_figure,Joan of Arc,p010_zero_control,zero_control,opencv_telea,all_opencv_cases,p010_zero_control_opencv_telea_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p010_zero_control_opencv_telea_error_maps.png,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,,,ok,
