lpips_row_id,lpips_case_id,restoration_case_id,source_case_id,case_id,dataset_name,painting_id,category,title,artist,style,model_name,mask_type,mask_id,is_zero_control,evaluation_region,region_pixel_count,mask_area_pixels,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,lpips_input_size,status,issue
lama__canonical__canonical__p002_loss_small__mask_bbox_crop__lpips,lama__canonical__canonical__p002_loss_small,lama__canonical__canonical__p002_loss_small,canonical__p002_loss_small,canonical__p002_loss_small,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,loss_small,p002_loss_small,False,mask_bbox_crop,343396,18776,0.28518,0.004214,0.280966,alex,256,ok,
lama__canonical__canonical__p002_mixed_damage__content_region__lpips,lama__canonical__canonical__p002_mixed_damage,lama__canonical__canonical__p002_mixed_damage,canonical__p002_mixed_damage,canonical__p002_mixed_damage,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,mixed_damage,p002_mixed_damage,False,content_region,344832,34546,0.510235,0.004394,0.505841,alex,256,ok,
lama__canonical__canonical__p002_mixed_damage__full_image__lpips,lama__canonical__canonical__p002_mixed_damage,lama__canonical__canonical__p002_mixed_damage,canonical__p002_mixed_damage,canonical__p002_mixed_damage,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,mixed_damage,p002_mixed_damage,False,full_image,589824,34546,0.425053,0.004024,0.421029,alex,256,ok,
lama__canonical__canonical__p002_mixed_damage__mask_bbox_crop__lpips,lama__canonical__canonical__p002_mixed_damage,lama__canonical__canonical__p002_mixed_damage,canonical__p002_mixed_damage,canonical__p002_mixed_damage,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,mixed_damage,p002_mixed_damage,False,mask_bbox_crop,589824,34546,0.425053,0.004024,0.421029,alex,256,ok,
lama__canonical__canonical__p002_scratch_thin__content_region__lpips,lama__canonical__canonical__p002_scratch_thin,lama__canonical__canonical__p002_scratch_thin,canonical__p002_scratch_thin,canonical__p002_scratch_thin,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,scratch_thin,p002_scratch_thin,False,content_region,344832,9599,0.422609,0.001352,0.421257,alex,256,ok,
lama__canonical__canonical__p002_scratch_thin__full_image__lpips,lama__canonical__canonical__p002_scratch_thin,lama__canonical__canonical__p002_scratch_thin,canonical__p002_scratch_thin,canonical__p002_scratch_thin,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,scratch_thin,p002_scratch_thin,False,full_image,589824,9599,0.353801,0.001026,0.352775,alex,256,ok,
lama__canonical__canonical__p002_scratch_thin__mask_bbox_crop__lpips,lama__canonical__canonical__p002_scratch_thin,lama__canonical__canonical__p002_scratch_thin,canonical__p002_scratch_thin,canonical__p002_scratch_thin,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,scratch_thin,p002_scratch_thin,False,mask_bbox_crop,561001,9599,0.365692,0.001358,0.364334,alex,256,ok,
lama__canonical__canonical__p002_zero_control__content_region__lpips,lama__canonical__canonical__p002_zero_control,lama__canonical__canonical__p002_zero_control,canonical__p002_zero_control,canonical__p002_zero_control,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,zero_control,p002_zero_control,True,content_region,344832,0,0.0,0.0,0.0,alex,256,ok,
lama__canonical__canonical__p002_zero_control__full_image__lpips,lama__canonical__canonical__p002_zero_control,lama__canonical__canonical__p002_zero_control,canonical__p002_zero_control,canonical__p002_zero_control,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,zero_control,p002_zero_control,True,full_image,589824,0,0.0,0.0,0.0,alex,256,ok,
lama__canonical__canonical__p003_loss_large__content_region__lpips,lama__canonical__canonical__p003_loss_large,lama__canonical__canonical__p003_loss_large,canonical__p003_loss_large,canonical__p003_loss_large,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,loss_large,p003_loss_large,False,content_region,471552,61056,0.222703,0.069895,0.152808,alex,256,ok,
lama__canonical__canonical__p003_loss_large__full_image__lpips,lama__canonical__canonical__p003_loss_large,lama__canonical__canonical__p003_loss_large,canonical__p003_loss_large,canonical__p003_loss_large,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,loss_large,p003_loss_large,False,full_image,589824,61056,0.186056,0.054689,0.131367,alex,256,ok,
lama__canonical__canonical__p003_loss_large__mask_bbox_crop__lpips,lama__canonical__canonical__p003_loss_large,lama__canonical__canonical__p003_loss_large,canonical__p003_loss_large,canonical__p003_loss_large,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,loss_large,p003_loss_large,False,mask_bbox_crop,181476,61056,0.474229,0.183207,0.291022,alex,256,ok,
lama__canonical__canonical__p003_loss_small__content_region__lpips,lama__canonical__canonical__p003_loss_small,lama__canonical__canonical__p003_loss_small,canonical__p003_loss_small,canonical__p003_loss_small,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,loss_small,p003_loss_small,False,content_region,471552,21602,0.228176,0.010337,0.217839,alex,256,ok,
lama__canonical__canonical__p003_loss_small__full_image__lpips,lama__canonical__canonical__p003_loss_small,lama__canonical__canonical__p003_loss_small,canonical__p003_loss_small,canonical__p003_loss_small,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,loss_small,p003_loss_small,False,full_image,589824,21602,0.213202,0.007219,0.205983,alex,256,ok,
lama__canonical__canonical__p003_loss_small__mask_bbox_crop__lpips,lama__canonical__canonical__p003_loss_small,lama__canonical__canonical__p003_loss_small,canonical__p003_loss_small,canonical__p003_loss_small,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,loss_small,p003_loss_small,False,mask_bbox_crop,336400,21602,0.281731,0.013951,0.26778,alex,256,ok,
lama__canonical__canonical__p003_mixed_damage__content_region__lpips,lama__canonical__canonical__p003_mixed_damage,lama__canonical__canonical__p003_mixed_damage,canonical__p003_mixed_damage,canonical__p003_mixed_damage,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,mixed_damage,p003_mixed_damage,False,content_region,471552,43486,0.34562,0.022546,0.323074,alex,256,ok,
lama__canonical__canonical__p003_mixed_damage__full_image__lpips,lama__canonical__canonical__p003_mixed_damage,lama__canonical__canonical__p003_mixed_damage,canonical__p003_mixed_damage,canonical__p003_mixed_damage,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,mixed_damage,p003_mixed_damage,False,full_image,589824,43486,0.321236,0.017393,0.303843,alex,256,ok,
lama__canonical__canonical__p003_mixed_damage__mask_bbox_crop__lpips,lama__canonical__canonical__p003_mixed_damage,lama__canonical__canonical__p003_mixed_damage,canonical__p003_mixed_damage,canonical__p003_mixed_damage,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,mixed_damage,p003_mixed_damage,False,mask_bbox_crop,547600,43486,0.345592,0.022872,0.32272,alex,256,ok,
lama__canonical__canonical__p003_scratch_thin__content_region__lpips,lama__canonical__canonical__p003_scratch_thin,lama__canonical__canonical__p003_scratch_thin,canonical__p003_scratch_thin,canonical__p003_scratch_thin,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,scratch_thin,p003_scratch_thin,False,content_region,471552,7403,0.318015,0.000605,0.31741,alex,256,ok,
lama__canonical__canonical__p003_scratch_thin__full_image__lpips,lama__canonical__canonical__p003_scratch_thin,lama__canonical__canonical__p003_scratch_thin,canonical__p003_scratch_thin,canonical__p003_scratch_thin,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,scratch_thin,p003_scratch_thin,False,full_image,589824,7403,0.279726,0.000656,0.27907,alex,256,ok,
lama__canonical__canonical__p003_scratch_thin__mask_bbox_crop__lpips,lama__canonical__canonical__p003_scratch_thin,lama__canonical__canonical__p003_scratch_thin,canonical__p003_scratch_thin,canonical__p003_scratch_thin,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,scratch_thin,p003_scratch_thin,False,mask_bbox_crop,527076,7403,0.290884,0.000681,0.290203,alex,256,ok,
lama__canonical__canonical__p003_zero_control__content_region__lpips,lama__canonical__canonical__p003_zero_control,lama__canonical__canonical__p003_zero_control,canonical__p003_zero_control,canonical__p003_zero_control,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,zero_control,p003_zero_control,True,content_region,471552,0,0.0,0.0,0.0,alex,256,ok,
lama__canonical__canonical__p003_zero_control__full_image__lpips,lama__canonical__canonical__p003_zero_control,lama__canonical__canonical__p003_zero_control,canonical__p003_zero_control,canonical__p003_zero_control,canonical,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,Neoclassical / early 19th century,lama,zero_control,p003_zero_control,True,full_image,589824,0,0.0,0.0,0.0,alex,256,ok,
lama__canonical__canonical__p004_loss_large__content_region__lpips,lama__canonical__canonical__p004_loss_large,lama__canonical__canonical__p004_loss_large,canonical__p004_loss_large,canonical__p004_loss_large,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,loss_large,p004_loss_large,False,content_region,480000,64390,0.207645,0.069268,0.138377,alex,256,ok,
lama__canonical__canonical__p004_loss_large__full_image__lpips,lama__canonical__canonical__p004_loss_large,lama__canonical__canonical__p004_loss_large,canonical__p004_loss_large,canonical__p004_loss_large,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,loss_large,p004_loss_large,False,full_image,589824,64390,0.172127,0.056973,0.115154,alex,256,ok,
lama__canonical__canonical__p004_loss_large__mask_bbox_crop__lpips,lama__canonical__canonical__p004_loss_large,lama__canonical__canonical__p004_loss_large,canonical__p004_loss_large,canonical__p004_loss_large,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,loss_large,p004_loss_large,False,mask_bbox_crop,147456,64390,0.523278,0.228175,0.295103,alex,256,ok,
lama__canonical__canonical__p004_loss_small__content_region__lpips,lama__canonical__canonical__p004_loss_small,lama__canonical__canonical__p004_loss_small,canonical__p004_loss_small,canonical__p004_loss_small,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,loss_small,p004_loss_small,False,content_region,480000,20406,0.182163,0.009853,0.17231,alex,256,ok,
lama__canonical__canonical__p004_loss_small__full_image__lpips,lama__canonical__canonical__p004_loss_small,lama__canonical__canonical__p004_loss_small,canonical__p004_loss_small,canonical__p004_loss_small,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,loss_small,p004_loss_small,False,full_image,589824,20406,0.158253,0.007815,0.150438,alex,256,ok,
lama__canonical__canonical__p004_loss_small__mask_bbox_crop__lpips,lama__canonical__canonical__p004_loss_small,lama__canonical__canonical__p004_loss_small,canonical__p004_loss_small,canonical__p004_loss_small,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,loss_small,p004_loss_small,False,mask_bbox_crop,372100,20406,0.212747,0.016022,0.196725,alex,256,ok,
lama__canonical__canonical__p004_mixed_damage__content_region__lpips,lama__canonical__canonical__p004_mixed_damage,lama__canonical__canonical__p004_mixed_damage,canonical__p004_mixed_damage,canonical__p004_mixed_damage,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,mixed_damage,p004_mixed_damage,False,content_region,480000,49686,0.374994,0.030067,0.344928,alex,256,ok,
lama__canonical__canonical__p004_mixed_damage__full_image__lpips,lama__canonical__canonical__p004_mixed_damage,lama__canonical__canonical__p004_mixed_damage,canonical__p004_mixed_damage,canonical__p004_mixed_damage,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,mixed_damage,p004_mixed_damage,False,full_image,589824,49686,0.357995,0.025562,0.332433,alex,256,ok,
lama__canonical__canonical__p004_mixed_damage__mask_bbox_crop__lpips,lama__canonical__canonical__p004_mixed_damage,lama__canonical__canonical__p004_mixed_damage,canonical__p004_mixed_damage,canonical__p004_mixed_damage,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,mixed_damage,p004_mixed_damage,False,mask_bbox_crop,589824,49686,0.357995,0.025562,0.332433,alex,256,ok,
lama__canonical__canonical__p004_scratch_thin__content_region__lpips,lama__canonical__canonical__p004_scratch_thin,lama__canonical__canonical__p004_scratch_thin,canonical__p004_scratch_thin,canonical__p004_scratch_thin,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,scratch_thin,p004_scratch_thin,False,content_region,480000,7733,0.217236,0.000698,0.216538,alex,256,ok,
lama__canonical__canonical__p004_scratch_thin__full_image__lpips,lama__canonical__canonical__p004_scratch_thin,lama__canonical__canonical__p004_scratch_thin,canonical__p004_scratch_thin,canonical__p004_scratch_thin,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,scratch_thin,p004_scratch_thin,False,full_image,589824,7733,0.203481,0.00061,0.202871,alex,256,ok,
lama__canonical__canonical__p004_scratch_thin__mask_bbox_crop__lpips,lama__canonical__canonical__p004_scratch_thin,lama__canonical__canonical__p004_scratch_thin,canonical__p004_scratch_thin,canonical__p004_scratch_thin,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,scratch_thin,p004_scratch_thin,False,mask_bbox_crop,589824,7733,0.203481,0.00061,0.202871,alex,256,ok,
lama__canonical__canonical__p004_zero_control__content_region__lpips,lama__canonical__canonical__p004_zero_control,lama__canonical__canonical__p004_zero_control,canonical__p004_zero_control,canonical__p004_zero_control,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,zero_control,p004_zero_control,True,content_region,480000,0,0.0,0.0,0.0,alex,256,ok,
lama__canonical__canonical__p004_zero_control__full_image__lpips,lama__canonical__canonical__p004_zero_control,lama__canonical__canonical__p004_zero_control,canonical__p004_zero_control,canonical__p004_zero_control,canonical,p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,Impressionism,lama,zero_control,p004_zero_control,True,full_image,589824,0,0.0,0.0,0.0,alex,256,ok,
lama__canonical__canonical__p005_loss_large__content_region__lpips,lama__canonical__canonical__p005_loss_large,lama__canonical__canonical__p005_loss_large,canonical__p005_loss_large,canonical__p005_loss_large,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,loss_large,p005_loss_large,False,content_region,436992,55771,0.21024,0.102559,0.107681,alex,256,ok,
lama__canonical__canonical__p005_loss_large__full_image__lpips,lama__canonical__canonical__p005_loss_large,lama__canonical__canonical__p005_loss_large,canonical__p005_loss_large,canonical__p005_loss_large,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,loss_large,p005_loss_large,False,full_image,589824,55771,0.154103,0.074581,0.079522,alex,256,ok,
lama__canonical__canonical__p005_loss_large__mask_bbox_crop__lpips,lama__canonical__canonical__p005_loss_large,lama__canonical__canonical__p005_loss_large,canonical__p005_loss_large,canonical__p005_loss_large,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,loss_large,p005_loss_large,False,mask_bbox_crop,109561,55771,0.655348,0.370383,0.284965,alex,256,ok,
lama__canonical__canonical__p005_loss_small__content_region__lpips,lama__canonical__canonical__p005_loss_small,lama__canonical__canonical__p005_loss_small,canonical__p005_loss_small,canonical__p005_loss_small,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,loss_small,p005_loss_small,False,content_region,436992,16173,0.186609,0.004602,0.182007,alex,256,ok,
lama__canonical__canonical__p005_loss_small__full_image__lpips,lama__canonical__canonical__p005_loss_small,lama__canonical__canonical__p005_loss_small,canonical__p005_loss_small,canonical__p005_loss_small,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,loss_small,p005_loss_small,False,full_image,589824,16173,0.152798,0.0033,0.149498,alex,256,ok,
lama__canonical__canonical__p005_loss_small__mask_bbox_crop__lpips,lama__canonical__canonical__p005_loss_small,lama__canonical__canonical__p005_loss_small,canonical__p005_loss_small,canonical__p005_loss_small,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,loss_small,p005_loss_small,False,mask_bbox_crop,224676,16173,0.247492,0.011107,0.236385,alex,256,ok,
lama__canonical__canonical__p005_mixed_damage__content_region__lpips,lama__canonical__canonical__p005_mixed_damage,lama__canonical__canonical__p005_mixed_damage,canonical__p005_mixed_damage,canonical__p005_mixed_damage,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,mixed_damage,p005_mixed_damage,False,content_region,436992,35823,0.394662,0.015359,0.379304,alex,256,ok,
lama__canonical__canonical__p005_mixed_damage__full_image__lpips,lama__canonical__canonical__p005_mixed_damage,lama__canonical__canonical__p005_mixed_damage,canonical__p005_mixed_damage,canonical__p005_mixed_damage,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,mixed_damage,p005_mixed_damage,False,full_image,589824,35823,0.326123,0.010078,0.316045,alex,256,ok,
lama__canonical__canonical__p005_mixed_damage__mask_bbox_crop__lpips,lama__canonical__canonical__p005_mixed_damage,lama__canonical__canonical__p005_mixed_damage,canonical__p005_mixed_damage,canonical__p005_mixed_damage,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,mixed_damage,p005_mixed_damage,False,mask_bbox_crop,589824,35823,0.326123,0.010078,0.316045,alex,256,ok,
lama__canonical__canonical__p005_scratch_thin__content_region__lpips,lama__canonical__canonical__p005_scratch_thin,lama__canonical__canonical__p005_scratch_thin,canonical__p005_scratch_thin,canonical__p005_scratch_thin,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,scratch_thin,p005_scratch_thin,False,content_region,436992,10708,0.331233,0.00125,0.329983,alex,256,ok,
lama__canonical__canonical__p005_scratch_thin__full_image__lpips,lama__canonical__canonical__p005_scratch_thin,lama__canonical__canonical__p005_scratch_thin,canonical__p005_scratch_thin,canonical__p005_scratch_thin,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,scratch_thin,p005_scratch_thin,False,full_image,589824,10708,0.277284,0.00101,0.276274,alex,256,ok,
lama__canonical__canonical__p005_scratch_thin__mask_bbox_crop__lpips,lama__canonical__canonical__p005_scratch_thin,lama__canonical__canonical__p005_scratch_thin,canonical__p005_scratch_thin,canonical__p005_scratch_thin,canonical,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,18th century portraiture,lama,scratch_thin,p005_scratch_thin,False,mask_bbox_crop,436921,10708,0.341843,0.001388,0.340455,alex,256,ok,
