case_id,painting_id,mask_id,mask_type,evaluation_region,clip_damaged_similarity_opencv,clip_restored_similarity_opencv,clip_similarity_improvement_opencv,dinov2_damaged_similarity_opencv,dinov2_restored_similarity_opencv,dinov2_similarity_improvement_opencv,clip_damaged_similarity_lama,clip_restored_similarity_lama,clip_similarity_improvement_lama,dinov2_damaged_similarity_lama,dinov2_restored_similarity_lama,dinov2_similarity_improvement_lama,clip_damaged_similarity_delta_lama_minus_opencv,clip_restored_similarity_delta_lama_minus_opencv,clip_similarity_improvement_delta_lama_minus_opencv,dinov2_damaged_similarity_delta_lama_minus_opencv,dinov2_restored_similarity_delta_lama_minus_opencv,dinov2_similarity_improvement_delta_lama_minus_opencv,metric_family,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,winner_clip_restored_similarity,winner_clip_similarity_improvement,winner_dinov2_restored_similarity,winner_dinov2_similarity_improvement
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,full_image,0.8460491895675659,0.9846564531326294,0.1386072635650634,0.8311237692832947,0.9410716891288756,0.109947919845581,0.8460490703582764,0.9926729202270508,0.1466238498687744,0.8311237692832947,0.9628168940544128,0.1316931247711181,-1.1920928955078125e-07,0.008016467094421387,0.008016586303710993,0.0,0.02174520492553722,0.02174520492553711,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,content_region,0.8396322131156921,0.9697986841201782,0.130166471004486,0.906037449836731,0.934724748134613,0.028687298297882,0.8396326303482056,0.989061951637268,0.1494293212890625,0.906037449836731,0.9619158506393432,0.0558784008026123,4.172325134277344e-07,0.019263267517089733,0.0192628502845765,0.0,0.027191102504730114,0.027191102504730297,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,mask_bbox_crop,0.8460491895675659,0.9846564531326294,0.1386072635650634,0.8311237692832947,0.9410716891288756,0.109947919845581,0.8460490703582764,0.9926729202270508,0.1466238498687744,0.8311237692832947,0.9628168940544128,0.1316931247711181,-1.1920928955078125e-07,0.008016467094421387,0.008016586303710993,0.0,0.02174520492553722,0.02174520492553711,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,full_image,0.8899277448654175,0.999643087387085,0.1097153425216674,0.874204158782959,0.999354362487793,0.1251502037048339,0.889927864074707,0.9995718002319336,0.1096439361572265,0.874204158782959,0.9995041489601136,0.1252999901771545,1.1920928955078125e-07,-7.128715515136719e-05,-7.140636444090409e-05,0.0,0.00014978647232066766,0.00014978647232061215,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,opencv,opencv,lama,lama
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,content_region,0.9261232018470764,0.999485969543457,0.0733627676963806,0.9498990178108216,0.9992966055870056,0.049397587776184,0.9261233806610109,0.9997400641441344,0.0736166834831237,0.9498990178108216,0.9997215270996094,0.0498225092887878,1.7881393443719418e-07,0.0002540946006773792,0.0002539157867430947,0.0,0.00042492151260375977,0.0004249215126038014,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,mask_bbox_crop,0.8899277448654175,0.999643087387085,0.1097153425216674,0.874204158782959,0.999354362487793,0.1251502037048339,0.889927864074707,0.9995718002319336,0.1096439361572265,0.874204158782959,0.9995041489601136,0.1252999901771545,1.1920928955078125e-07,-7.128715515136719e-05,-7.140636444090409e-05,0.0,0.00014978647232066766,0.00014978647232061215,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,opencv,opencv,lama,lama
p002_zero_control,p002,p002_zero_control,zero_control,full_image,0.9999999403953552,0.9999999403953552,0.0,0.9999998807907104,0.9999998807907104,0.0,1.0000001192092896,1.0000001192092896,0.0,0.9999998807907104,0.9999998807907104,0.0,1.7881393432617188e-07,1.7881393432617188e-07,0.0,0.0,0.0,0.0,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,tie,tie,tie
p002_zero_control,p002,p002_zero_control,zero_control,content_region,1.0,1.0,0.0,1.0,1.0,0.0,1.0000001192092896,1.0000001192092896,0.0,1.0,1.0,0.0,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0,0.0,0.0,feature_similarity,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,tie,tie,tie
p003_loss_large,p003,p003_loss_large,loss_large,full_image,0.8313140273094177,0.9468088150024414,0.1154947876930236,0.9379827976226808,0.9294279217720032,-0.0085548758506774,0.8313138484954834,0.9783174991607666,0.1470036506652832,0.9379827976226808,0.970768928527832,0.0327861309051513,-1.7881393432617188e-07,0.031508684158325195,0.031508862972259605,0.0,0.04134100675582886,0.0413410067558287,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
p003_loss_large,p003,p003_loss_large,loss_large,content_region,0.8015637993812561,0.9472357630729676,0.1456719636917114,0.9467387795448304,0.8874422311782837,-0.0592965483665466,0.8015636801719666,0.9693101644515992,0.1677464842796325,0.9467387795448304,0.9822849035263062,0.0355461239814758,-1.1920928955078125e-07,0.022074401378631592,0.022074520587921115,0.0,0.09484267234802246,0.0948426723480224,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
p003_loss_large,p003,p003_loss_large,loss_large,mask_bbox_crop,0.8102953433990479,0.834200382232666,0.0239050388336181,0.8174824714660645,0.6743308305740356,-0.1431516408920288,0.8102954626083374,0.9411243200302124,0.130828857421875,0.8174824714660645,0.937654674053192,0.1201722025871276,1.1920928955078125e-07,0.10692393779754639,0.10692381858825689,0.0,0.2633238434791564,0.2633238434791564,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
p003_loss_small,p003,p003_loss_small,loss_small,full_image,0.9308844804763794,0.9966778755187988,0.0657933950424194,0.9472476243972778,0.982630968093872,0.0353833436965942,0.930884599685669,0.9993909597396852,0.0685063600540161,0.9472476243972778,0.997205138206482,0.0499575138092041,1.1920928955078125e-07,0.0027130842208863415,0.0027129650115966936,0.0,0.014574170112610085,0.014574170112609905,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
p003_loss_small,p003,p003_loss_small,loss_small,content_region,0.9085685014724731,0.9909597635269164,0.0823912620544433,0.968970000743866,0.981143832206726,0.0121738314628601,0.9085686206817628,0.99889075756073,0.0903221368789672,0.968970000743866,0.9973191618919371,0.0283491611480712,1.1920928966180355e-07,0.007930994033813588,0.007930874824523898,0.0,0.01617532968521118,0.0161753296852111,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
p003_loss_small,p003,p003_loss_small,loss_small,mask_bbox_crop,0.9348210096359252,0.9937570095062256,0.0589359998703002,0.965388000011444,0.9793615937232972,0.013973593711853,0.93482106924057,0.9995825290679932,0.0647614598274231,0.965388000011444,0.9965461492538452,0.0311581492424011,5.960464477539063e-08,0.005825519561767578,0.005825459957122893,0.0,0.017184555530547985,0.0171845555305481,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
p003_mixed_damage,p003,p003_mixed_damage,mixed_damage,full_image,0.7892764806747437,0.9700350165367126,0.180758535861969,0.7852474451065063,0.9531616568565368,0.1679142117500305,0.7892763614654541,0.9853234887123108,0.1960471272468567,0.7852474451065063,0.9833366870880128,0.1980892419815063,-1.1920928955078125e-07,0.015288472175598145,0.015288591384887695,0.0,0.030175030231476052,0.030175030231475802,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
p003_mixed_damage,p003,p003_mixed_damage,mixed_damage,content_region,0.8035855293273926,0.9676964282989502,0.1641108989715576,0.8344686031341553,0.9333820343017578,0.0989134311676025,0.8035856485366821,0.9769062995910645,0.1733206510543823,0.8344686031341553,0.986916184425354,0.1524475812911987,1.1920928955078125e-07,0.009209871292114258,0.009209752082824707,0.0,0.05353415012359619,0.053534150123596205,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
p003_mixed_damage,p003,p003_mixed_damage,mixed_damage,mask_bbox_crop,0.7892764806747437,0.9700350165367126,0.180758535861969,0.7852474451065063,0.9531616568565368,0.1679142117500305,0.7892763614654541,0.9853234887123108,0.1960471272468567,0.7852474451065063,0.9833366870880128,0.1980892419815063,-1.1920928955078125e-07,0.015288472175598145,0.015288591384887695,0.0,0.030175030231476052,0.030175030231475802,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
p003_scratch_thin,p003,p003_scratch_thin,scratch_thin,full_image,0.8120349645614624,0.9996553659439088,0.1876204013824463,0.7849439978599548,0.998871684074402,0.213927686214447,0.812035083770752,0.9998074173927308,0.1877723336219787,0.7849439978599548,0.9990251064300536,0.2140811085700988,1.1920928955078125e-07,0.00015205144882202148,0.0001519322395324152,0.0,0.00015342235565163342,0.00015342235565179996,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
p003_scratch_thin,p003,p003_scratch_thin,scratch_thin,content_region,0.8051810264587402,0.9996387958526612,0.1944577693939209,0.7930634021759033,0.9971623420715332,0.2040989398956298,0.8051811456680298,0.9997745156288148,0.1945933699607849,0.7930634021759033,0.99926495552063,0.2062015533447265,1.1920928955078125e-07,0.00013571977615356445,0.00013560056686401367,0.0,0.0021026134490967907,0.0021026134490967074,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
p003_scratch_thin,p003,p003_scratch_thin,scratch_thin,mask_bbox_crop,0.8120349645614624,0.9996553659439088,0.1876204013824463,0.7849439978599548,0.998871684074402,0.213927686214447,0.812035083770752,0.9998074173927308,0.1877723336219787,0.7849439978599548,0.9990251064300536,0.2140811085700988,1.1920928955078125e-07,0.00015205144882202148,0.0001519322395324152,0.0,0.00015342235565163342,0.00015342235565179996,feature_similarity,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama,lama,lama
