original_case_id,case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,seed_a,seed_b,seed_pair,clip_model_name,dinov2_model_name,feature_target_size,bbox_margin,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,pairwise_clip_similarity,pairwise_dinov2_similarity,pairwise_clip_uncertainty_distance,pairwise_dinov2_uncertainty_distance
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,116,768,747,768,631,0.9901072978973389,0.9589623212814331,0.009892702102661133,0.041037678718566895
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,116,768,747,768,631,0.9914170503616333,0.9341233968734741,0.0085829496383667,0.06587660312652588
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,116,768,747,768,631,0.9897155165672302,0.9570978879928589,0.010284483432769775,0.04290211200714111
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,116,768,747,768,631,0.9904356598854065,0.9628683924674988,0.009564340114593506,0.03713160753250122
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,144,323,445,323,301,0.7640886306762695,0.481267511844635,0.23591136932373047,0.518732488155365
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,144,323,445,323,301,0.6844931244850159,0.177679643034935,0.31550687551498413,0.822320356965065
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,144,323,445,323,301,0.7962084412574768,0.6364375352859497,0.2037915587425232,0.3635624647140503
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,144,323,445,323,301,0.7474201321601868,0.17668890953063965,0.25257986783981323,0.8233110904693604
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,144,323,445,323,301,0.8846350312232971,0.7105017900466919,0.11536496877670288,0.2894982099533081
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,144,323,445,323,301,0.7251794338226318,0.2038661539554596,0.27482056617736816,0.7961338460445404
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,24,165,710,617,686,452,0.9579753875732422,0.7651495933532715,0.04202461242675781,0.23485040664672852
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,24,165,710,617,686,452,0.9486284255981445,0.8606657385826111,0.05137157440185547,0.13933426141738892
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,24,165,710,617,686,452,0.9316480755805969,0.8097656965255737,0.06835192441940308,0.19023430347442627
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,24,165,710,617,686,452,0.9315780997276306,0.7860727310180664,0.06842190027236938,0.2139272689819336
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,24,165,710,617,686,452,0.9313146471977234,0.7463263273239136,0.06868535280227661,0.2536736726760864
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,24,165,710,617,686,452,0.9486616253852844,0.7472113370895386,0.051338374614715576,0.2527886629104614
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,104,768,664,768,560,0.9596549272537231,0.7705917358398438,0.040345072746276855,0.22940826416015625
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,104,768,664,768,560,0.9475152492523193,0.717143177986145,0.052484750747680664,0.282856822013855
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,104,768,664,768,560,0.9478921890258789,0.638462245464325,0.052107810974121094,0.36153775453567505
p011_mixed_damage,p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,openai/clip-vit-base-patch32,dinov2_vitb14,224,16,0,104,768,664,768,560,0.9505704641342163,0.6910369396209717,0.04942953586578369,0.3089630603790283
