case_id,painting_id,mask_type,texture_winner_model,texture_winner_distance,texture_winner_glcm_distance,texture_winner_gabor_distance,texture_winner_brushstroke_proxy_distance,category,lama_texture_distance,lama_brushstroke_proxy_distance,opencv_telea_texture_distance,opencv_telea_brushstroke_proxy_distance,stable_diffusion_inpainting_texture_distance,stable_diffusion_inpainting_brushstroke_proxy_distance,texture_margin_best_vs_second,painting_id_refined,mask_type_refined,category_refined,overall_metric_vote,texture_disagrees_with_refined_vote
p019_scratch_thin,p019,scratch_thin,lama,0.004367643145890522,0.0006783998786824403,4.594236637986373e-06,0.0009354306332088289,landscape_natural,0.004367643145890522,0.0009354306332088289,0.014060241304461147,0.0010852708672898146,0.14968770931038275,0.028748530038571085,0.009692598158570626,p019,scratch_thin,landscape_natural,opencv_telea,True
p014_scratch_thin,p014,scratch_thin,lama,0.029955066205034603,0.020007456452404863,1.6988822263801834e-05,0.006525245728943497,landscape_natural,0.029955066205034603,0.006525245728943497,0.0390811172482193,0.0037436010241958463,0.4351414197388423,0.05116130164198376,0.009126051043184695,p014,scratch_thin,landscape_natural,opencv_telea,True
p026_scratch_thin,p026,scratch_thin,lama,0.0036136063796279026,0.0026101434449656226,3.3007918472934003e-06,0.0005784120614996715,architecture_structured,0.0036136063796279026,0.0005784120614996715,0.012736966376801911,0.0015750989929487133,0.1573407658086611,0.0280385693617257,0.00912335999717401,p026,scratch_thin,architecture_structured,opencv_telea,True
p039_scratch_thin,p039,scratch_thin,lama,0.0022624935800686975,0.0015601006004993965,2.099140280380114e-06,0.0003671135272333194,abstraction_surrealism,0.0022624935800686975,0.0003671135272333194,0.010894563257924253,0.0008326289263628402,0.05029484026543907,0.007093140823367618,0.008632069677855556,p039,scratch_thin,abstraction_surrealism,tie_lama_opencv_telea,True
p037_scratch_thin,p037,scratch_thin,lama,0.0060158139218687845,0.0028764455175938333,4.9879850136648075e-06,0.0012296840265099095,abstraction_surrealism,0.0060158139218687845,0.0012296840265099095,0.01429884995857928,0.001084366224287557,0.07718939241446605,0.008257241661355495,0.008283036036710496,p037,scratch_thin,abstraction_surrealism,opencv_telea,True
p010_scratch_thin,p010,scratch_thin,lama,0.001736183616414229,0.0011468460180823737,1.8838767528131802e-06,0.000248389008537678,portrait_figure,0.001736183616414229,0.000248389008537678,0.009940776324183038,0.0010082716190910207,0.15362932484325126,0.010246440008223336,0.008204592707768809,p010,scratch_thin,portrait_figure,tie_lama_opencv_telea,True
p031_scratch_thin,p031,scratch_thin,lama,0.004172357759761676,0.0025399600266742322,3.2013181219890555e-06,0.0008191537452008046,abstraction_surrealism,0.004172357759761676,0.0008191537452008046,0.011654562777630372,0.0011249857646806773,0.059927547666759264,0.010289487434676834,0.007482205017868696,p031,scratch_thin,abstraction_surrealism,opencv_telea,True
p030_scratch_thin,p030,scratch_thin,lama,0.006133550092091642,0.004126736670635931,6.169219418978114e-06,0.0009387232852233023,architecture_structured,0.006133550092091642,0.0009387232852233023,0.01278902057858941,0.0019697410890677377,0.30643924808310646,0.013861566323347257,0.006655470486497768,p030,scratch_thin,architecture_structured,opencv_telea,True
p035_scratch_thin,p035,scratch_thin,lama,0.003817488644517158,0.0026531158406011704,4.021820114884601e-06,0.0005465226325204313,abstraction_surrealism,0.003817488644517158,0.0005465226325204313,0.010303585218057036,0.0009900742599695637,0.08965314382443573,0.018535922419510378,0.006486096573539879,p035,scratch_thin,abstraction_surrealism,opencv_telea,True
p049_scratch_thin,p049,scratch_thin,lama,0.00272479177213208,0.001157619588711119,2.5510015334510435e-06,0.0005333544149090664,high_texture_brushwork,0.00272479177213208,0.0005333544149090664,0.008346957101218919,0.0008308415293157533,0.11107252372126852,0.012834023671677556,0.0056221653290868395,p049,scratch_thin,high_texture_brushwork,tie_lama_opencv_telea,True
