dataset_name,category,evaluation_region,rows,cases,mean_damaged_mse,mean_restored_mse,mean_mse_improvement,mean_damaged_mae,mean_restored_mae,mean_mae_improvement,mean_damaged_psnr,mean_restored_psnr,mean_psnr_improvement,mean_damaged_ssim,mean_restored_ssim,mean_ssim_improvement,mean_region_pixel_count
mask_robustness,landscape_natural,masked_region,15,15,30969.0927,506.3125,30462.7802,168.8925,12.2898,156.6028,3.2818,22.9908,19.7091,,,,24667.4
mask_robustness,landscape_natural,outside_mask_region,15,15,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,364708.6
mask_robustness,portrait_figure,boundary_region,15,15,23055.576,28.5022,23027.0738,102.6681,1.8732,100.7949,4.5349,34.1966,29.6617,,,,12963.6
mask_robustness,portrait_figure,content_region,15,15,3054.3822,25.6544,3028.7278,13.7553,0.7008,13.0546,14.3883,38.6921,24.3038,0.928,0.9829,0.0549,509184.0
mask_robustness,portrait_figure,full_image,15,15,2636.7908,22.147,2614.6438,11.8747,0.605,11.2698,15.0267,39.3305,24.3038,0.9373,0.9848,0.0476,589824.0
mask_robustness,portrait_figure,mask_bbox_crop,15,15,10113.8003,103.5819,10010.2184,45.8212,2.6618,43.1594,11.3423,35.6461,24.3038,0.7841,0.9368,0.1528,299324.8
mask_robustness,portrait_figure,masked_region,15,15,49792.5651,267.504,49525.0611,221.5316,8.4365,213.0951,1.1663,25.4701,24.3038,,,,32095.8667
mask_robustness,portrait_figure,outside_mask_region,15,15,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,477088.1333
synthetic,abstraction_surrealism,boundary_region,10,10,0.803,10.3189,-9.516,0.2847,0.5395,-0.2547,52.2512,45.8222,-5.1432,,,,11955.1
synthetic,abstraction_surrealism,content_region,10,10,38.902,190.6019,-151.6999,1.9028,3.5002,-1.5975,42.8859,33.6422,-9.2437,0.9936,0.9542,-0.0394,433152.0
synthetic,abstraction_surrealism,full_image,10,10,28.5686,139.9733,-111.4047,1.3973,2.5705,-1.1731,44.2268,34.9831,-9.2437,0.9953,0.9664,-0.0289,589824.0
synthetic,abstraction_surrealism,mask_bbox_crop,10,10,50.1419,266.4147,-216.2728,2.9838,5.4912,-2.5074,40.2545,31.0108,-9.2437,0.9914,0.9224,-0.069,282580.0
synthetic,abstraction_surrealism,masked_region,10,10,71.6075,369.3151,-297.7076,4.5649,8.0828,-3.5179,37.552,28.3083,-9.2437,,,,149277.5
synthetic,abstraction_surrealism,outside_mask_region,10,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,283874.5
synthetic,architecture_structured,boundary_region,10,10,3.3934,7.4933,-4.0999,0.4212,0.5804,-0.1592,50.8767,46.123,-4.2784,,,,11091.4
synthetic,architecture_structured,content_region,10,10,22.8479,75.5055,-52.6576,1.4125,1.9779,-0.5654,45.5348,39.4787,-6.056,0.9966,0.9725,-0.024,406272.0
synthetic,architecture_structured,full_image,10,10,15.7376,52.0083,-36.2707,0.9729,1.3624,-0.3894,47.1538,41.0978,-6.056,0.9976,0.9811,-0.0165,589824.0
synthetic,architecture_structured,mask_bbox_crop,10,10,31.4227,93.0294,-61.6067,2.3157,3.0385,-0.7228,42.6911,36.6351,-6.056,0.9948,0.962,-0.0327,252710.9
synthetic,architecture_structured,masked_region,10,10,41.3245,117.6056,-76.2811,3.2306,4.1955,-0.9648,39.8621,33.8061,-6.056,,,,129785.2
synthetic,architecture_structured,outside_mask_region,10,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,276486.8
synthetic,high_texture_brushwork,boundary_region,10,10,2.6686,7.1928,-4.5242,0.3526,0.5466,-0.194,50.8302,45.0477,-5.2042,,,,12860.3
synthetic,high_texture_brushwork,content_region,10,10,57.3233,180.1908,-122.8675,2.4362,3.7911,-1.3549,43.7697,35.1236,-8.6461,0.9915,0.9464,-0.045,469248.0
synthetic,high_texture_brushwork,full_image,10,10,45.6049,143.3549,-97.75,1.9382,3.0161,-1.0779,44.7629,36.1168,-8.6461,0.9932,0.9574,-0.0358,589824.0
