case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_clip_improvement,winner_dinov2_improvement
p004_mixed_damage,p004,p004_mixed_damage,mixed_damage,portrait_figure,Madame Georges Charpentier and Her Children,0.1020262241363525,0.1162043809890747,0.1116778254508972,0.158011257648468,0.0872054696083068,0.0648757815361023,lama,lama
p004_scratch_thin,p004,p004_scratch_thin,scratch_thin,portrait_figure,Madame Georges Charpentier and Her Children,0.103688895702362,0.1556568741798401,0.103634238243103,0.1548500657081604,0.0895023345947265,0.0757519006729126,opencv_telea,opencv_telea
p005_loss_large,p005,p005_loss_large,loss_large,portrait_figure,Self-Portrait with Two Pupils,0.0355778932571411,0.039504051208496,0.1002587676048278,0.1052160263061523,0.0503495335578918,0.0178481340408325,lama,lama
p005_loss_small,p005,p005_loss_small,loss_small,portrait_figure,Self-Portrait with Two Pupils,0.0649089217185974,0.0128881931304931,0.0659253001213073,0.0232055783271789,0.0502140522003173,0.0030492544174194,lama,lama
p005_mixed_damage,p005,p005_mixed_damage,mixed_damage,portrait_figure,Self-Portrait with Two Pupils,0.0771913528442382,0.0776185989379882,0.0911818742752075,0.0980244874954223,0.0881147980690002,0.0685981512069702,lama,lama
p005_scratch_thin,p005,p005_scratch_thin,scratch_thin,portrait_figure,Self-Portrait with Two Pupils,0.0360091924667358,0.0351253151893615,0.0360313057899475,0.0353938341140747,0.0161940455436706,0.004464566707611,lama,lama
p006_loss_large,p006,p006_loss_large,loss_large,portrait_figure,Boy with a Sword,0.0164719820022583,0.0160742402076721,0.0591986775398254,0.1024088859558105,0.0096548199653625,0.0588897466659545,lama,lama
p006_loss_small,p006,p006_loss_small,loss_small,portrait_figure,Boy with a Sword,0.0655534863471984,0.0716334581375122,0.0719959139823913,0.0793679356575012,0.0582409501075744,0.0486762523651123,lama,lama
p006_mixed_damage,p006,p006_mixed_damage,mixed_damage,portrait_figure,Boy with a Sword,0.1561203002929687,0.211853802204132,0.1637234687805175,0.2198383212089538,0.1319918632507324,0.0525171756744384,lama,lama
p006_scratch_thin,p006,p006_scratch_thin,scratch_thin,portrait_figure,Boy with a Sword,0.1267351508140564,0.1877256035804748,0.1282750368118286,0.1886417269706726,0.0198424458503723,-0.092015266418457,lama,lama
p007_loss_large,p007,p007_loss_large,loss_large,portrait_figure,Princesse de Broglie,0.0284808278083801,0.021985650062561,0.1158956885337829,0.178906500339508,0.1530967950820922,0.1407266855239868,stable_diffusion_inpainting,lama
p007_loss_small,p007,p007_loss_small,loss_small,portrait_figure,Princesse de Broglie,0.1354056596755981,0.0758426189422607,0.1358951926231384,0.0812681913375854,0.1262432932853698,0.0593425631523132,lama,lama
p007_mixed_damage,p007,p007_mixed_damage,mixed_damage,portrait_figure,Princesse de Broglie,0.2058206796646118,0.273244559764862,0.2155376672744751,0.2808364629745483,0.1728262901306152,0.1891413331031799,lama,lama
p007_scratch_thin,p007,p007_scratch_thin,scratch_thin,portrait_figure,Princesse de Broglie,0.1504017114639282,0.0904030799865722,0.1501604914665222,0.0904164314270019,0.1057859659194946,0.0440046787261962,opencv_telea,lama
p008_loss_large,p008,p008_loss_large,loss_large,portrait_figure,Manuel Osorio Manrique de Zuñiga,0.0641041994094848,-0.0840277075767517,0.1226659417152404,0.1192065477371215,0.0469225049018859,-0.0383847951889038,lama,lama
p008_loss_small,p008,p008_loss_small,loss_small,portrait_figure,Manuel Osorio Manrique de Zuñiga,0.148230493068695,0.0950701832771301,0.1597018241882324,0.1292062401771545,0.0969822406768798,0.0178707838058471,lama,lama
