case_id,painting_id,category,title,mask_type,mse_improvement,psnr_improvement,ssim_improvement,lpips_improvement,clip_similarity_improvement,dinov2_similarity_improvement,mse_improved,psnr_improved,ssim_improved,lpips_improved,clip_improved,dinov2_improved,num_metrics_improved,num_metrics_not_improved,all_metrics_improved,mixed_metric_outcome,all_metrics_not_improved,report_selection_reason
p024_scratch_thin,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,scratch_thin,33975.85852050781,13.442451689892076,,0.2043969184160232,0.0588552355766296,0.0211443901062011,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p042_loss_large,p042,high_texture_brushwork,View of Beirut,loss_large,5099.87654876709,16.376444852595693,,0.0675404965877533,-0.0047000646591186,-0.3077753186225891,True,True,False,True,False,False,3,3,False,True,False,lowest_number_of_improved_metrics; mixed_metric_outcome
p046_loss_large,p046,high_texture_brushwork,Boating,loss_large,17703.577880859375,9.41572610237474,,0.2023821175098419,0.1502583026885986,0.1002488732337951,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p048_loss_small,p048,high_texture_brushwork,A Farm in Brittany,loss_small,24406.302673339844,16.435859627426172,,0.1585669219493866,0.1603070497512817,0.1060726642608642,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p045_mixed_damage,p045,high_texture_brushwork,Two Girls with Parasols,mixed_damage,23243.29553222656,12.35379933088982,,0.1722021251916885,0.130905270576477,0.0910028219223022,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p047_scratch_thin,p047,high_texture_brushwork,The Dance Class,scratch_thin,32697.06811523437,10.588467503814837,,0.1949182748794555,0.0913591980934143,0.0016411542892456,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p012_loss_large,p012,landscape_natural,An Extensive Wooded Landscape,loss_large,12483.520263671877,8.5917034013354,,0.0173544883728027,-0.0445501208305358,-0.4636712968349457,True,True,False,True,False,False,3,3,False,True,False,lowest_number_of_improved_metrics; mixed_metric_outcome
p015_loss_large,p015,landscape_natural,Landscape,loss_large,18072.2431640625,7.791581252492291,,0.2557416558265686,0.0382831096649169,0.1829873919486999,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p015_loss_small,p015,landscape_natural,Landscape,loss_small,15727.9150390625,13.357601145935634,,0.0558198243379592,0.0290002226829528,0.0308336019515991,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p011_mixed_damage,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,mixed_damage,21250.73583984375,9.572920686858668,,0.1531517803668975,-0.0448507666587829,-0.1016206741333007,True,True,False,True,False,False,3,3,False,True,False,lowest_number_of_improved_metrics; mixed_metric_outcome
p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),mixed_damage,4041.2360229492183,7.258835806410673,,0.078077495098114,0.1166434288024902,0.2315725088119506,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p015_scratch_thin,p015,landscape_natural,Landscape,scratch_thin,10499.930419921877,10.247094630949247,,0.0767566040158271,0.0657161474227905,0.2164626121520996,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p016_scratch_thin,p016,landscape_natural,Wooded Landscape with a House beside a River,scratch_thin,7386.870361328125,5.222177120027347,,-0.0061971694231033,0.0023524761199951,-0.0062337517738342,True,True,False,False,True,False,3,3,False,True,False,lowest_number_of_improved_metrics; mixed_metric_outcome
p001_loss_large,p001,portrait_figure,Juan de Pareja,loss_large,48133.03063964844,17.532739743795705,,0.3911323845386505,0.119137167930603,0.2484029531478881,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative; highest_number_of_improved_metrics
p001_loss_small,p001,portrait_figure,Juan de Pareja,loss_small,46912.75653839111,27.54322588719374,,0.3060020729899406,0.0711422562599182,0.0376319885253906,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p005_mixed_damage,p005,portrait_figure,Self-Portrait with Two Pupils,mixed_damage,35955.15686035156,13.303817748077147,,0.1993796452879905,0.0881147980690002,0.0685981512069702,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
p007_scratch_thin,p007,portrait_figure,Princesse de Broglie,scratch_thin,33821.682373046875,10.793600678301978,,0.1989440247416496,0.1057859659194946,0.0440046787261962,True,True,False,True,True,True,5,1,False,True,False,category_mask_representative
