case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_lpips_improvement,lama_lpips_improvement,stable_diffusion_inpainting_lpips_improvement,winner_lpips_improvement
p019_loss_small,p019,p019_loss_small,loss_small,landscape_natural,Evening: Landscape with an Aqueduct,0.1277342913672328,0.1341600185260176,0.0757067278027534,lama
p019_mixed_damage,p019,p019_mixed_damage,mixed_damage,landscape_natural,Evening: Landscape with an Aqueduct,0.2568657323718071,0.2713878732174635,0.1730627119541168,lama
p019_scratch_thin,p019,p019_scratch_thin,scratch_thin,landscape_natural,Evening: Landscape with an Aqueduct,0.2318075679359026,0.2309313808800652,0.1195244714617729,opencv_telea
p020_loss_large,p020,p020_loss_large,loss_large,landscape_natural,Mediterranean landscape (recto); Mountains (verso),0.0411601662635803,0.1962473690509796,0.1036734580993652,lama
p020_loss_small,p020,p020_loss_small,loss_small,landscape_natural,Mediterranean landscape (recto); Mountains (verso),0.1458450369536876,0.1552547495812177,0.0587169826030731,lama
p020_mixed_damage,p020,p020_mixed_damage,mixed_damage,landscape_natural,Mediterranean landscape (recto); Mountains (verso),0.2173627093434333,0.231095265597105,0.078077495098114,lama
p020_scratch_thin,p020,p020_scratch_thin,scratch_thin,landscape_natural,Mediterranean landscape (recto); Mountains (verso),0.1760402377694845,0.18449099175632,-0.0046174973249435,lama
p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,0.1856018304824829,0.367124080657959,0.3764849305152893,stable_diffusion_inpainting
p021_loss_small,p021,p021_loss_small,loss_small,architecture_structured,Interior of the Oude Kerk in Delft,0.1243019169196486,0.1342508741654455,0.0858667269349098,lama
p021_mixed_damage,p021,p021_mixed_damage,mixed_damage,architecture_structured,Interior of the Oude Kerk in Delft,0.2870566695928573,0.3142302092164755,0.2123121321201324,lama
p021_scratch_thin,p021,p021_scratch_thin,scratch_thin,architecture_structured,Interior of the Oude Kerk in Delft,0.1651452579535544,0.1671141358092427,0.1030701324343681,lama
p022_loss_large,p022,p022_loss_large,loss_large,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",0.2230064868927002,0.3454104363918304,0.1970531344413757,lama
p022_loss_small,p022,p022_loss_small,loss_small,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",0.2278032973408699,0.2494866512715816,0.1744770556688308,lama
p022_mixed_damage,p022,p022_mixed_damage,mixed_damage,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",0.3152439445257187,0.3365460224449634,0.2316171377897262,lama
p022_scratch_thin,p022,p022_scratch_thin,scratch_thin,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",0.4079075129702687,0.4102714832406491,0.2072476893663406,lama
p023_loss_large,p023,p023_loss_large,loss_large,architecture_structured,Church Interior,0.1813849210739135,0.3155145645141601,0.2994404435157776,lama
p023_loss_small,p023,p023_loss_small,loss_small,architecture_structured,Church Interior,0.175702765583992,0.241990203037858,0.213292047381401,lama
p023_mixed_damage,p023,p023_mixed_damage,mixed_damage,architecture_structured,Church Interior,0.1865038499236107,0.2147521125152707,0.1285345926880836,lama
p023_scratch_thin,p023,p023_scratch_thin,scratch_thin,architecture_structured,Church Interior,0.232626088312827,0.2326159684453159,0.1519695594906807,opencv_telea
p024_loss_large,p024,p024_loss_large,loss_large,architecture_structured,Interior of the Church of St Bavo in Haarlem,0.2307801246643066,0.3547512590885162,0.3654626607894897,stable_diffusion_inpainting
p024_loss_small,p024,p024_loss_small,loss_small,architecture_structured,Interior of the Church of St Bavo in Haarlem,0.1730891317129135,0.2009418876841664,0.1133153513073921,lama
p024_mixed_damage,p024,p024_mixed_damage,mixed_damage,architecture_structured,Interior of the Church of St Bavo in Haarlem,0.3252855390310287,0.3495922014117241,0.2796794325113296,lama
p024_scratch_thin,p024,p024_scratch_thin,scratch_thin,architecture_structured,Interior of the Church of St Bavo in Haarlem,0.2971309179556556,0.2943493665661663,0.2043969184160232,opencv_telea
p025_loss_large,p025,p025_loss_large,loss_large,architecture_structured,The Quay de Paris in Rouen,0.1499333083629608,0.2858003824949264,0.1446113884449005,lama
p025_loss_small,p025,p025_loss_small,loss_small,architecture_structured,The Quay de Paris in Rouen,0.1584991384297609,0.179416449740529,0.1145609095692634,lama
p025_mixed_damage,p025,p025_mixed_damage,mixed_damage,architecture_structured,The Quay de Paris in Rouen,0.2785918042063713,0.2981642391532659,0.1822948306798935,lama
p025_scratch_thin,p025,p025_scratch_thin,scratch_thin,architecture_structured,The Quay de Paris in Rouen,0.2010479914024472,0.2068924861960113,0.070682406425476,lama
p026_loss_large,p026,p026_loss_large,loss_large,architecture_structured,View of a Village along a River,0.1908375024795532,0.3403318673372268,0.1832665205001831,lama
p026_loss_small,p026,p026_loss_small,loss_small,architecture_structured,View of a Village along a River,0.2157316710799932,0.2262563621625304,0.0764611512422561,lama
p026_mixed_damage,p026,p026_mixed_damage,mixed_damage,architecture_structured,View of a Village along a River,0.3725520223379135,0.4282620996236801,0.294123500585556,lama
p026_scratch_thin,p026,p026_scratch_thin,scratch_thin,architecture_structured,View of a Village along a River,0.282367305830121,0.2812755932100117,0.1358342617750167,opencv_telea
p027_loss_large,p027,p027_loss_large,loss_large,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,0.1968157291412353,0.305446594953537,0.2495420277118683,lama
p027_loss_small,p027,p027_loss_small,loss_small,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,0.2420402653515339,0.267674284055829,0.1738183200359344,lama
