case_id,painting_id,mask_id,mask_type,evaluation_region,damaged_mse_opencv,restored_mse_opencv,mse_improvement_opencv,damaged_mae_opencv,restored_mae_opencv,mae_improvement_opencv,damaged_psnr_opencv,restored_psnr_opencv,psnr_improvement_opencv,damaged_ssim_opencv,restored_ssim_opencv,ssim_improvement_opencv,damaged_mse_lama,restored_mse_lama,mse_improvement_lama,damaged_mae_lama,restored_mae_lama,mae_improvement_lama,damaged_psnr_lama,restored_psnr_lama,psnr_improvement_lama,damaged_ssim_lama,restored_ssim_lama,ssim_improvement_lama,damaged_mse_delta_lama_minus_opencv,restored_mse_delta_lama_minus_opencv,mse_improvement_delta_lama_minus_opencv,damaged_mae_delta_lama_minus_opencv,restored_mae_delta_lama_minus_opencv,mae_improvement_delta_lama_minus_opencv,damaged_psnr_delta_lama_minus_opencv,restored_psnr_delta_lama_minus_opencv,psnr_improvement_delta_lama_minus_opencv,damaged_ssim_delta_lama_minus_opencv,restored_ssim_delta_lama_minus_opencv,ssim_improvement_delta_lama_minus_opencv,metric_family,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,winner_restored_mse,winner_mse_improvement,winner_restored_mae,winner_mae_improvement,winner_restored_psnr,winner_psnr_improvement,winner_restored_ssim,winner_ssim_improvement
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,masked_region,50740.69921875,219.76803588867188,50520.93118286133,224.4674072265625,7.844874382019043,216.62253284454343,1.0772391326102264,24.71115834048137,23.63391920787114,,,,50740.69921875,296.2032775878906,50444.49594116211,224.4673767089844,8.57044792175293,215.89692878723145,1.0772391326102264,23.41490501043087,22.337665877820644,,,,0.0,76.43524169921875,-76.43524169921875,-3.051757809657829e-05,0.7255735397338867,-0.7256040573119833,0.0,-1.2962533300504973,-1.2962533300504973,,,,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,opencv,opencv,opencv,opencv,opencv,opencv,missing,missing
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,mask_bbox_crop,4319.46728515625,18.708465576171875,4300.758819580078,19.108518600463867,0.6678204536437988,18.44069814682007,11.776501717805122,35.410421917072185,23.633920199267063,0.8938289125057407,0.9789317825687376,0.085102870062997,4319.46728515625,25.21527099609375,4294.252014160156,19.1085205078125,0.7295872569084167,18.378933250904083,11.776501717805122,34.11416720854388,22.33766549073876,0.8938289125057404,0.9773626887015384,0.083533776195798,0.0,6.506805419921875,-6.506805419921875,1.9073486328125e-06,0.06176680326461792,-0.06176489591598511,0.0,-1.296254708528302,-1.296254708528302,-3.3306690738754696e-16,-0.0015690938671991672,-0.0015690938671989868,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,opencv,opencv,opencv,opencv,opencv,opencv,opencv,opencv
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,full_image,658.9263305664062,2.351639986038208,656.574690580368,2.9604079723358154,0.0890858992934227,2.8713220730423927,19.942434986516563,44.41709524775212,24.47466026123556,0.9538924905467704,0.9956468139036048,0.0417543233568343,658.9262084960938,1.9680023193359373,656.9582061767578,2.9604079723358154,0.0879612639546394,2.872446708381176,19.94243579107491,45.19054754946264,25.24811175838773,0.9538924905467704,0.995590213904115,0.0416977233573445,-0.0001220703125,-0.38363766670227073,0.3835155963897705,0.0,-0.0011246353387833058,0.0011246353387832642,8.045583470561724e-07,0.7734523017105204,0.7734514971521698,0.0,-5.6599999489814756e-05,-5.659999948980088e-05,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,opencv,opencv
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,content_region,763.2811889648438,2.724071502685547,760.5571174621582,3.429250955581665,0.1031945198774337,3.3260564357042317,19.303958015250075,43.77861857915627,24.4746605639062,0.9502119395686554,0.9971594865176528,0.0469475469489975,763.2811279296875,2.279676914215088,761.0014510154724,3.429250955581665,0.1018917858600616,3.3273591697216034,19.30395836253012,44.55207059620125,25.24811223367113,0.9502119395686556,0.9963155793711148,0.0461036398024592,-6.103515625e-05,-0.444394588470459,0.444333553314209,0.0,-0.0013027340173720897,0.0013027340173716873,3.4728004649764443e-07,0.7734520170449741,0.7734516697649312,2.220446049250313e-16,-0.0008439071465380366,-0.0008439071465383002,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,opencv,opencv
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,masked_region,48508.55859375,173.1220245361328,48335.43656921387,217.93804931640625,6.558287620544434,211.37976169586184,1.272619908817357,25.747280386537167,24.47466047771981,,,,48508.5546875,144.8795623779297,48363.67512512207,217.93804931640625,6.475494861602783,211.46255445480347,1.2726202585418058,26.520732353864343,25.24811209532254,,,,-0.00390625,-28.242462158203125,28.238555908203125,0.0,-0.08279275894165039,0.08279275894162197,3.497244487338236e-07,0.7734519673271762,0.7734516176027313,,,,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,missing,missing
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,mask_bbox_crop,745.2952270507812,2.659881353378296,742.635345697403,3.3484437465667725,0.1007628440856933,3.247680902481079,19.407520208964083,43.88218095936958,24.47466075040549,0.9477950635908456,0.9950711325327593,0.0472760689419137,745.2952880859375,2.2259583473205566,743.069329738617,3.3484437465667725,0.0994907990097999,3.2489529475569725,19.407519853303278,44.65563327418226,25.24811342087899,0.9477950635908456,0.9950070475407662,0.0472119839499205,6.103515625e-05,-0.43392300605773926,0.43398404121398926,0.0,-0.001272045075893402,0.001272045075893402,-3.5566080569537917e-07,0.7734523148126797,0.7734526704734996,0.0,-6.408499199306306e-05,-6.40849919931949e-05,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,lama,lama,lama,lama,lama,lama,opencv,opencv
p001_zero_control,p001,p001_zero_control,zero_control,full_image,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,tie,tie,tie,tie,tie,tie,tie,tie
p001_zero_control,p001,p001_zero_control,zero_control,content_region,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,classical,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,tie,tie,tie,tie,tie,tie,tie,tie
p002_loss_large,p002,p002_loss_large,loss_large,full_image,4317.185546875,26.569765090942383,4290.615781784058,19.01308822631836,1.001087307929993,18.012000918388367,11.77879646413109,33.88692646132397,22.10812999719288,0.921262237309962,0.978299112102635,0.0570368747926729,4317.18603515625,7.98656702041626,4309.199468135834,19.01308822631836,0.5440995693206787,18.46898865699768,11.77879597293645,39.10720220412035,27.328406231183894,0.921262237309962,0.9827625726660448,0.0615003353560827,0.00048828125,-18.583198070526123,18.583686351776123,0.0,-0.4569877386093142,0.45698773860931396,-4.911946405172785e-07,5.220275742796382,5.220276233991015,0.0,0.004463460563409849,0.0044634605634098,classical,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama,lama,lama,lama,lama
p002_loss_large,p002,p002_loss_large,loss_large,content_region,7384.40625,45.44672393798828,7338.959526062012,32.52127456665039,1.7123275995254517,30.80894696712494,9.447647796647871,31.555777786329998,22.10812998968212,0.8645639386686043,0.9626725133684152,0.098108574699811,7384.40673828125,13.660765647888184,7370.745972633362,32.52128219604492,0.9306647777557372,31.590617418289185,9.447647509478076,36.77605319843449,27.328405688956416,0.8645639386686043,0.9703500685587496,0.1057861298901454,0.00048828125,-31.785958290100098,31.786446571350098,7.62939453125e-06,-0.7816628217697145,0.7816704511642456,-2.871697954986985e-07,5.220275412104492,5.220275699274296,0.0,0.0076775551903344175,0.00767755519033439,classical,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama,lama,lama,lama,lama,lama,lama
