case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue
p003_mixed_damage,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_mixed_damage,mixed_damage,stable_diffusion_inpainting,full_image,589824,0,0,768,768,48680,10.3234,8.2533,0.35796433687210083,0.07276030629873276,0.2852040305733681,alex,256,cuda,ok,
p003_mixed_damage,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_mixed_damage,mixed_damage,stable_diffusion_inpainting,content_region,471552,77,0,691,768,48680,10.3234,8.2533,0.38831058144569397,0.08346274495124817,0.3048478364944458,alex,256,cuda,ok,
p003_mixed_damage,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,586756,1,2,767,768,48680,10.3234,8.2533,0.35743048787117004,0.07015527784824371,0.28727521002292633,alex,256,cuda,ok,
p003_scratch_thin,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_scratch_thin,scratch_thin,stable_diffusion_inpainting,full_image,589824,0,0,768,768,10496,2.2258,1.7795,0.2528427243232727,0.11981566995382309,0.13302705436944962,alex,256,cuda,ok,
p003_scratch_thin,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_scratch_thin,scratch_thin,stable_diffusion_inpainting,content_region,471552,77,0,691,768,10496,2.2258,1.7795,0.2794487774372101,0.13601629436016083,0.14343248307704926,alex,256,cuda,ok,
p003_scratch_thin,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,10496,2.2258,1.7795,0.2528427243232727,0.11981566995382309,0.13302705436944962,alex,256,cuda,ok,
p003_zero_control,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_zero_control,zero_control,stable_diffusion_inpainting,full_image,589824,0,0,768,768,0,0.0,0.0,0.0,0.0,0.0,alex,256,cuda,ok,
p003_zero_control,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_zero_control,zero_control,stable_diffusion_inpainting,content_region,471552,77,0,691,768,0,0.0,0.0,0.0,0.0,0.0,alex,256,cuda,ok,
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_large,loss_large,stable_diffusion_inpainting,full_image,589824,0,0,768,768,56801,11.8335,9.6302,0.1364009827375412,0.08130781352519989,0.05509316921234131,alex,256,cuda,ok,
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_large,loss_large,stable_diffusion_inpainting,content_region,480000,0,71,768,696,56801,11.8335,9.6302,0.1741328239440918,0.10962362587451935,0.06450919806957245,alex,256,cuda,ok,
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,141376,229,295,605,671,56801,11.8335,9.6302,0.4880835711956024,0.2991456687450409,0.18893790245056152,alex,256,cuda,ok,
p004_loss_small,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_small,loss_small,stable_diffusion_inpainting,full_image,589824,0,0,768,768,16444,3.4258,2.788,0.11344283074140549,0.04620342701673508,0.06723940372467041,alex,256,cuda,ok,
p004_loss_small,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_small,loss_small,stable_diffusion_inpainting,content_region,480000,0,71,768,696,16444,3.4258,2.788,0.13579441606998444,0.06196959689259529,0.07382481917738914,alex,256,cuda,ok,
p004_loss_small,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,363609,130,0,733,603,16444,3.4258,2.788,0.14899508655071259,0.076189324259758,0.07280576229095459,alex,256,cuda,ok,
p004_mixed_damage,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_mixed_damage,mixed_damage,stable_diffusion_inpainting,full_image,589824,0,0,768,768,47183,9.8298,7.9995,0.3154430389404297,0.1136307567358017,0.201812282204628,alex,256,cuda,ok,
p004_mixed_damage,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_mixed_damage,mixed_damage,stable_diffusion_inpainting,content_region,480000,0,71,768,696,47183,9.8298,7.9995,0.34975969791412354,0.147851824760437,0.20190787315368652,alex,256,cuda,ok,
p004_mixed_damage,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,47183,9.8298,7.9995,0.3154430389404297,0.1136307567358017,0.201812282204628,alex,256,cuda,ok,
p004_scratch_thin,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_scratch_thin,scratch_thin,stable_diffusion_inpainting,full_image,589824,0,0,768,768,9499,1.979,1.6105,0.2398073375225067,0.060747161507606506,0.1790601760149002,alex,256,cuda,ok,
p004_scratch_thin,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_scratch_thin,scratch_thin,stable_diffusion_inpainting,content_region,480000,0,71,768,696,9499,1.979,1.6105,0.27021896839141846,0.08407855033874512,0.18614041805267334,alex,256,cuda,ok,
p004_scratch_thin,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,9499,1.979,1.6105,0.2398073375225067,0.060747161507606506,0.1790601760149002,alex,256,cuda,ok,
p004_zero_control,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_zero_control,zero_control,stable_diffusion_inpainting,full_image,589824,0,0,768,768,0,0.0,0.0,0.0,0.0,0.0,alex,256,cuda,ok,
p004_zero_control,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_zero_control,zero_control,stable_diffusion_inpainting,content_region,480000,0,71,768,696,0,0.0,0.0,0.0,0.0,0.0,alex,256,cuda,ok,
p005_loss_large,p005,portrait_figure,Self-Portrait with Two Pupils,p005_loss_large,loss_large,stable_diffusion_inpainting,full_image,589824,0,0,768,768,43712,10.0029,7.411,0.13569962978363037,0.07539119571447372,0.06030843406915665,alex,256,cuda,ok,
p005_loss_large,p005,portrait_figure,Self-Portrait with Two Pupils,p005_loss_large,loss_large,stable_diffusion_inpainting,content_region,436992,99,0,668,768,43712,10.0029,7.411,0.16761137545108795,0.09413538128137589,0.07347599416971207,alex,256,cuda,ok,
p005_loss_large,p005,portrait_figure,Self-Portrait with Two Pupils,p005_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,104329,301,378,624,701,43712,10.0029,7.411,0.5309920310974121,0.27195045351982117,0.25904157757759094,alex,256,cuda,ok,
p005_loss_small,p005,portrait_figure,Self-Portrait with Two Pupils,p005_loss_small,loss_small,stable_diffusion_inpainting,full_image,589824,0,0,768,768,21814,4.9919,3.6984,0.19314488768577576,0.05737416818737984,0.13577071949839592,alex,256,cuda,ok,
p005_loss_small,p005,portrait_figure,Self-Portrait with Two Pupils,p005_loss_small,loss_small,stable_diffusion_inpainting,content_region,436992,99,0,668,768,21814,4.9919,3.6984,0.23298943042755127,0.0635412186384201,0.16944821178913116,alex,256,cuda,ok,
