dataset_name,case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,metric_module,metric_version,metric_timestamp_utc,python_version,numpy_version,pandas_version,skimage_version,status,issue,ranking_group,rank
damage_size,p001__loss_large__size_10pct,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,50905,,,,,,,,47950.375,571.9752197265625,47378.39978027344,217.59043884277344,12.699316024780272,204.8911228179932,1.3228835291088628,20.557031470558925,19.23414794145006,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,3
damage_size,p001__loss_large__size_08pct,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,40785,,,,,,,,46975.75390625,771.8319091796875,46203.92199707031,215.2053680419922,15.185778617858888,200.0195894241333,1.4120660211776537,19.25557631599885,17.843510294821197,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,4
damage_size,p001__loss_large__size_02pct,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,10169,,,,,,,,45624.0,294.6995544433594,45329.30044555664,211.4823455810547,9.456812858581545,202.02553272247317,1.538870022908612,23.437008816278823,21.89813879337021,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,5
damage_size,p001__loss_large__size_06pct,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,30565,,,,,,,,45563.78515625,715.8074340820312,44847.97772216797,211.69924926757807,14.564229011535645,197.13502025604248,1.5446056547425258,19.58284156386377,18.038235909121244,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,6
damage_size,p001__loss_large__size_04pct,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,20290,,,,,,,,44921.1484375,349.9970703125,44571.1513671875,209.90977478027344,11.07862663269043,198.831148147583,1.6062951012413906,22.690159518103208,21.083864416861815,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,7
damage_size,p043__loss_large__size_02pct,p043,high_texture_brushwork,The Card Players,,,opencv_telea,masked_region,9418,,,,,,,,35909.12890625,997.8632202148438,34911.26568603516,187.5669708251953,20.305442810058597,167.26152801513672,2.57875490851762,18.14009345409184,15.56133854557422,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,8
damage_size,p043__loss_large__size_08pct,p043,high_texture_brushwork,The Card Players,,,opencv_telea,masked_region,37511,,,,,,,,35763.57421875,1003.1383666992188,34760.43585205078,186.7613983154297,21.935546875,164.8258514404297,2.596394450977524,18.11719519822161,15.520800747244085,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,9
damage_size,p043__loss_large__size_10pct,p043,high_texture_brushwork,The Card Players,,,opencv_telea,masked_region,46880,,,,,,,,35699.00390625,959.2766723632812,34739.72723388672,186.65072631835935,21.260929107666016,165.38979721069336,2.6042426251634243,18.311364774185613,15.707122149022188,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,10
damage_size,p039__loss_large__size_02pct,p039,abstraction_surrealism,Painting with Troika,,,opencv_telea,masked_region,8683,,,,,,,,12292.1845703125,96.89166259765624,12195.292907714844,100.6106948852539,6.117893218994141,94.49280166625977,7.234512881912785,28.26793952688282,21.033426644970035,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,1
damage_size,p039__loss_large__size_10pct,p039,abstraction_surrealism,Painting with Troika,,,opencv_telea,masked_region,43405,,,,,,,,13166.9912109375,740.9740600585938,12426.017150878906,105.24620056152344,18.120363235473636,87.1258373260498,6.935938151979066,19.432773563576824,12.496835411597758,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,2
damage_size,p039__loss_large__size_08pct,p039,abstraction_surrealism,Painting with Troika,,,opencv_telea,masked_region,34593,,,,,,,,13202.2626953125,713.9940185546875,12488.268676757812,105.22012329101562,17.23921012878418,87.98091316223145,6.92431990883673,19.593857873544447,12.669537964707718,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,3
damage_size,p039__loss_large__size_15pct,p039,abstraction_surrealism,Painting with Troika,,,opencv_telea,masked_region,64917,,,,,,,,13486.9912109375,911.1426391601562,12575.848571777344,106.55935668945312,21.2552433013916,85.30411338806152,6.831652863799179,18.534939898762723,11.703287034963544,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,4
damage_size,p039__loss_large__size_04pct,p039,abstraction_surrealism,Painting with Troika,,,opencv_telea,masked_region,17329,,,,,,,,12887.5537109375,281.5643615722656,12605.989349365234,103.5378646850586,10.209282875061035,93.32858180999756,7.029098725809803,23.635026768466577,16.605928042656775,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,5
damage_size,p039__loss_large__size_06pct,p039,abstraction_surrealism,Painting with Troika,,,opencv_telea,masked_region,25949,,,,,,,,13188.3095703125,483.3547973632813,12704.95477294922,104.99393463134766,14.349801063537598,90.64413356781006,6.92891228045828,21.288143274847545,14.35923099438926,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,6
damage_size,p039__loss_large__size_20pct,p039,abstraction_surrealism,Painting with Troika,,,opencv_telea,masked_region,86644,,,,,,,,16026.671875,2042.1031494140625,13984.568725585938,115.4457778930664,30.04551124572754,85.40026664733887,6.082370154562388,15.030026857566195,8.947656703003808,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,7
damage_size,p026__loss_large__size_02pct,p026,architecture_structured,View of a Village along a River,,,opencv_telea,masked_region,8147,,,,,,,,14749.228515625,32.26791000366211,14716.960605621338,117.75950622558594,4.263491630554199,113.49601459503174,6.4431105649742415,33.04309523857906,26.599984673604823,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,8
damage_size,p026__loss_large__size_04pct,p026,architecture_structured,View of a Village along a River,,,opencv_telea,masked_region,16243,,,,,,,,15230.904296875,103.4391632080078,15127.465133666992,119.81558990478516,6.430975437164307,113.38461446762084,6.303546716169715,27.98395362294245,21.68040690677273,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,9
damage_size,p026__loss_large__size_06pct,p026,architecture_structured,View of a Village along a River,,,opencv_telea,masked_region,24409,,,,,,,,15552.4482421875,109.92189025878906,15442.526351928713,120.9279327392578,6.888442993164063,114.03948974609376,6.212815961623025,27.71996172794512,21.507145766322093,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,worst,10
mask_robustness,p001__scratch_thin__variant_01,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,10186,,,,,,,,54909.4765625,44.40283966064453,54865.07372283936,234.1381683349609,3.657307386398315,230.48086094856265,0.7343305715309524,31.656696157642585,30.922365586111628,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,1
mask_robustness,p001__loss_small__variant_03,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,22960,,,,,,,,52737.828125,100.2885284423828,52637.53959655762,229.2097320556641,6.437804698944092,222.77192735672,0.9095812036972816,28.118291020159614,27.20870981646233,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,2
mask_robustness,p001__scratch_thin__variant_04,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,10157,,,,,,,,51953.40625,148.93780517578125,51804.46844482422,226.14236450195312,5.9301629066467285,220.2122015953064,0.9746633415116585,26.40075411300605,25.426090771494398,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,3
mask_robustness,p001__scratch_thin__variant_02,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,10191,,,,,,,,51236.26953125,105.26343536376952,51131.00609588623,224.4574279785156,5.019494533538818,219.4379334449768,1.0350285925215958,27.90802821377204,26.872999621250443,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,4
mask_robustness,p001__loss_small__variant_01,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,22079,,,,,,,,50764.4375,246.1794891357422,50518.25801086426,224.59039306640625,9.24279499053955,215.3475980758667,1.075207825608837,24.218284947512416,23.143077121903577,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,5
mask_robustness,p001__loss_small__variant_04,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,22924,,,,,,,,50626.421875,158.54554748535156,50467.87632751465,224.1803436279297,6.048130035400391,218.1322135925293,1.0870312703936302,26.12926310844725,25.042231838053624,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,6
mask_robustness,p001__loss_small__variant_05,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,22900,,,,,,,,50742.828125,286.4866027832031,50456.3415222168,223.76339721679688,8.425894737243652,215.3375024795532,1.0770569213171826,23.559760433720744,22.48270351240356,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,7
mask_robustness,p001__scratch_thin__variant_05,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,10152,,,,,,,,50096.9765625,72.26287078857422,50024.71369171143,222.7894287109375,4.40070915222168,218.38871955871585,1.1326884461832123,29.54165150067252,28.40896305448931,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,8
mask_robustness,p001__loss_large__variant_01,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,63739,,,,,,,,50335.02734375,456.98187255859375,49878.045471191406,223.1496124267578,13.359423637390137,209.79018878936768,1.11210051996465,21.5318138794011,20.41971335943645,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,9
mask_robustness,p001__scratch_thin__variant_03,p001,portrait_figure,Juan de Pareja,,,opencv_telea,masked_region,8635,,,,,,,,49101.078125,53.75004959106445,49047.328075408936,219.58966064453125,3.9206717014312735,215.6689889431,1.2198933272461991,30.82701491589743,29.60712158865123,,,,restoration_eval.metrics_classical,2.0.0,2026-07-24T08:38:36.435311+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,best,10
