original_case_id,case_id,painting_id,category,mask_type,title,final_visual_source,final_visual_reason,final_figure_path,overall_metric_vote,masked_std_mean,refined_overall_metric_vote,combined_uncertainty_index,mean_pairwise_lpips,mean_dinov2_uncertainty_distance,refined_stable_diffusion_metric_wins,uncertainty_performance_quadrant,final_figure_exists
p043_loss_small,p043_loss_small,p043,high_texture_brushwork,loss_small,The Card Players,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p043_loss_small.png,,0.0636869892477989,,,,,,,True
p041_mixed_damage,p041_mixed_damage,p041,high_texture_brushwork,mixed_damage,Wheat Field with Cypresses,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p041_mixed_damage.png,,0.0716255381703376,,,,,,,True
p043_scratch_thin,p043_scratch_thin,p043,high_texture_brushwork,scratch_thin,The Card Players,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p043_scratch_thin.png,,0.0444263406097888,,,,,,,True
p011_loss_large,p011_loss_large,p011,landscape_natural,loss_large,View of Haarlem and the Haarlemmer Meer,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p011_loss_large.png,,0.1499835401773452,,,,,,,True
p011_loss_small,p011_loss_small,p011,landscape_natural,loss_small,View of Haarlem and the Haarlemmer Meer,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p011_loss_small.png,,0.0771278142929077,,,,,,,True
p011_mixed_damage,p011_mixed_damage,p011,landscape_natural,mixed_damage,View of Haarlem and the Haarlemmer Meer,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p011_mixed_damage.png,,0.0970265045762062,,,,,,,True
p018_scratch_thin,p018_scratch_thin,p018,landscape_natural,scratch_thin,Classical Landscape with Figures,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p018_scratch_thin.png,,0.0602334327995777,,,,,,,True
p009_loss_large,p009_loss_large,p009,portrait_figure,loss_large,Madame Roulin and Her Baby,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p009_loss_large.png,,0.1475362777709961,,,,,,,True
p009_loss_small,p009_loss_small,p009,portrait_figure,loss_small,Madame Roulin and Her Baby,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p009_loss_small.png,,0.0796408057212829,,,,,,,True
p009_mixed_damage,p009_mixed_damage,p009,portrait_figure,mixed_damage,Madame Roulin and Her Baby,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p009_mixed_damage.png,,0.0841203480958938,,,,,,,True
