case_id,painting_id,category,title,mask_type,mse_improvement,psnr_improvement,ssim_improvement,lpips_improvement,clip_similarity_improvement,dinov2_similarity_improvement,mse_improved,psnr_improved,ssim_improved,lpips_improved,clip_improved,dinov2_improved,num_metrics_improved,num_metrics_not_improved,all_metrics_improved,mixed_metric_outcome,all_metrics_not_improved
p011_loss_small,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,loss_small,21059.803588867188,11.366203333317472,,0.1337623745203018,0.0295231342315673,-0.1343542337417602,True,True,False,True,True,False,4,2,False,True,False
p011_mixed_damage,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,mixed_damage,21250.73583984375,9.572920686858668,,0.1531517803668975,-0.0448507666587829,-0.1016206741333007,True,True,False,True,False,False,3,3,False,True,False
p011_scratch_thin,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,scratch_thin,25358.513916015625,10.437852352457105,,0.190950408577919,0.0342658162117004,-0.064848780632019,True,True,False,True,True,False,4,2,False,True,False
p012_loss_large,p012,landscape_natural,An Extensive Wooded Landscape,loss_large,12483.520263671877,8.5917034013354,,0.0173544883728027,-0.0445501208305358,-0.4636712968349457,True,True,False,True,False,False,3,3,False,True,False
p012_loss_small,p012,landscape_natural,An Extensive Wooded Landscape,loss_small,15486.822631835938,10.649941813197676,,0.0399166196584701,0.0562354326248168,0.0373371839523315,True,True,False,True,True,True,5,1,False,True,False
p012_mixed_damage,p012,landscape_natural,An Extensive Wooded Landscape,mixed_damage,15311.829223632812,11.274462601603547,,0.1814938113093376,0.0527564883232116,-0.1233280897140502,True,True,False,True,True,False,4,2,False,True,False
p012_scratch_thin,p012,landscape_natural,An Extensive Wooded Landscape,scratch_thin,22696.925048828125,9.351993655913816,,0.2050558626651764,0.0660505294799804,-0.0181735157966613,True,True,False,True,True,False,4,2,False,True,False
p013_loss_large,p013,landscape_natural,Landscape with a Village in the Distance,loss_large,44819.569580078125,15.590187361422243,,0.2949917912483215,0.1628702282905578,0.1804767251014709,True,True,False,True,True,True,5,1,False,True,False
p013_loss_small,p013,landscape_natural,Landscape with a Village in the Distance,loss_small,28123.75561523437,12.70643471485098,,0.1240322440862655,0.1456443071365356,0.0209220647811889,True,True,False,True,True,True,5,1,False,True,False
p013_mixed_damage,p013,landscape_natural,Landscape with a Village in the Distance,mixed_damage,38105.24084472656,13.983367179007992,,0.2318646013736724,0.1836987733840942,0.1426100134849548,True,True,False,True,True,True,5,1,False,True,False
p013_scratch_thin,p013,landscape_natural,Landscape with a Village in the Distance,scratch_thin,38290.935546875,12.513656114906125,,0.2413711994886398,0.073251724243164,-0.0679764747619628,True,True,False,True,True,False,4,2,False,True,False
p014_loss_large,p014,landscape_natural,Landscape on a River,loss_large,26834.002807617188,13.530641901476915,,0.3364683389663696,0.1319248676300048,0.2143839597702026,True,True,False,True,True,True,5,1,False,True,False
p014_loss_small,p014,landscape_natural,Landscape on a River,loss_small,23366.703125,15.170132004652444,,0.1165874898433685,0.0695773363113403,0.2377304434776306,True,True,False,True,True,True,5,1,False,True,False
p014_mixed_damage,p014,landscape_natural,Landscape on a River,mixed_damage,23335.64599609375,12.53892686948062,,0.2389728873968124,0.0638896822929382,0.2071213722229004,True,True,False,True,True,True,5,1,False,True,False
p014_scratch_thin,p014,landscape_natural,Landscape on a River,scratch_thin,34379.2998046875,8.223893279315224,,0.1565363407135009,0.0118151307106018,-0.1291376948356628,True,True,False,True,True,False,4,2,False,True,False
p015_loss_large,p015,landscape_natural,Landscape,loss_large,18072.2431640625,7.791581252492291,,0.2557416558265686,0.0382831096649169,0.1829873919486999,True,True,False,True,True,True,5,1,False,True,False
p015_loss_small,p015,landscape_natural,Landscape,loss_small,15727.9150390625,13.357601145935634,,0.0558198243379592,0.0290002226829528,0.0308336019515991,True,True,False,True,True,True,5,1,False,True,False
p015_mixed_damage,p015,landscape_natural,Landscape,mixed_damage,13785.005981445312,9.697392330658856,,0.1744287461042404,0.1151304244995117,0.349903404712677,True,True,False,True,True,True,5,1,False,True,False
p015_scratch_thin,p015,landscape_natural,Landscape,scratch_thin,10499.930419921877,10.247094630949247,,0.0767566040158271,0.0657161474227905,0.2164626121520996,True,True,False,True,True,True,5,1,False,True,False
p016_loss_large,p016,landscape_natural,Wooded Landscape with a House beside a River,loss_large,11004.8154296875,8.224557462494879,,0.2160878777503967,0.1655480861663818,0.0975992679595947,True,True,False,True,True,True,5,1,False,True,False
p016_loss_small,p016,landscape_natural,Wooded Landscape with a House beside a River,loss_small,14228.2294921875,10.253672431326825,,0.0541728213429451,0.0872040390968322,0.0305869579315185,True,True,False,True,True,True,5,1,False,True,False
p016_mixed_damage,p016,landscape_natural,Wooded Landscape with a House beside a River,mixed_damage,10800.452514648438,9.61430297652503,,0.1151655092835426,0.1614837646484375,0.2564638257026672,True,True,False,True,True,True,5,1,False,True,False
p016_scratch_thin,p016,landscape_natural,Wooded Landscape with a House beside a River,scratch_thin,7386.870361328125,5.222177120027347,,-0.0061971694231033,0.0023524761199951,-0.0062337517738342,True,True,False,False,True,False,3,3,False,True,False
p017_loss_large,p017,landscape_natural,Picturesque Landscape,loss_large,8670.136962890625,7.782120558985792,,0.155702531337738,0.0748223662376403,0.0428134202957153,True,True,False,True,True,True,5,1,False,True,False
p017_loss_small,p017,landscape_natural,Picturesque Landscape,loss_small,8928.1220703125,8.12647074695624,,0.0157363265752792,0.0533778667449951,0.0323911309242248,True,True,False,True,True,True,5,1,False,True,False
p017_mixed_damage,p017,landscape_natural,Picturesque Landscape,mixed_damage,8418.721435546875,6.310331008120237,,0.0704725682735443,0.0706003308296203,0.3208771347999573,True,True,False,True,True,True,5,1,False,True,False
p017_scratch_thin,p017,landscape_natural,Picturesque Landscape,scratch_thin,9532.495849609377,6.732647163035898,,-0.021345242857933,0.0049807429313659,0.036929965019226,True,True,False,False,True,True,4,2,False,True,False
p018_loss_large,p018,landscape_natural,Classical Landscape with Figures,loss_large,19818.33935546875,11.440559586906357,,0.251799464225769,0.0589441657066345,0.0909712314605712,True,True,False,True,True,True,5,1,False,True,False
p018_loss_small,p018,landscape_natural,Classical Landscape with Figures,loss_small,30069.90704345703,15.574936960095895,,0.1324931234121322,0.0989964008331298,0.000497817993164,True,True,False,True,True,True,5,1,False,True,False
p018_mixed_damage,p018,landscape_natural,Classical Landscape with Figures,mixed_damage,24390.736206054688,12.688096780959205,,0.2255993708968162,0.1264335513114929,0.0143761038780212,True,True,False,True,True,True,5,1,False,True,False
p018_scratch_thin,p018,landscape_natural,Classical Landscape with Figures,scratch_thin,36395.1982421875,10.416011550036568,,0.1852278709411621,0.0600785613059997,0.0075247287750244,True,True,False,True,True,True,5,1,False,True,False
p019_loss_large,p019,landscape_natural,Evening: Landscape with an Aqueduct,loss_large,26482.109741210938,12.170281263022202,,0.1839820742607116,0.1403539776802063,0.0417901277542114,True,True,False,True,True,True,5,1,False,True,False
p019_loss_small,p019,landscape_natural,Evening: Landscape with an Aqueduct,loss_small,44788.19366455078,21.66561692769137,,0.0757067278027534,0.0793157219886779,-0.0176209211349487,True,True,False,True,True,False,4,2,False,True,False
p019_mixed_damage,p019,landscape_natural,Evening: Landscape with an Aqueduct,mixed_damage,42396.10107421875,13.649128008119176,,0.1730627119541168,0.1139929294586181,0.0278804898262023,True,True,False,True,True,True,5,1,False,True,False
p019_scratch_thin,p019,landscape_natural,Evening: Landscape with an Aqueduct,scratch_thin,27937.944580078125,9.8517470961215,,0.1195244714617729,0.079303503036499,0.0092765092849731,True,True,False,True,True,True,5,1,False,True,False
p020_loss_large,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),loss_large,3271.84521484375,3.080566935596501,,0.1036734580993652,0.0788500905036926,-0.1451420783996582,True,True,False,True,True,False,4,2,False,True,False
p020_loss_small,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),loss_small,3800.551696777344,9.86282473677505,,0.0587169826030731,0.0407267808914184,-0.0383217334747314,True,True,False,True,True,False,4,2,False,True,False
p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),mixed_damage,4041.2360229492183,7.258835806410673,,0.078077495098114,0.1166434288024902,0.2315725088119506,True,True,False,True,True,True,5,1,False,True,False
p020_scratch_thin,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),scratch_thin,5508.611083984375,4.063809544919135,,-0.0046174973249435,0.0602014660835266,0.0225753188133239,True,True,False,False,True,True,4,2,False,True,False
p021_loss_large,p021,architecture_structured,Interior of the Oude Kerk in Delft,loss_large,26212.961181640625,14.473169042182915,,0.3764849305152893,0.1872813105583191,0.1043593287467956,True,True,False,True,True,True,5,1,False,True,False
p021_loss_small,p021,architecture_structured,Interior of the Oude Kerk in Delft,loss_small,36244.25830078125,17.2259426798553,,0.0858667269349098,0.035118818283081,-0.0138382911682128,True,True,False,True,True,False,4,2,False,True,False
p021_mixed_damage,p021,architecture_structured,Interior of the Oude Kerk in Delft,mixed_damage,24060.83374023437,13.359440655341125,,0.2123121321201324,0.1840514540672302,0.0479581952095031,True,True,False,True,True,True,5,1,False,True,False
p021_scratch_thin,p021,architecture_structured,Interior of the Oude Kerk in Delft,scratch_thin,31118.88256835937,10.999164138235503,,0.1030701324343681,0.0191894173622131,-0.0153008103370666,True,True,False,True,True,False,4,2,False,True,False
p022_loss_large,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",loss_large,28848.9365234375,7.652192332908034,,0.1970531344413757,0.0926300883293151,-0.0938760042190551,True,True,False,True,True,False,4,2,False,True,False
p022_loss_small,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",loss_small,36293.68701171875,15.3972359027654,,0.1744770556688308,0.1179263591766357,0.0371463298797607,True,True,False,True,True,True,5,1,False,True,False
p022_mixed_damage,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",mixed_damage,34700.7041015625,13.994738075426206,,0.2316171377897262,0.080369234085083,-0.0185404419898986,True,True,False,True,True,False,4,2,False,True,False
p022_scratch_thin,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",scratch_thin,29624.00170898437,9.988999054388024,,0.2072476893663406,0.0450552105903625,-0.0134602189064025,True,True,False,True,True,False,4,2,False,True,False
p023_loss_large,p023,architecture_structured,Church Interior,loss_large,12824.967041015623,7.521437672070228,,0.2994404435157776,0.0537840127944946,-0.0405088663101196,True,True,False,True,True,False,4,2,False,True,False
p023_loss_small,p023,architecture_structured,Church Interior,loss_small,19520.14802551269,20.21077316538336,,0.213292047381401,0.1667094826698303,0.0005125403404235,True,True,False,True,True,True,5,1,False,True,False
p023_mixed_damage,p023,architecture_structured,Church Interior,mixed_damage,17568.786010742188,12.52247911050315,,0.1285345926880836,0.0762113332748413,-0.0050534009933471,True,True,False,True,True,False,4,2,False,True,False
p023_scratch_thin,p023,architecture_structured,Church Interior,scratch_thin,18176.326904296875,10.13382166843723,,0.1519695594906807,0.0779399871826171,-0.0141299366950988,True,True,False,True,True,False,4,2,False,True,False
p024_loss_large,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,loss_large,25933.097900390625,9.351774866247656,,0.3654626607894897,0.1614338159561157,0.0717297196388244,True,True,False,True,True,True,5,1,False,True,False
p024_loss_small,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,loss_small,35109.050354003906,17.71673750734097,,0.1133153513073921,0.1199300289154052,-0.0102882385253906,True,True,False,True,True,False,4,2,False,True,False
p024_mixed_damage,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,mixed_damage,35881.376220703125,16.918927672002578,,0.2796794325113296,0.1034452319145202,0.0607181191444397,True,True,False,True,True,True,5,1,False,True,False
p024_scratch_thin,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,scratch_thin,33975.85852050781,13.442451689892076,,0.2043969184160232,0.0588552355766296,0.0211443901062011,True,True,False,True,True,True,5,1,False,True,False
p025_loss_large,p025,architecture_structured,The Quay de Paris in Rouen,loss_large,9681.6865234375,5.075940624731004,,0.1446113884449005,0.2034172415733337,-0.0833163261413574,True,True,False,True,True,False,4,2,False,True,False
p025_loss_small,p025,architecture_structured,The Quay de Paris in Rouen,loss_small,13695.993957519531,13.017073495320847,,0.1145609095692634,0.1477423310279846,-0.0008354783058166,True,True,False,True,True,False,4,2,False,True,False
p025_mixed_damage,p025,architecture_structured,The Quay de Paris in Rouen,mixed_damage,17262.776245117188,13.139986697859957,,0.1822948306798935,0.1546518206596374,0.0277441143989563,True,True,False,True,True,True,5,1,False,True,False
p025_scratch_thin,p025,architecture_structured,The Quay de Paris in Rouen,scratch_thin,13404.330078125,7.6907362941625985,,0.070682406425476,0.0362446308135986,-0.0098198056221008,True,True,False,True,True,False,4,2,False,True,False
p026_loss_large,p026,architecture_structured,View of a Village along a River,loss_large,15584.4873046875,9.242691882745962,,0.1832665205001831,0.1421346664428711,0.1255364418029785,True,True,False,True,True,True,5,1,False,True,False
p026_loss_small,p026,architecture_structured,View of a Village along a River,loss_small,20060.11865234375,15.122053049197714,,0.0764611512422561,0.1198295354843139,-0.0609058737754821,True,True,False,True,True,False,4,2,False,True,False
p026_mixed_damage,p026,architecture_structured,View of a Village along a River,mixed_damage,28988.41259765625,15.45149612701214,,0.294123500585556,0.0676639676094055,0.1085870265960693,True,True,False,True,True,True,5,1,False,True,False
p026_scratch_thin,p026,architecture_structured,View of a Village along a River,scratch_thin,19218.38732910156,10.496163432547377,,0.1358342617750167,0.0497865080833435,0.0268035531044006,True,True,False,True,True,True,5,1,False,True,False
p027_loss_large,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,loss_large,25824.267211914062,13.206782512217902,,0.2495420277118683,0.1403659582138061,0.0868879556655883,True,True,False,True,True,True,5,1,False,True,False
p027_loss_small,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,loss_small,30881.99267578125,18.329116119780718,,0.1738183200359344,0.1378035545349121,0.0292200446128845,True,True,False,True,True,True,5,1,False,True,False
p027_mixed_damage,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,mixed_damage,22564.4794921875,12.410664790825304,,0.2755132764577865,0.1747500896453857,0.1278715133666992,True,True,False,True,True,True,5,1,False,True,False
p027_scratch_thin,p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,scratch_thin,29328.32861328125,12.408450298882844,,0.2503480017185211,0.0667045712471008,0.0285481214523315,True,True,False,True,True,True,5,1,False,True,False
p028_loss_large,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),loss_large,17345.1845703125,12.287510900784522,,0.2185256481170654,0.01669842004776,-0.2702480554580688,True,True,False,True,True,False,4,2,False,True,False
p028_loss_small,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),loss_small,12091.165649414062,10.803716437487353,,0.103492870926857,0.0708010196685791,-0.0634970664978027,True,True,False,True,True,False,4,2,False,True,False
p028_mixed_damage,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),mixed_damage,24006.63842773437,15.471718614860436,,0.1676036566495895,0.0124500393867492,0.0826451182365417,True,True,False,True,True,True,5,1,False,True,False
p028_scratch_thin,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),scratch_thin,23586.956298828125,13.131313391390282,,0.1928989589214325,-0.0369951725006103,0.1069899201393127,True,True,False,True,False,True,4,2,False,True,False
p029_loss_large,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",loss_large,24481.54553222656,14.128106604973604,,0.1943297684192657,0.0731165409088134,-0.1641303896903991,True,True,False,True,True,False,4,2,False,True,False
p029_loss_small,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",loss_small,23678.542846679688,16.028244691583716,,0.0809021294116973,0.0389434695243835,-0.0261192321777343,True,True,False,True,True,False,4,2,False,True,False
p029_mixed_damage,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",mixed_damage,21183.02423095703,13.634269834679213,,0.139661967754364,0.0974428653717041,-0.0406013131141662,True,True,False,True,True,False,4,2,False,True,False
