case_id,painting_id,category,title,mask_type,mse_improvement,restored_mse,mae_improvement,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement
p017_loss_small,p017,landscape_natural,Picturesque Landscape,loss_small,9369.60302734375,1182.99365234375,69.07392120361328,9.50376925403277,0.1596577912569046,0.0607866533100605,0.0988711379468441,0.9275311827659607,0.9874557852745056,0.05992460250854492,0.9007911682128906,0.9423382878303528,0.04154711961746216
p017_mixed_damage,p017,landscape_natural,Picturesque Landscape,mixed_damage,9888.088256835938,1100.4859619140625,73.32229804992676,9.9935683887564,0.1956104636192321,0.0601286329329013,0.1354818306863308,0.9047964215278625,0.9817307591438293,0.0769343376159668,0.620887279510498,0.9050168991088867,0.28412961959838867
p017_scratch_thin,p017,landscape_natural,Picturesque Landscape,scratch_thin,11575.901550292969,524.1697387695312,85.71289825439453,13.633159842648114,0.093231976032257,0.0017884789267554,0.0914434971055015,0.9738470315933228,0.9998577237129211,0.02601069211959839,0.9146866798400879,0.999579131603241,0.08489245176315308
p018_loss_large,p018,landscape_natural,Classical Landscape with Figures,loss_large,19571.1416015625,1779.5400390625,109.93971633911131,10.791039809108009,0.4889947175979614,0.2848009169101715,0.2041938006877899,0.7809575200080872,0.8495891690254211,0.06863164901733398,0.7993388175964355,0.6735560894012451,-0.12578272819519043
p018_loss_small,p018,landscape_natural,Classical Landscape with Figures,loss_small,30529.275512695312,397.3514404296875,159.48878288269043,18.9115776406979,0.1956119090318679,0.0303131341934204,0.1652987748384475,0.8612545728683472,0.9899399280548096,0.1286853551864624,0.934274435043335,0.974801242351532,0.04052680730819702
p018_mixed_damage,p018,landscape_natural,Classical Landscape with Figures,mixed_damage,25292.44403076172,486.5032348632813,136.4554271697998,17.241794457739033,0.3198767006397247,0.0355604253709316,0.2843162752687931,0.8171550631523132,0.983364462852478,0.1662093997001648,0.8492283821105957,0.9440875053405762,0.09485912322998047
p018_scratch_thin,p018,landscape_natural,Classical Landscape with Figures,scratch_thin,39903.2108001709,129.58216857910156,188.00163555145264,24.89870646934432,0.3084329068660736,0.001888807513751,0.3065440993523225,0.8418958783149719,0.999458372592926,0.1575624942779541,0.8510454893112183,0.9973672032356262,0.14632171392440796
p019_loss_large,p019,landscape_natural,Evening: Landscape with an Aqueduct,loss_large,25688.907470703125,2503.639404296875,115.27515411376952,10.515625329840375,0.3367928862571716,0.2090591490268707,0.1277337372303009,0.8348726034164429,0.842919111251831,0.008046507835388184,0.8428912162780762,0.7410085201263428,-0.1018826961517334
p019_loss_small,p019,landscape_natural,Evening: Landscape with an Aqueduct,loss_small,44883.55497741699,211.9489288330078,201.28735542297363,23.27902018150616,0.1374032497406005,0.0096689583733677,0.1277342913672328,0.9093717336654663,0.9983211159706116,0.08894938230514526,0.9829432964324951,0.9982332587242126,0.01528996229171753
p019_mixed_damage,p019,landscape_natural,Evening: Landscape with an Aqueduct,mixed_damage,43425.31103515625,883.16943359375,187.6593894958496,17.004428266766354,0.2981544435024261,0.041288711130619,0.2568657323718071,0.8363569974899292,0.9697107076644897,0.13335371017456055,0.8715859651565552,0.9664433598518372,0.09485739469528198
p019_scratch_thin,p019,landscape_natural,Evening: Landscape with an Aqueduct,scratch_thin,30969.56401062012,192.8344268798828,152.69229936599731,22.08446304669564,0.232696533203125,0.0008889652672223,0.2318075679359026,0.8819652795791626,0.9990091919898987,0.11704391241073608,0.9189552068710327,0.9988629817962646,0.07990777492523193
p020_loss_large,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),loss_large,5225.530151367188,1214.7965087890625,46.85239410400391,7.244043606658163,0.4251325726509094,0.3839724063873291,0.0411601662635803,0.7383415102958679,0.7352237701416016,-0.0031177401542663574,0.6712355613708496,0.30721327662467957,-0.36402228474617004
p020_loss_small,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),loss_small,3981.432342529297,256.5134582519531,53.18275737762451,12.18045242436436,0.1722374260425567,0.026392389088869,0.1458450369536876,0.92588210105896,0.9860410690307617,0.06015896797180176,0.9356804490089417,0.9814157485961914,0.045735299587249756
p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),mixed_damage,4540.541717529297,436.2405090332031,50.75857925415039,10.572226459126258,0.2603759467601776,0.0430132374167442,0.2173627093434333,0.82358717918396,0.9845389127731323,0.16095173358917236,0.5853419303894043,0.8965532183647156,0.3112112879753113
p020_scratch_thin,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),scratch_thin,8513.512023925781,551.1862182617188,71.37262725830078,12.160550012637731,0.1887379437685012,0.0126977059990167,0.1760402377694845,0.8784410953521729,0.9983105659484863,0.11986947059631348,0.7769420742988586,0.9979255199432373,0.22098344564437866
p021_loss_large,p021,architecture_structured,Interior of the Oude Kerk in Delft,loss_large,25887.306640625,1296.13671875,129.0927219390869,13.216536543976552,0.5458166599273682,0.3602148294448852,0.1856018304824829,0.7417051196098328,0.7711997032165527,0.02949458360671997,0.7518935203552246,0.7293261885643005,-0.022567331790924072
p021_loss_small,p021,architecture_structured,Interior of the Oude Kerk in Delft,loss_small,36344.1103515625,599.9091796875,171.2017002105713,17.894586376986883,0.1392950266599655,0.0149931097403168,0.1243019169196486,0.9443843364715576,0.9931249618530273,0.04874062538146973,0.9746301174163818,0.9940529465675354,0.019422829151153564
p021_mixed_damage,p021,architecture_structured,Interior of the Oude Kerk in Delft,mixed_damage,24579.17987060547,645.4588012695312,136.07932567596436,15.919564268611753,0.3369160294532776,0.0498593598604202,0.2870566695928573,0.7696847915649414,0.9935266375541687,0.2238418459892273,0.8578055500984192,0.9686282873153687,0.11082273721694946
p021_scratch_thin,p021,architecture_structured,Interior of the Oude Kerk in Delft,scratch_thin,33284.92254638672,519.6751098632812,162.9844036102295,18.132438547733347,0.1697319447994232,0.0045866868458688,0.1651452579535544,0.9584926962852478,0.9992485046386719,0.04075580835342407,0.9599762558937073,0.9991269707679749,0.03915071487426758
p022_loss_large,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",loss_large,32630.9658203125,2198.2958984375,150.04197311401367,11.998581191462256,0.5423682928085327,0.3193618059158325,0.2230064868927002,0.7214128971099854,0.8034976124763489,0.08208471536636353,0.8092225193977356,0.7169266939163208,-0.0922958254814148
p022_loss_small,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",loss_small,36720.03741455078,652.1578979492188,174.76116180419922,17.581958517030326,0.2673954665660858,0.0395921692252159,0.2278032973408699,0.7598941326141357,0.9771827459335327,0.21728861331939697,0.9314420223236084,0.9731722474098206,0.04173022508621216
p022_mixed_damage,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",mixed_damage,34831.59460449219,1309.6632080078125,163.93378067016602,14.408436359227004,0.3779711723327636,0.0627272278070449,0.3152439445257187,0.861325204372406,0.9868969917297363,0.12557178735733032,0.9075937271118164,0.9829633831977844,0.07536965608596802
