case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_mse_improvement,opencv_telea_psnr_improvement,opencv_telea_ssim_improvement,lama_mse_improvement,lama_psnr_improvement,lama_ssim_improvement,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement
p008_loss_small,p008,p008_loss_small,loss_small,portrait_figure,Manuel Osorio Manrique de Zuñiga,30387.899505615234,17.839395034613357,,30747.81471252441,23.190402064729216,,29881.909423828125,14.838174197200132,,lama,lama,no_valid_values
p008_mixed_damage,p008,p008_mixed_damage,mixed_damage,portrait_figure,Manuel Osorio Manrique de Zuñiga,32452.54019165039,22.593898525041052,,32567.994300842285,27.06658592175831,,32138.03091430664,18.198458451008463,,lama,lama,no_valid_values
p008_scratch_thin,p008,p008_scratch_thin,scratch_thin,portrait_figure,Manuel Osorio Manrique de Zuñiga,39434.62716674805,21.76696620988519,,39466.96548461914,22.333723707547037,,36312.1494140625,10.689926928444844,,lama,lama,no_valid_values
p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,18937.0322265625,10.109878746659383,,19110.28686523437,10.494177756542122,,14208.7275390625,4.9100932973564575,,lama,lama,no_valid_values
p009_loss_small,p009,p009_loss_small,loss_small,portrait_figure,Madame Roulin and Her Baby,24999.46655273437,16.472411525401853,,25114.49530029297,17.439471695414323,,24339.73803710937,13.158272568264312,,lama,lama,no_valid_values
p009_mixed_damage,p009,p009_mixed_damage,mixed_damage,portrait_figure,Madame Roulin and Her Baby,26953.66357421875,14.724298081828175,,27082.09704589844,15.362410535575329,,25780.467529296875,11.205875655599698,,lama,lama,no_valid_values
p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,Madame Roulin and Her Baby,21377.748962402344,14.209867538352285,,21376.606018066406,14.20398255331219,,17224.64697265625,6.4813496088069416,,opencv_telea,opencv_telea,no_valid_values
p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,38123.13516235352,19.3601717408502,,38095.727142333984,19.101648437916182,,37876.23669433594,17.4499989396261,,opencv_telea,opencv_telea,no_valid_values
p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,43292.633392333984,21.76358843504289,,43276.67184448242,21.5311920720138,,43180.51480102539,20.34558855020845,,opencv_telea,opencv_telea,no_valid_values
p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,39740.788146972656,18.617172640340787,,40033.681091308594,21.8839002767026,,39206.937255859375,15.686700452572396,,lama,lama,no_valid_values
p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,42821.99607086182,25.853695708608832,,42817.48448181152,25.681489811110783,,38657.36669921875,10.017418442118384,,opencv_telea,opencv_telea,no_valid_values
p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,18997.17807006836,18.26889050769048,,19176.598892211918,22.52307573215567,,18524.33337402344,14.04316734735312,,lama,lama,no_valid_values
p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,22529.74755859375,20.805673011609088,,22617.64963531494,23.52836176612496,,21059.803588867188,11.366203333317472,,lama,lama,no_valid_values
p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,23493.206909179688,17.837778587773634,,23731.829788208008,21.896239648889825,,21250.73583984375,9.572920686858668,,lama,lama,no_valid_values
p011_scratch_thin,p011,p011_scratch_thin,scratch_thin,landscape_natural,View of Haarlem and the Haarlemmer Meer,27325.09875488281,17.01807328377252,,27584.7536315918,19.7649477887392,,25358.513916015625,10.437852352457105,,lama,lama,no_valid_values
p012_loss_large,p012,p012_loss_large,loss_large,landscape_natural,An Extensive Wooded Landscape,13518.080932617188,11.746394970716516,,13911.865356445312,14.01119007525875,,12483.520263671877,8.5917034013354,,lama,lama,no_valid_values
p012_loss_small,p012,p012_loss_small,loss_small,landscape_natural,An Extensive Wooded Landscape,16766.48959350586,19.75286246546309,,16852.744026184082,22.59987970553545,,15486.822631835938,10.649941813197676,,lama,lama,no_valid_values
p012_mixed_damage,p012,p012_mixed_damage,mixed_damage,landscape_natural,An Extensive Wooded Landscape,15732.673583984377,13.086294987273453,,16187.784698486328,16.65017118066745,,15311.829223632812,11.274462601603547,,lama,lama,no_valid_values
p012_scratch_thin,p012,p012_scratch_thin,scratch_thin,landscape_natural,An Extensive Wooded Landscape,23988.14758300781,11.8173305044564,,25235.946685791016,17.641695274435676,,22696.925048828125,9.351993655913816,,lama,lama,no_valid_values
p013_loss_large,p013,p013_loss_large,loss_large,landscape_natural,Landscape with a Village in the Distance,44703.27282714844,15.210335012392433,,45390.05755615234,18.17374032923094,,44819.569580078125,15.590187361422243,,lama,lama,no_valid_values
p013_loss_small,p013,p013_loss_small,loss_small,landscape_natural,Landscape with a Village in the Distance,29369.31149291992,19.31433848292552,,29285.49691772461,18.377170286388477,,28123.75561523437,12.70643471485098,,opencv_telea,opencv_telea,no_valid_values
p013_mixed_damage,p013,p013_mixed_damage,mixed_damage,landscape_natural,Landscape with a Village in the Distance,39120.92840576172,18.42425463804569,,39323.53359985352,20.329487311464405,,38105.24084472656,13.983367179007992,,lama,lama,no_valid_values
p013_scratch_thin,p013,p013_scratch_thin,scratch_thin,landscape_natural,Landscape with a Village in the Distance,40196.86880493164,20.422584694625296,,40324.689712524414,22.275475739319024,,38290.935546875,12.513656114906125,,lama,lama,no_valid_values
p014_loss_large,p014,p014_loss_large,loss_large,landscape_natural,Landscape on a River,26803.85009765625,13.426743734750737,,27540.70709228516,17.170091929247267,,26834.002807617188,13.530641901476915,,lama,lama,no_valid_values
p014_loss_small,p014,p014_loss_small,loss_small,landscape_natural,Landscape on a River,23962.766662597656,22.46071938936428,,24046.542751312256,26.5792282694301,,23366.703125,15.170132004652444,,lama,lama,no_valid_values
p014_mixed_damage,p014,p014_mixed_damage,mixed_damage,landscape_natural,Landscape on a River,24221.775665283203,17.016828315192193,,24338.50500488281,18.19528528922574,,23335.64599609375,12.53892686948062,,lama,lama,no_valid_values
p014_scratch_thin,p014,p014_scratch_thin,scratch_thin,landscape_natural,Landscape on a River,40049.637786865234,19.82217508336541,,39918.44952392578,18.645661023253616,,34379.2998046875,8.223893279315224,,opencv_telea,opencv_telea,no_valid_values
p015_loss_large,p015,p015_loss_large,loss_large,landscape_natural,Landscape,20930.594665527344,14.632187101378166,,20803.24493408203,13.94775340330906,,18072.2431640625,7.791581252492291,,opencv_telea,opencv_telea,no_valid_values
p015_loss_small,p015,p015_loss_small,loss_small,landscape_natural,Landscape,16166.191802978516,17.082497638399907,,16078.172576904297,16.035328793277706,,15727.9150390625,13.357601145935634,,opencv_telea,opencv_telea,no_valid_values
p015_mixed_damage,p015,p015_mixed_damage,mixed_damage,landscape_natural,Landscape,14364.448852539062,11.568368783402931,,14548.55322265625,12.383331717978391,,13785.005981445312,9.697392330658856,,lama,lama,no_valid_values
p015_scratch_thin,p015,p015_scratch_thin,scratch_thin,landscape_natural,Landscape,11408.091766357422,17.918817137671727,,11398.009506225586,17.69104412117241,,10499.930419921877,10.247094630949247,,opencv_telea,opencv_telea,no_valid_values
p016_loss_large,p016,p016_loss_large,loss_large,landscape_natural,Wooded Landscape with a House beside a River,11261.2666015625,8.837029581992567,,11625.394409179688,9.888603114181093,,11004.8154296875,8.224557462494879,,lama,lama,no_valid_values
p016_loss_small,p016,p016_loss_small,loss_small,landscape_natural,Wooded Landscape with a House beside a River,14794.901245117188,12.346610849507789,,14480.845581054688,11.065353903823512,,14228.2294921875,10.253672431326825,,opencv_telea,opencv_telea,no_valid_values
p016_mixed_damage,p016,p016_mixed_damage,mixed_damage,landscape_natural,Wooded Landscape with a House beside a River,11211.77801513672,11.22828933255893,,11195.005920410156,11.149300770142755,,10800.452514648438,9.61430297652503,,opencv_telea,opencv_telea,no_valid_values
p016_scratch_thin,p016,p016_scratch_thin,scratch_thin,landscape_natural,Wooded Landscape with a House beside a River,9762.392944335938,11.220942369089045,,9802.864868164062,11.447219892861517,,7386.870361328125,5.222177120027347,,lama,lama,no_valid_values
p017_loss_large,p017,p017_loss_large,loss_large,landscape_natural,Picturesque Landscape,8919.4443359375,8.456356984598031,,8867.896484375,8.308104552463803,,8670.136962890625,7.782120558985792,,opencv_telea,opencv_telea,no_valid_values
p017_loss_small,p017,p017_loss_small,loss_small,landscape_natural,Picturesque Landscape,9369.60302734375,9.50376925403277,,9371.08740234375,9.509231599202373,,8928.1220703125,8.12647074695624,,lama,lama,no_valid_values
p017_mixed_damage,p017,p017_mixed_damage,mixed_damage,landscape_natural,Picturesque Landscape,9888.088256835938,9.9935683887564,,9938.910400390623,10.19891118384682,,8418.721435546875,6.310331008120237,,lama,lama,no_valid_values
p017_scratch_thin,p017,p017_scratch_thin,scratch_thin,landscape_natural,Picturesque Landscape,11575.901550292969,13.633159842648114,,11593.451721191406,13.781059688861465,,9532.495849609377,6.732647163035898,,lama,lama,no_valid_values
p018_loss_large,p018,p018_loss_large,loss_large,landscape_natural,Classical Landscape with Figures,19571.1416015625,10.791039809108009,,20284.2294921875,13.014703713544176,,19818.33935546875,11.440559586906357,,lama,lama,no_valid_values
p018_loss_small,p018,p018_loss_small,loss_small,landscape_natural,Classical Landscape with Figures,30529.275512695312,18.9115776406979,,30777.10852050781,23.15637820036094,,30069.90704345703,15.574936960095895,,lama,lama,no_valid_values
p018_mixed_damage,p018,p018_mixed_damage,mixed_damage,landscape_natural,Classical Landscape with Figures,25292.44403076172,17.241794457739033,,25134.493041992188,16.02073103784273,,24390.736206054688,12.688096780959205,,opencv_telea,opencv_telea,no_valid_values
p018_scratch_thin,p018,p018_scratch_thin,scratch_thin,landscape_natural,Classical Landscape with Figures,39903.2108001709,24.89870646934432,,39903.75811767578,24.916957609359912,,36395.1982421875,10.416011550036568,,lama,lama,no_valid_values
p019_loss_large,p019,p019_loss_large,loss_large,landscape_natural,Evening: Landscape with an Aqueduct,25688.907470703125,10.515625329840375,,27329.53387451172,15.141188787635596,,26482.109741210938,12.170281263022202,,lama,lama,no_valid_values
p019_loss_small,p019,p019_loss_small,loss_small,landscape_natural,Evening: Landscape with an Aqueduct,44883.55497741699,23.27902018150616,,45002.448081970215,26.854078771230306,,44788.19366455078,21.66561692769137,,lama,lama,no_valid_values
p019_mixed_damage,p019,p019_mixed_damage,mixed_damage,landscape_natural,Evening: Landscape with an Aqueduct,43425.31103515625,17.004428266766354,,43700.17584228516,18.623657369280146,,42396.10107421875,13.649128008119176,,lama,lama,no_valid_values
p019_scratch_thin,p019,p019_scratch_thin,scratch_thin,landscape_natural,Evening: Landscape with an Aqueduct,30969.56401062012,22.08446304669564,,30949.688705444336,21.658435155641623,,27937.944580078125,9.8517470961215,,opencv_telea,opencv_telea,no_valid_values
p020_loss_large,p020,p020_loss_large,loss_large,landscape_natural,Mediterranean landscape (recto); Mountains (verso),5225.530151367188,7.244043606658163,,5207.5474853515625,7.180224674167205,,3271.84521484375,3.080566935596501,,opencv_telea,opencv_telea,no_valid_values
p020_loss_small,p020,p020_loss_small,loss_small,landscape_natural,Mediterranean landscape (recto); Mountains (verso),3981.432342529297,12.18045242436436,,3982.071182250977,12.191281900001243,,3800.551696777344,9.86282473677505,,lama,lama,no_valid_values
p020_mixed_damage,p020,p020_mixed_damage,mixed_damage,landscape_natural,Mediterranean landscape (recto); Mountains (verso),4540.541717529297,10.572226459126258,,4618.818054199219,11.431096256505214,,4041.2360229492183,7.258835806410673,,lama,lama,no_valid_values
p020_scratch_thin,p020,p020_scratch_thin,scratch_thin,landscape_natural,Mediterranean landscape (recto); Mountains (verso),8513.512023925781,12.160550012637731,,8584.51626586914,12.759474965586495,,5508.611083984375,4.063809544919135,,lama,lama,no_valid_values
p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,25887.306640625,13.216536543976552,,26510.98583984375,16.06639614182573,,26212.961181640625,14.473169042182915,,lama,lama,no_valid_values
p021_loss_small,p021,p021_loss_small,loss_small,architecture_structured,Interior of the Oude Kerk in Delft,36344.1103515625,17.894586376986883,,36632.51251220703,20.740763083109997,,36244.25830078125,17.2259426798553,,lama,lama,no_valid_values
p021_mixed_damage,p021,p021_mixed_damage,mixed_damage,architecture_structured,Interior of the Oude Kerk in Delft,24579.17987060547,15.919564268611753,,24831.716674804688,18.075164860636484,,24060.83374023437,13.359440655341125,,lama,lama,no_valid_values
p021_scratch_thin,p021,p021_scratch_thin,scratch_thin,architecture_structured,Interior of the Oude Kerk in Delft,33284.92254638672,18.132438547733347,,33422.392578125,19.466837068068127,,31118.88256835937,10.999164138235503,,lama,lama,no_valid_values
p022_loss_large,p022,p022_loss_large,loss_large,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",32630.9658203125,11.998581191462256,,34343.645568847656,18.556477026173685,,28848.9365234375,7.652192332908034,,lama,lama,no_valid_values
p022_loss_small,p022,p022_loss_small,loss_small,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",36720.03741455078,17.581958517030326,,36992.95935058594,19.93634668331536,,36293.68701171875,15.3972359027654,,lama,lama,no_valid_values
p022_mixed_damage,p022,p022_mixed_damage,mixed_damage,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",34831.59460449219,14.408436359227004,,35643.5563659668,18.610343601069346,,34700.7041015625,13.994738075426206,,lama,lama,no_valid_values
p022_scratch_thin,p022,p022_scratch_thin,scratch_thin,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",32728.567794799805,22.24682399002366,,32754.410919189453,22.859902702443232,,29624.00170898437,9.988999054388024,,lama,lama,no_valid_values
p023_loss_large,p023,p023_loss_large,loss_large,architecture_structured,Church Interior,13118.390625,8.010083095079102,,14618.546630859377,12.086702760406954,,12824.967041015623,7.521437672070228,,lama,lama,no_valid_values
p023_loss_small,p023,p023_loss_small,loss_small,architecture_structured,Church Interior,18974.134399414062,14.290883442974437,,19625.170280456543,23.770278086992,,19520.14802551269,20.21077316538336,,lama,lama,no_valid_values
p023_mixed_damage,p023,p023_mixed_damage,mixed_damage,architecture_structured,Church Interior,17355.62255859375,11.713521939918374,,18316.501037597656,18.02293433219377,,17568.786010742188,12.52247911050315,,lama,lama,no_valid_values
p023_scratch_thin,p023,p023_scratch_thin,scratch_thin,architecture_structured,Church Interior,20016.736671447758,22.57243923967981,,20024.56451416016,22.88894535340002,,18176.326904296875,10.13382166843723,,lama,lama,no_valid_values
p024_loss_large,p024,p024_loss_large,loss_large,architecture_structured,Interior of the Church of St Bavo in Haarlem,27863.74584960937,12.984900099653276,,28470.362182617188,15.284530922575314,,25933.097900390625,9.351774866247656,,lama,lama,no_valid_values
p024_loss_small,p024,p024_loss_small,loss_small,architecture_structured,Interior of the Church of St Bavo in Haarlem,35357.21923828125,20.013843094872804,,35549.13482666016,23.37773253819451,,35109.050354003906,17.71673750734097,,lama,lama,no_valid_values
p024_mixed_damage,p024,p024_mixed_damage,mixed_damage,architecture_structured,Interior of the Church of St Bavo in Haarlem,35659.18878173828,15.784802705390272,,36185.1159362793,19.19533523428978,,35881.376220703125,16.918927672002578,,lama,lama,no_valid_values
p024_scratch_thin,p024,p024_scratch_thin,scratch_thin,architecture_structured,Interior of the Church of St Bavo in Haarlem,35513.329917907715,26.860041343760663,,35434.624450683594,23.69341637015669,,33975.85852050781,13.442451689892076,,opencv_telea,opencv_telea,no_valid_values
p025_loss_large,p025,p025_loss_large,loss_large,architecture_structured,The Quay de Paris in Rouen,12662.985229492188,10.06549780666936,,13358.762573242188,13.100721598907194,,9681.6865234375,5.075940624731004,,lama,lama,no_valid_values
p025_loss_small,p025,p025_loss_small,loss_small,architecture_structured,The Quay de Paris in Rouen,13928.414764404297,14.710926821337775,,14106.904052734377,16.692283934577304,,13695.993957519531,13.017073495320847,,lama,lama,no_valid_values
p025_mixed_damage,p025,p025_mixed_damage,mixed_damage,architecture_structured,The Quay de Paris in Rouen,17671.193939208984,15.847197567531085,,17905.87191772461,18.832744679032736,,17262.776245117188,13.139986697859957,,lama,lama,no_valid_values
p025_scratch_thin,p025,p025_scratch_thin,scratch_thin,architecture_structured,The Quay de Paris in Rouen,15680.38314819336,15.333565244789092,,15773.065155029297,16.280592879558622,,13404.330078125,7.6907362941625985,,lama,lama,no_valid_values
p026_loss_large,p026,p026_loss_large,loss_large,architecture_structured,View of a Village along a River,16703.765197753906,12.53517746880314,,16944.184143066406,13.747869588164187,,15584.4873046875,9.242691882745962,,lama,lama,no_valid_values
p026_loss_small,p026,p026_loss_small,loss_small,architecture_structured,View of a Village along a River,20584.240211486816,22.65823014078176,,20558.037536621094,21.74686573053706,,20060.11865234375,15.122053049197714,,opencv_telea,opencv_telea,no_valid_values
p026_mixed_damage,p026,p026_mixed_damage,mixed_damage,architecture_structured,View of a Village along a River,28681.17712402344,14.112041112502697,,29320.83837890625,17.60458991039587,,28988.41259765625,15.45149612701214,,lama,lama,no_valid_values
p026_scratch_thin,p026,p026_scratch_thin,scratch_thin,architecture_structured,View of a Village along a River,20937.564254760742,21.118839600811157,,20901.665969848636,20.2548521193756,,19218.38732910156,10.496163432547377,,opencv_telea,opencv_telea,no_valid_values
p027_loss_large,p027,p027_loss_large,loss_large,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,25954.5107421875,13.66674161593599,,26347.710571289062,15.453453012316473,,25824.267211914062,13.206782512217902,,lama,lama,no_valid_values
p027_loss_small,p027,p027_loss_small,loss_small,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,30904.115661621094,18.542938672874417,,30897.129028320312,18.474267474565483,,30881.99267578125,18.329116119780718,,opencv_telea,opencv_telea,no_valid_values
p027_mixed_damage,p027,p027_mixed_damage,mixed_damage,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,23249.70098876953,15.40927879956234,,23379.499450683597,16.31589863683546,,22564.4794921875,12.410664790825304,,lama,lama,no_valid_values
p027_scratch_thin,p027,p027_scratch_thin,scratch_thin,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,30840.91372680664,20.54533790170896,,30804.155487060547,19.99943299394181,,29328.32861328125,12.408450298882844,,opencv_telea,opencv_telea,no_valid_values
p028_loss_large,p028,p028_loss_large,loss_large,architecture_structured,Trading posts of the Dutch East India Company (VOC),17621.27978515625,13.557952666977847,,18158.58709716797,18.259904091845797,,17345.1845703125,12.287510900784522,,lama,lama,no_valid_values
p028_loss_small,p028,p028_loss_small,loss_small,architecture_structured,Trading posts of the Dutch East India Company (VOC),13073.837211608889,20.6613407629998,,13088.999153137209,21.28559798512469,,12091.165649414062,10.803716437487353,,lama,lama,no_valid_values
p028_mixed_damage,p028,p028_mixed_damage,mixed_damage,architecture_structured,Trading posts of the Dutch East India Company (VOC),24426.45767211914,19.43994414126964,,24433.86846923828,19.555982918824977,,24006.63842773437,15.471718614860436,,lama,lama,no_valid_values
p028_scratch_thin,p028,p028_scratch_thin,scratch_thin,architecture_structured,Trading posts of the Dutch East India Company (VOC),24679.307334899902,23.404423647580412,,24611.728393554688,21.371481838948068,,23586.956298828125,13.131313391390282,,opencv_telea,opencv_telea,no_valid_values
p029_loss_large,p029,p029_loss_large,loss_large,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",24718.7080078125,15.325321097622265,,24965.238983154297,17.06421563788486,,24481.54553222656,14.128106604973604,,lama,lama,no_valid_values
p029_loss_small,p029,p029_loss_small,loss_small,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",23614.281494140625,15.59056143663946,,23952.82342529297,18.644983483901903,,23678.542846679688,16.028244691583716,,lama,lama,no_valid_values
p029_mixed_damage,p029,p029_mixed_damage,mixed_damage,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",21619.71655273437,16.273438870637566,,21672.71356201172,16.738159973129843,,21183.02423095703,13.634269834679213,,lama,lama,no_valid_values
p029_scratch_thin,p029,p029_scratch_thin,scratch_thin,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",20453.45401000977,20.886818784718603,,20421.501922607426,20.131138672603484,,19539.60791015625,12.80104363935972,,opencv_telea,opencv_telea,no_valid_values
p030_loss_large,p030,p030_loss_large,loss_large,architecture_structured,Interior with Five Women,29748.995727539062,14.333533844763927,,30330.6767578125,17.4387098458663,,29672.559326171875,14.051405046001635,,lama,lama,no_valid_values
p030_loss_small,p030,p030_loss_small,loss_small,architecture_structured,Interior with Five Women,30988.70556640625,16.727182045189966,,30897.11834716797,16.172818790707268,,30482.889404296875,14.291999492299093,,opencv_telea,opencv_telea,no_valid_values
