case_id,painting_id,category,title,mask_type,mse_improvement,restored_mse,mae_improvement,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,mse_rank,lpips_rank,clip_rank,dinov2_rank,mean_rank,rank_spread
p019_loss_small,p019,landscape_natural,Evening: Landscape with an Aqueduct,loss_small,44883.55497741699,211.9489288330078,201.28735542297363,23.27902018150616,0.1374032497406005,0.0096689583733677,0.1277342913672328,0.9093717336654663,0.9983211159706116,0.08894938230514526,0.9829432964324951,0.9982332587242126,0.01528996229171753,13.0,166.0,100.0,141.0,105.0,153.0
p032_scratch_thin,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,scratch_thin,5656.185775756836,232.8601226806641,50.925469398498535,14.029498172374575,0.172608196735382,0.0068115089088678,0.1657966878265142,0.9623436331748962,0.9984893798828125,0.03614574670791626,0.7796550989151001,0.9775773286819458,0.1979222297668457,189.0,136.0,163.0,36.0,131.0,153.0
p008_loss_large,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,loss_large,42649.978515625,853.185546875,184.56248092651367,17.074773553047148,0.4935872852802276,0.2661002576351166,0.227487027645111,0.8301897048950195,0.8942939043045044,0.06410419940948486,0.6870794296264648,0.6030517220497131,-0.08402770757675171,19.0,86.0,131.0,171.0,101.75,152.0
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),loss_small,45021.30486297608,73.05841827392578,206.42278003692627,27.904519937637083,0.1513971984386444,0.0136558897793293,0.1377413086593151,0.9390561580657959,0.9977714419364929,0.05871528387069702,0.942081093788147,0.99410080909729,0.052019715309143066,12.0,160.0,140.0,105.0,104.25,148.0
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,loss_large,34788.599853515625,2166.282958984375,153.13356399536133,12.319566460668938,0.4133918583393097,0.2612385153770447,0.152153342962265,0.8696917295455933,0.8622362613677979,-0.00745546817779541,0.8860812187194824,0.7463287115097046,-0.13975250720977783,45.0,146.0,192.0,181.0,141.0,147.0
p012_mixed_damage,p012,landscape_natural,An Extensive Wooded Landscape,mixed_damage,15732.673583984377,812.929931640625,105.4151725769043,13.086294987273453,0.2921419739723205,0.0490788035094738,0.2430631704628467,0.8364139795303345,0.9527325630187988,0.11631858348846436,0.7056461572647095,0.9560668468475342,0.2504206895828247,167.0,71.0,71.0,22.0,82.75,145.0
p009_loss_large,p009,portrait_figure,Madame Roulin and Her Baby,loss_large,18937.0322265625,2045.8681640625,94.02520561218262,10.109878746659383,0.6020157337188721,0.3247648477554321,0.2772508859634399,0.7947430610656738,0.7285798788070679,-0.06616318225860596,0.687800407409668,0.38806086778640747,-0.2997395396232605,151.0,54.0,198.0,198.0,150.25,144.0
p050_loss_large,p050,high_texture_brushwork,Landscape with a Sunlit Stream,loss_large,36170.44073486328,834.8366088867188,167.57230949401855,16.46662178166921,0.6429330110549927,0.4399030804634094,0.2030299305915832,0.5895630717277527,0.6521875858306885,0.06262451410293579,0.31175124645233154,0.18894216418266296,-0.12280908226966858,35.0,107.0,134.0,177.0,113.25,142.0
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),loss_large,50914.55773925781,315.2899169921875,213.73927211761475,22.10812982221108,0.5892032980918884,0.2020873725414276,0.3871159255504608,0.724332869052887,0.8238481283187866,0.09951525926589966,0.7628775835037231,0.774365246295929,0.01148766279220581,4.0,10.0,90.0,145.0,62.25,141.0
p026_loss_small,p026,architecture_structured,View of a Village along a River,loss_small,20584.240211486816,112.2207260131836,131.7823624610901,22.65823014078176,0.2362229079008102,0.0204912368208169,0.2157316710799932,0.8205560445785522,0.9965874552726746,0.17603141069412231,0.9594663977622986,0.9601134657859802,0.0006470680236816406,142.0,95.0,17.0,158.0,103.0,141.0
p025_mixed_damage,p025,architecture_structured,The Quay de Paris in Rouen,mixed_damage,17671.193939208984,472.0580139160156,106.39927768707275,15.847197567531085,0.3124168217182159,0.0338250175118446,0.2785918042063713,0.8007148504257202,0.9713561534881592,0.17064130306243896,0.8974457383155823,0.9604495167732239,0.0630037784576416,157.0,52.0,20.0,99.0,82.0,137.0
p021_loss_small,p021,architecture_structured,Interior of the Oude Kerk in Delft,loss_small,36344.1103515625,599.9091796875,171.2017002105713,17.894586376986883,0.1392950266599655,0.0149931097403168,0.1243019169196486,0.9443843364715576,0.9931249618530273,0.04874062538146973,0.9746301174163818,0.9940529465675354,0.019422829151153564,34.0,171.0,148.0,136.0,122.25,137.0
p044_loss_large,p044,high_texture_brushwork,Versailles,loss_large,15768.85922241211,475.0245666503906,107.74660110473631,15.339738033927633,0.564807116985321,0.2969228327274322,0.2678842842578888,0.8446192741394043,0.8526580333709717,0.008038759231567383,0.7965560555458069,0.5065505504608154,-0.29000550508499146,166.0,60.0,183.0,196.0,151.25,136.0
p010_loss_large,p010,portrait_figure,Joan of Arc,loss_large,38123.13516235352,446.9234313964844,178.7146463394165,19.3601717408502,0.5043120980262756,0.3046157360076904,0.1996963620185852,0.7887466549873352,0.8430076837539673,0.05426102876663208,0.6321842670440674,0.5878798961639404,-0.04430437088012695,27.0,111.0,144.0,163.0,111.25,136.0
p037_scratch_thin,p037,abstraction_surrealism,In the Sea,scratch_thin,20778.46942138672,187.38409423828125,127.84413528442384,20.48779823328857,0.2702181041240692,0.0017620282014831,0.268456075922586,0.8077753186225891,0.9995492696762085,0.19177395105361938,0.909679114818573,0.9995486736297607,0.08986955881118774,141.0,59.0,7.0,74.0,70.25,134.0
