case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_mse_improvement,opencv_telea_psnr_improvement,opencv_telea_ssim_improvement,opencv_telea_lpips_improvement,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_mse_improvement,lama_psnr_improvement,lama_ssim_improvement,lama_lpips_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,stable_diffusion_inpainting_lpips_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement,winner_lpips_improvement,winner_clip_improvement,winner_dinov2_improvement,opencv_telea_metric_wins,lama_metric_wins,stable_diffusion_inpainting_metric_wins,metric_ties,overall_metric_vote,mixed_metric_outcome,all_metrics_same_winner,opencv_telea_all_metrics_win,lama_all_metrics_win,stable_diffusion_inpainting_all_metrics_win,num_unique_metric_winners,max_model_metric_wins,disagreement_strength
p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,Madame Roulin and Her Baby,21377.748962402344,14.209867538352285,0.0503281821927574,0.1686782645992934,0.061643362045288,0.0827470421791076,21376.606018066406,14.20398255331219,0.0447379813975211,0.1689676744863391,0.061998426914215,0.0825287103652954,17224.64697265625,6.4813496088069416,-0.4429015632988266,0.0703356564044952,0.0310767889022827,-0.0080227851867675,opencv_telea,opencv_telea,opencv_telea,lama,lama,opencv_telea,4,2,0,0,opencv_telea,True,False,False,False,False,2,4,2
p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,38123.13516235352,19.3601717408502,0.1676579660158628,0.1996963620185852,0.054261028766632,-0.0443043708801269,38095.727142333984,19.101648437916182,0.1097510826275874,0.367238238453865,0.1899043321609497,0.3130960464477539,37876.23669433594,17.4499989396261,-0.153183345946177,0.2825779616832733,0.1569653153419494,0.2559692859649658,opencv_telea,opencv_telea,opencv_telea,lama,lama,lama,3,3,0,0,tie_lama_opencv_telea,True,False,False,False,False,2,3,2
p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,43292.633392333984,21.76358843504289,0.0295335965309092,0.2361908964812755,0.1199399232864379,0.029944896697998,43276.67184448242,21.5311920720138,0.0249373278473724,0.2449731975793838,0.1212677955627441,0.0500761270523071,43180.51480102539,20.34558855020845,-0.4718088307832965,0.161634162068367,0.0949597954750061,0.001774251461029,opencv_telea,opencv_telea,opencv_telea,lama,lama,lama,3,3,0,0,tie_lama_opencv_telea,True,False,False,False,False,2,3,2
p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,39740.788146972656,18.617172640340787,0.0918451574376122,0.4409356005489826,0.1795917749404907,0.29959836602211,40033.681091308594,21.8839002767026,0.0905172176449117,0.4808195922523737,0.2311964035034179,0.5182558596134186,39206.937255859375,15.686700452572396,-0.3860181992343435,0.3061521053314209,0.1509695053100586,0.1639707386493683,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,42821.99607086182,25.853695708608832,0.0617229656760919,0.362081061117351,0.1296925544738769,0.1778187155723571,42817.48448181152,25.681489811110783,0.0606009822441357,0.3624455295503139,0.12972491979599,0.1780105829238891,38657.36669921875,10.017418442118384,-0.4591242765720543,0.1666091382503509,0.0787569880485534,0.0020129084587097,opencv_telea,opencv_telea,opencv_telea,lama,lama,lama,3,3,0,0,tie_lama_opencv_telea,True,False,False,False,False,2,3,2
p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,18997.17807006836,18.26889050769048,0.1733386976459262,0.3590654730796814,0.0076204538345336,-0.0881258249282836,19176.598892211918,22.52307573215567,0.1448522131488725,0.5336503386497498,0.1828902959823608,0.4720101952552795,18524.33337402344,14.04316734735312,-0.159793581787485,0.0501744747161865,-0.1398811936378479,0.0464450120925903,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,22529.74755859375,20.805673011609088,0.050742924424174,0.2701017372310161,0.118793249130249,0.2034507989883422,22617.64963531494,23.52836176612496,0.0507066960574982,0.2792714866809547,0.1248303055763244,0.2758698463439941,21059.803588867188,11.366203333317472,-0.1940426638876312,0.1337623745203018,0.0295231342315673,-0.1343542337417602,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,23493.206909179688,17.837778587773634,0.0768152112324193,0.2965318113565445,0.1029528379440307,0.2918669581413269,23731.829788208008,21.896239648889825,0.0740821291347915,0.3298119995743036,0.1123144030570983,0.476615846157074,21250.73583984375,9.572920686858668,-0.216708177258931,0.1531517803668975,-0.0448507666587829,-0.1016206741333007,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p011_scratch_thin,p011,p011_scratch_thin,scratch_thin,landscape_natural,View of Haarlem and the Haarlemmer Meer,27325.09875488281,17.01807328377252,0.0692054754582983,0.3348236014135182,0.0979375839233398,0.2905422449111938,27584.7536315918,19.7649477887392,0.0689108418840001,0.3391595582943409,0.0995315313339233,0.2974530458450317,25358.513916015625,10.437852352457105,-0.2086062639116778,0.190950408577919,0.0342658162117004,-0.064848780632019,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p012_scratch_thin,p012,p012_scratch_thin,scratch_thin,landscape_natural,An Extensive Wooded Landscape,23988.14758300781,11.8173305044564,0.0701726362094316,0.2772136237472296,0.148080825805664,0.2217461466789245,25235.946685791016,17.641695274435676,0.0718629763903799,0.2928924355655908,0.1500707268714904,0.2155142426490783,22696.925048828125,9.351993655913816,-0.2098159546467721,0.2050558626651764,0.0660505294799804,-0.0181735157966613,lama,lama,lama,lama,lama,opencv_telea,1,5,0,0,lama,True,False,False,False,False,2,5,2
p013_loss_large,p013,p013_loss_large,loss_large,landscape_natural,Landscape with a Village in the Distance,44703.27282714844,15.210335012392433,0.2146751416765297,0.2195289731025695,0.0449237823486328,-0.2141240835189819,45390.05755615234,18.17374032923094,0.1842287394682699,0.4188872873783111,0.2229496240615844,0.2755657434463501,44819.569580078125,15.590187361422243,-0.0700945407815969,0.2949917912483215,0.1628702282905578,0.1804767251014709,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p013_loss_small,p013,p013_loss_small,loss_small,landscape_natural,Landscape with a Village in the Distance,29369.31149291992,19.31433848292552,0.0510636523615967,0.2145170513540506,0.1621161103248596,0.1191982626914978,29285.49691772461,18.377170286388477,0.0516459812803161,0.2274408200755715,0.1633013486862182,0.1530717015266418,28123.75561523437,12.70643471485098,-0.3307020368599084,0.1240322440862655,0.1456443071365356,0.0209220647811889,opencv_telea,opencv_telea,lama,lama,lama,lama,2,4,0,0,lama,True,False,False,False,False,2,4,2
p013_mixed_damage,p013,p013_mixed_damage,mixed_damage,landscape_natural,Landscape with a Village in the Distance,39120.92840576172,18.42425463804569,0.080452322133212,0.3257877081632614,0.2335846424102783,0.2634613513946533,39323.53359985352,20.329487311464405,0.0762113722180235,0.3802478648722172,0.2745473384857178,0.3793460130691528,38105.24084472656,13.983367179007992,-0.2948862630965838,0.2318646013736724,0.1836987733840942,0.1426100134849548,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p013_scratch_thin,p013,p013_scratch_thin,scratch_thin,landscape_natural,Landscape with a Village in the Distance,40196.86880493164,20.422584694625296,0.0537253016718453,0.3745400886982679,0.1088119745254516,0.2849072217941284,40324.689712524414,22.275475739319024,0.0524752611834842,0.3798619443550706,0.1093055605888366,0.2882455587387085,38290.935546875,12.513656114906125,-0.3228860692681494,0.2413711994886398,0.073251724243164,-0.0679764747619628,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p014_loss_large,p014,p014_loss_large,loss_large,landscape_natural,Landscape on a River,26803.85009765625,13.426743734750737,0.154063611037567,0.2232939302921295,-0.0114455223083496,-0.3040172159671783,27540.70709228516,17.170091929247267,0.1314094059983017,0.4130358397960663,0.164441168308258,0.3455824255943298,26834.002807617188,13.530641901476915,-0.0597150718494424,0.3364683389663696,0.1319248676300048,0.2143839597702026,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p014_loss_small,p014,p014_loss_small,loss_small,landscape_natural,Landscape on a River,23962.766662597656,22.46071938936428,0.0672798336469184,0.2742894701659679,0.1176103949546814,0.3123480081558227,24046.542751312256,26.5792282694301,0.0639632824632854,0.2916019442491233,0.1204913854598999,0.3419457674026489,23366.703125,15.170132004652444,-0.2438278499719109,0.1165874898433685,0.0695773363113403,0.2377304434776306,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p014_mixed_damage,p014,p014_mixed_damage,mixed_damage,landscape_natural,Landscape on a River,24221.775665283203,17.016828315192193,0.1226118026110419,0.3723422586917877,0.1601943373680114,0.4683293104171753,24338.50500488281,18.19528528922574,0.1195281211222357,0.4164317436516285,0.1896793842315673,0.6571817398071289,23335.64599609375,12.53892686948062,-0.2033502847549847,0.2389728873968124,0.0638896822929382,0.2071213722229004,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p014_scratch_thin,p014,p014_scratch_thin,scratch_thin,landscape_natural,Landscape on a River,40049.637786865234,19.82217508336541,0.1047135314001117,0.415477305650711,0.140863299369812,0.3726850152015686,39918.44952392578,18.645661023253616,0.1015817038051822,0.4169335691258311,0.1347090005874633,0.350375771522522,34379.2998046875,8.223893279315224,-0.2481792643008054,0.1565363407135009,0.0118151307106018,-0.1291376948356628,opencv_telea,opencv_telea,opencv_telea,lama,opencv_telea,opencv_telea,5,1,0,0,opencv_telea,True,False,False,False,False,2,5,2
p015_loss_large,p015,p015_loss_large,loss_large,landscape_natural,Landscape,20930.594665527344,14.632187101378166,0.1193496041794934,0.1683862507343292,-0.0467734932899475,-0.1973687410354614,20803.24493408203,13.94775340330906,0.0497236813929928,0.4214644581079483,0.1642574071884155,0.3434723615646362,18072.2431640625,7.791581252492291,-0.183211405778695,0.2557416558265686,0.0382831096649169,0.1829873919486999,opencv_telea,opencv_telea,opencv_telea,lama,lama,lama,3,3,0,0,tie_lama_opencv_telea,True,False,False,False,False,2,3,2
