case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue
p003_zero_control,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_zero_control,zero_control,stable_diffusion_inpainting,full_image,589824,0.0,0.0,768.0,768.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,,1.0,1.0,0.0,ok,
p003_zero_control,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_zero_control,zero_control,stable_diffusion_inpainting,content_region,471552,77.0,0.0,691.0,768.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,,1.0,1.0,0.0,ok,
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_large,loss_large,stable_diffusion_inpainting,full_image,589824,0.0,0.0,768.0,768.0,56801,11.8335,9.6302,3558.813720703125,361.2214660644531,3197.592254638672,17.957368850708008,8.88773250579834,9.069636344909668,12.61775104583078,22.553068099342745,9.935317053511966,0.9133173491981809,0.6955185754811789,-0.21779877371700196,ok,
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_large,loss_large,stable_diffusion_inpainting,content_region,480000,0.0,71.0,768.0,696.0,56801,11.8335,9.6302,4373.07080078125,442.5325012207031,3930.538299560547,22.066011428833008,10.586581230163574,11.479430198669434,11.722938521625002,21.671351884725716,9.948413363100714,0.8932921164604425,0.629077915707318,-0.2642142007531245,ok,
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_large,loss_large,stable_diffusion_inpainting,masked_region,56801,,,,,56801,11.8335,9.6302,36954.8828125,2838.071044921875,34116.811767578125,186.4700469970703,36.111087799072266,150.35895919799805,2.4540853144088817,13.60057097994747,11.146485665538588,,,,ok,
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,121072,256.0,295.0,578.0,671.0,56801,11.8335,9.6302,17337.40234375,1421.156005859375,15916.246337890625,87.48252868652344,21.77231216430664,65.7102165222168,5.740963330267964,16.604386061177753,10.86342273090979,0.5695196622291205,0.46047737241233017,-0.10904228981679037,ok,
p004_loss_small,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_small,loss_small,stable_diffusion_inpainting,full_image,589824,0.0,0.0,768.0,768.0,16444,3.4258,2.788,777.4996948242188,124.73162841796875,652.76806640625,4.599307537078857,6.5357818603515625,-1.936474323272705,19.223801336335804,27.171037686106096,7.947236349770293,0.9700971926867625,0.7193564489804757,-0.25074074370628685,ok,
p004_loss_small,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_small,loss_small,stable_diffusion_inpainting,content_region,480000,0.0,71.0,768.0,696.0,16444,3.4258,2.788,955.3917236328125,151.83067321777344,803.5610504150391,5.6516289710998535,7.663974761962891,-2.012345790863037,18.328988861104104,26.317208431718324,7.98821957061422,0.9631891128066447,0.6584761573290127,-0.304712955477632,ok,
p004_loss_small,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_small,loss_small,stable_diffusion_inpainting,masked_region,16444,,,,,16444,3.4258,2.788,27887.8671875,1099.95361328125,26787.91357421875,164.97093200683594,21.580677032470703,143.39025497436523,3.676650593705389,17.71705990183107,14.040409308125682,,,,ok,
p004_loss_small,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,188136,130.0,145.0,733.0,457.0,16444,3.4258,2.788,2437.53466796875,224.54136657714844,2212.9933013916016,14.41926097869873,9.484784126281738,4.934476852416992,14.261295596766352,24.617839993983015,10.356544397216663,0.9049556844703499,0.6005051284336055,-0.3044505560367444,ok,
p004_mixed_damage,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_mixed_damage,mixed_damage,stable_diffusion_inpainting,full_image,589824,0.0,0.0,768.0,768.0,47183,9.8298,7.9995,2597.238037109375,207.84921264648438,2389.3888244628906,14.046244621276855,7.783051013946533,6.263193607330322,13.985686062845705,24.953319771733064,10.967633708887359,0.8995651375975994,0.6834783572139851,-0.21608678038361429,ok,
p004_mixed_damage,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_mixed_damage,mixed_damage,stable_diffusion_inpainting,content_region,480000,0.0,71.0,768.0,696.0,47183,9.8298,7.9995,3191.485595703125,253.90110778808594,2937.584487915039,17.260026931762695,9.170882225036621,8.089144706726074,13.090874722213925,24.084157651332063,10.993282929118138,0.8824306115649114,0.616518382842998,-0.26591222872191345,ok,
p004_mixed_damage,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,47183,,,,,47183,9.8298,7.9995,32467.482421875,1308.5794677734375,31158.902954101562,175.5889129638672,22.855802536010742,152.73311042785645,3.0163174679309925,16.96280259136541,13.946485123434417,,,,ok,
p004_mixed_damage,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,492288,0.0,63.0,768.0,704.0,47183,9.8298,7.9995,3111.823974609375,248.36627197265625,2863.4577026367188,16.829193115234375,9.042670249938965,7.78652286529541,13.200653384300638,24.179877423533224,10.979224039232585,0.879478165117119,0.6214219880983937,-0.2580561770187253,ok,
p004_scratch_thin,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_scratch_thin,scratch_thin,stable_diffusion_inpainting,full_image,589824,0.0,0.0,768.0,768.0,9499,1.979,1.6105,526.9609985351562,123.15923309326172,403.80176544189453,2.7694199085235596,6.726097583770752,-3.9566776752471924,20.913018874917295,27.226133849595943,6.313114974678648,0.9575327892799766,0.7074392852062544,-0.2500935040737222,ok,
p004_scratch_thin,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_scratch_thin,scratch_thin,stable_diffusion_inpainting,content_region,480000,0.0,71.0,768.0,696.0,9499,1.979,1.6105,647.5298461914062,149.4792022705078,498.05064392089844,3.4030632972717285,7.8384222984313965,-4.435359001159668,20.018205699872023,26.38499589394625,6.366790194074227,0.9492846389944116,0.6440481282675519,-0.30523651072685976,ok,
