rank_direction,rank_metric,rank_evaluation_region,rank_position,rank_metric_value,feature_row_id,feature_case_id,restoration_case_id,source_case_id,dataset_name,painting_id,category,title,artist,style,model_name,mask_type,metric_mask_type,evaluation_region,region_pixel_count,mask_area_pixels,is_zero_control,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,mean_similarity_improvement,clean_embedding_id,damaged_embedding_id,restored_embedding_id,embedding_group_id,status,issue
weakest,clip_similarity_improvement,full_image,3,-0.1478182077407837,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__moderate__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__moderate,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__moderate,synthetic_degradation__p001__partial_transparency__moderate,synthetic_degradation,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,,,full_image,589824,99854,False,0.9912276268005371,0.8434094190597534,-0.1478182077407837,0.9842086434364319,0.9009898900985718,-0.08321875333786011,-0.1155184805393219,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__moderate__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__moderate__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p001__partial_transparency__moderate__full_image__restored,synthetic_degradation__p001__full_image,ok,
weakest,clip_similarity_improvement,full_image,4,-0.06764346361160278,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__severe__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__severe,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__severe,synthetic_degradation__p039__partial_transparency__severe,synthetic_degradation,p039,abstraction_surrealism,Painting with Troika,Wassily Kandinsky,,lama,,,full_image,589824,156521,False,0.9907070398330688,0.9230635762214661,-0.06764346361160278,0.9802906513214111,0.7783284187316895,-0.20196223258972168,-0.13480284810066223,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__severe__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__severe__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__severe__full_image__restored,synthetic_degradation__p039__full_image,ok,
weakest,clip_similarity_improvement,full_image,5,-0.06506580114364624,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__severe__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__severe,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__severe,synthetic_degradation__p018__partial_transparency__severe,synthetic_degradation,p018,landscape_natural,Classical Landscape with Figures,Henri Mauperché,,lama,,,full_image,589824,169410,False,0.9907352328300476,0.9256694316864014,-0.06506580114364624,0.9820120334625244,0.7878482341766357,-0.19416379928588867,-0.12961480021476746,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__severe__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__severe__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__severe__full_image__restored,synthetic_degradation__p018__full_image,ok,
weakest,clip_similarity_improvement,full_image,6,-0.03788727521896362,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__severe__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__severe,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__severe,synthetic_degradation__p026__partial_transparency__severe,synthetic_degradation,p026,architecture_structured,View of a Village along a River,attributed to Jan Brueghel I,,lama,,,full_image,589824,132649,False,0.9948906898498535,0.9570034146308899,-0.03788727521896362,0.9896225929260254,0.7900586128234863,-0.19956398010253906,-0.11872562766075134,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__severe__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__severe__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__severe__full_image__restored,synthetic_degradation__p026__full_image,ok,
weakest,clip_similarity_improvement,full_image,7,-0.032485127449035645,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__moderate__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__moderate,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__moderate,synthetic_degradation__p039__partial_transparency__moderate,synthetic_degradation,p039,abstraction_surrealism,Painting with Troika,Wassily Kandinsky,,lama,,,full_image,589824,104657,False,0.9946094751358032,0.9621243476867676,-0.032485127449035645,0.988562822341919,0.8523374795913696,-0.13622534275054932,-0.08435523509979248,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__moderate__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__moderate__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p039__partial_transparency__moderate__full_image__restored,synthetic_degradation__p039__full_image,ok,
weakest,clip_similarity_improvement,full_image,8,-0.031352698802948,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__moderate__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__moderate,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__moderate,synthetic_degradation__p043__partial_transparency__moderate,synthetic_degradation,p043,high_texture_brushwork,The Card Players,Paul Cézanne,Post-Impressionism,lama,,,full_image,589824,108836,False,0.9981630444526672,0.9668103456497192,-0.031352698802948,0.9958516359329224,0.9492728114128113,-0.046578824520111084,-0.03896576166152954,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__moderate__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__moderate__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__moderate__full_image__restored,synthetic_degradation__p043__full_image,ok,
weakest,clip_similarity_improvement,full_image,9,-0.014170408248901367,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__moderate__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__moderate,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__moderate,synthetic_degradation__p018__partial_transparency__moderate,synthetic_degradation,p018,landscape_natural,Classical Landscape with Figures,Henri Mauperché,,lama,,,full_image,589824,67754,False,0.9984362125396729,0.9842658042907715,-0.014170408248901367,0.9968805313110352,0.9779492616653442,-0.018931269645690918,-0.016550838947296143,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__moderate__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__moderate__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p018__partial_transparency__moderate__full_image__restored,synthetic_degradation__p018__full_image,ok,
weakest,clip_similarity_improvement,full_image,10,-0.01275944709777832,lama__synthetic_degradation__synthetic_degradation__p039__water_stain__moderate__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p039__water_stain__moderate,lama__synthetic_degradation__synthetic_degradation__p039__water_stain__moderate,synthetic_degradation__p039__water_stain__moderate,synthetic_degradation,p039,abstraction_surrealism,Painting with Troika,Wassily Kandinsky,,lama,,,full_image,589824,33464,False,0.9992818236351013,0.986522376537323,-0.01275944709777832,0.9967262744903564,0.9367318153381348,-0.05999445915222168,-0.036376953125,lama__synthetic_degradation__synthetic_degradation__p039__water_stain__moderate__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p039__water_stain__moderate__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p039__water_stain__moderate__full_image__restored,synthetic_degradation__p039__full_image,ok,
weakest,clip_similarity_improvement,full_image,11,-0.010253369808197021,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__moderate__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__moderate,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__moderate,synthetic_degradation__p026__partial_transparency__moderate,synthetic_degradation,p026,architecture_structured,View of a Village along a River,attributed to Jan Brueghel I,,lama,,,full_image,589824,35610,False,0.9976677298545837,0.9874143600463867,-0.010253369808197021,0.996200442314148,0.947750985622406,-0.04844945669174194,-0.029351413249969482,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__moderate__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__moderate__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p026__partial_transparency__moderate__full_image__restored,synthetic_degradation__p026__full_image,ok,
weakest,clip_similarity_improvement,full_image,12,-0.0060577392578125,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__mild__full_image__feature_similarity,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__mild,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__mild,synthetic_degradation__p043__partial_transparency__mild,synthetic_degradation,p043,high_texture_brushwork,The Card Players,Paul Cézanne,Post-Impressionism,lama,,,full_image,589824,23169,False,0.9994518756866455,0.993394136428833,-0.0060577392578125,0.9990526437759399,0.986656665802002,-0.012395977973937988,-0.009226858615875244,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__mild__full_image__clean,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__mild__full_image__damaged,lama__synthetic_degradation__synthetic_degradation__p043__partial_transparency__mild__full_image__restored,synthetic_degradation__p043__full_image,ok,
