case_id,painting_id,mask_id,mask_type,evaluation_region,damaged_lpips_opencv,restored_lpips_opencv,lpips_improvement_opencv,damaged_lpips_lama,restored_lpips_lama,lpips_improvement_lama,damaged_lpips_delta_lama_minus_opencv,restored_lpips_delta_lama_minus_opencv,lpips_improvement_delta_lama_minus_opencv,metric_family,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,winner_restored_lpips,winner_lpips_improvement
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,content_region,0.3921394348144531,0.00351192522794,0.388627509586513,0.3921394348144531,0.0013932327274233,0.3907462020870298,0.0,-0.0021186925005167003,0.0021186925005168278,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,mask_bbox_crop,0.285620242357254,0.0016085176030173,0.2840117247542366,0.285620242357254,0.0003634991589933,0.2852567431982606,0.0,-0.001245018444024,0.0012450184440240264,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,lama,lama
p002_zero_control,p002,p002_zero_control,zero_control,full_image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,tie,tie
p002_zero_control,p002,p002_zero_control,zero_control,content_region,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lpips,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,tie,tie
p003_loss_large,p003,p003_loss_large,loss_large,full_image,0.149455264210701,0.0773783177137374,0.0720769464969635,0.149455264210701,0.0313787832856178,0.1180764809250831,0.0,-0.045999534428119604,0.045999534428119604,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_loss_large,p003,p003_loss_large,loss_large,content_region,0.1760160326957702,0.0943354070186615,0.0816806256771087,0.1760160326957702,0.0373728610575199,0.1386431716382503,0.0,-0.0569625459611416,0.0569625459611416,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_loss_large,p003,p003_loss_large,loss_large,mask_bbox_crop,0.5375250577926636,0.2970004081726074,0.2405246496200561,0.5375250577926636,0.1565399914979934,0.3809850662946701,0.0,-0.140460416674614,0.140460416674614,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_loss_small,p003,p003_loss_small,loss_small,full_image,0.1477032154798507,0.0241099968552589,0.1235932186245918,0.1477032154798507,0.0022600251249969,0.1454431903548538,0.0,-0.021849971730262,0.021849971730262013,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_loss_small,p003,p003_loss_small,loss_small,content_region,0.1582863330841064,0.0302499141544103,0.128036418929696,0.1582863330841064,0.0035818158648908,0.1547045172192156,0.0,-0.0266680982895195,0.026668098289519604,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_loss_small,p003,p003_loss_small,loss_small,mask_bbox_crop,0.1557527482509613,0.0260709803551435,0.1296817678958177,0.1557527482509613,0.0024463078007102,0.1533064404502511,0.0,-0.023624672554433297,0.0236246725544334,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_mixed_damage,p003,p003_mixed_damage,mixed_damage,full_image,0.3579643368721008,0.0521440245211124,0.3058203123509884,0.3579643368721008,0.0180814117193222,0.3398829251527786,0.0,-0.034062612801790196,0.03406261280179024,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_mixed_damage,p003,p003_mixed_damage,mixed_damage,content_region,0.3883105814456939,0.0607316642999649,0.327578917145729,0.3883105814456939,0.0244689024984836,0.3638416789472103,0.0,-0.0362627618014813,0.0362627618014813,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_mixed_damage,p003,p003_mixed_damage,mixed_damage,mask_bbox_crop,0.3579643368721008,0.0521440245211124,0.3058203123509884,0.3579643368721008,0.0180814117193222,0.3398829251527786,0.0,-0.034062612801790196,0.03406261280179024,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_scratch_thin,p003,p003_scratch_thin,scratch_thin,full_image,0.2528427243232727,0.0022690342739224,0.2505736900493502,0.2528427243232727,0.0010530905565246,0.251789633766748,0.0,-0.0012159437173978,0.001215943717397805,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_scratch_thin,p003,p003_scratch_thin,scratch_thin,content_region,0.2794487774372101,0.0016871861880645,0.2777615912491455,0.2794487774372101,0.0009049358195625,0.2785438416176475,0.0,-0.0007822503685019999,0.000782250368501991,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_scratch_thin,p003,p003_scratch_thin,scratch_thin,mask_bbox_crop,0.2528427243232727,0.0022690342739224,0.2505736900493502,0.2528427243232727,0.0010530905565246,0.251789633766748,0.0,-0.0012159437173978,0.001215943717397805,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,lama,lama
p003_zero_control,p003,p003_zero_control,zero_control,full_image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,tie,tie
p003_zero_control,p003,p003_zero_control,zero_control,content_region,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lpips,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,tie,tie
p004_loss_large,p004,p004_loss_large,loss_large,full_image,0.1364009827375412,0.0726318582892417,0.0637691244482994,0.1364009827375412,0.0435916483402252,0.0928093343973159,0.0,-0.029040209949016495,0.0290402099490165,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_loss_large,p004,p004_loss_large,loss_large,content_region,0.1741328239440918,0.0979337394237518,0.0761990845203399,0.1741328239440918,0.0503034777939319,0.1238293461501598,0.0,-0.047630261629819905,0.0476302616298199,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_loss_large,p004,p004_loss_large,loss_large,mask_bbox_crop,0.4133918583393097,0.2612385153770447,0.152153342962265,0.4133918583393097,0.1641664952039718,0.2492253631353378,0.0,-0.09707202017307287,0.09707202017307281,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_loss_small,p004,p004_loss_small,loss_small,full_image,0.1134428307414054,0.0101363165304064,0.103306514210999,0.1134428307414054,0.0069812578149139,0.1064615729264915,0.0,-0.003155058715492501,0.003155058715492501,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_loss_small,p004,p004_loss_small,loss_small,content_region,0.1357944160699844,0.0143671398982405,0.1214272761717438,0.1357944160699844,0.008554064668715,0.1272403514012694,0.0,-0.0058130752295255,0.005813075229525608,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_loss_small,p004,p004_loss_small,loss_small,mask_bbox_crop,0.1360532641410827,0.0165276154875755,0.1195256486535072,0.1360532641410827,0.0108047155663371,0.1252485485747456,0.0,-0.0057228999212384,0.005722899921238395,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_mixed_damage,p004,p004_mixed_damage,mixed_damage,full_image,0.3154430389404297,0.0525133684277534,0.2629296705126762,0.3154430389404297,0.0325489230453968,0.2828941158950329,0.0,-0.019964445382356602,0.0199644453823567,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_mixed_damage,p004,p004_mixed_damage,mixed_damage,content_region,0.3497596979141235,0.0613652914762496,0.2883944064378738,0.3497596979141235,0.0372359864413738,0.3125237114727497,0.0,-0.0241293050348758,0.024129305034875925,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_mixed_damage,p004,p004_mixed_damage,mixed_damage,mask_bbox_crop,0.3154430389404297,0.0525133684277534,0.2629296705126762,0.3154430389404297,0.0325489230453968,0.2828941158950329,0.0,-0.019964445382356602,0.0199644453823567,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_scratch_thin,p004,p004_scratch_thin,scratch_thin,full_image,0.2398073375225067,0.0021340337116271,0.2376733038108796,0.2398073375225067,0.0010124891996383,0.2387948483228683,0.0,-0.0011215445119888002,0.0011215445119887035,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_scratch_thin,p004,p004_scratch_thin,scratch_thin,content_region,0.2702189683914184,0.0019191460451111,0.2682998223463073,0.2702189683914184,0.0017361637437716,0.2684828046476468,0.0,-0.00018298230133949995,0.0001829823013395071,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_scratch_thin,p004,p004_scratch_thin,scratch_thin,mask_bbox_crop,0.2398073375225067,0.0021340337116271,0.2376733038108796,0.2398073375225067,0.0010124891996383,0.2387948483228683,0.0,-0.0011215445119888002,0.0011215445119887035,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,lama,lama
p004_zero_control,p004,p004_zero_control,zero_control,full_image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,tie,tie
p004_zero_control,p004,p004_zero_control,zero_control,content_region,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lpips,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,portrait_figure,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,tie,tie
p005_loss_large,p005,p005_loss_large,loss_large,full_image,0.1356996297836303,0.0613388940691947,0.0743607357144355,0.1356996297836303,0.0433640740811824,0.0923355557024478,0.0,-0.0179748199880123,0.0179748199880123,lpips,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,1785,portrait_figure,18th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436840,Public Domain / Open Access,p005.jpg,lama,lama
p005_loss_large,p005,p005_loss_large,loss_large,content_region,0.1676113754510879,0.0825818255543708,0.085029549896717,0.1676113754510879,0.0528625920414924,0.1147487834095954,0.0,-0.029719233512878397,0.029719233512878404,lpips,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,1785,portrait_figure,18th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436840,Public Domain / Open Access,p005.jpg,lama,lama
p005_loss_large,p005,p005_loss_large,loss_large,mask_bbox_crop,0.433108925819397,0.2737326622009277,0.1593762636184692,0.433108925819397,0.1669480800628662,0.2661608457565307,0.0,-0.10678458213806147,0.1067845821380615,lpips,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,1785,portrait_figure,18th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436840,Public Domain / Open Access,p005.jpg,lama,lama
p005_loss_small,p005,p005_loss_small,loss_small,full_image,0.1931448876857757,0.0186368525028228,0.1745080351829528,0.1931448876857757,0.0073488596826791,0.1857960280030965,0.0,-0.0112879928201437,0.0112879928201437,lpips,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,1785,portrait_figure,18th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436840,Public Domain / Open Access,p005.jpg,lama,lama
