case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue,distance_from_median_mse_improvement,mse_improved,mae_improved,psnr_improved,ssim_improved,num_classical_metrics_improved,num_classical_metrics_worsened_or_tied,selection_reason,clean_path,damaged_path,restored_path,mask_path
p042_loss_large,p042,high_texture_brushwork,View of Beirut,p042_loss_large,loss_large,stable_diffusion_inpainting,masked_region,44565,,,,,44565,11.7464,7.5556,5220.11279296875,120.23624420166016,5099.87654876709,70.19696044921875,6.136676788330078,64.06028366088867,10.95400473797698,27.330449590572677,16.376444852595693,,,,ok,,,,,,,,,classical_metric_disagreement; worst_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p042_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p042_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p042_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p042_loss_large_mask.png
p050_loss_large,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_loss_large,loss_large,stable_diffusion_inpainting,masked_region,51958,,,,,51958,11.6243,8.8091,37005.2734375,1543.1993408203125,35462.07409667969,189.58547973632807,27.350852966308597,162.23462677001953,2.448167432437562,16.246583317415187,13.798415884977626,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p050_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p050_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p050_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p050_loss_large_mask.png
p048_loss_small,p048,high_texture_brushwork,A Farm in Brittany,p048_loss_small,loss_small,stable_diffusion_inpainting,masked_region,24841,,,,,24841,5.2765,4.2116,24973.712890625,567.4102172851562,24406.302673339844,149.57351684570312,16.481918334960938,133.0915985107422,4.155972463083709,20.59183209050988,16.435859627426172,,,,ok,,120.89309692382812,,,,,,,median_representative_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p048_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p048_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p048_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p048_loss_small_mask.png
p050_loss_small,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_loss_small,loss_small,stable_diffusion_inpainting,masked_region,14760,,,,,14760,3.3022,2.5024,34822.203125,538.4415283203125,34283.76159667969,183.3074493408203,17.132904052734375,166.17454528808594,2.712241163507473,20.819418125776497,18.107176962269023,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p050_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p050_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p050_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p050_loss_small_mask.png
p041_mixed_damage,p041,high_texture_brushwork,Wheat Field with Cypresses,p041_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,41902,,,,,41902,8.9296,7.1042,25376.609375,1391.2073974609375,23985.401977539062,152.67239379882812,27.81087684631348,124.86151695251463,4.086467662809069,16.69688482594988,12.610417163140813,,,,ok,,541.7937927246094,,,,,,,median_representative_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p041_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p041_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p041_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p041_mixed_damage_mask.png
p044_mixed_damage,p044,high_texture_brushwork,Versailles,p044_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,49669,,,,,49669,10.0894,8.421,25458.681640625,925.6526489257812,24533.02899169922,152.015625,17.86580467224121,134.1498203277588,4.072444505929357,18.46632312582304,14.39387861989368,,,,ok,,5.833221435546875,,,,,,,median_representative_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p044_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p044_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p044_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p044_mixed_damage_mask.png
p050_mixed_damage,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,39368,,,,,39368,8.8076,6.6745,37911.9375,1202.22802734375,36709.70947265625,191.74598693847656,23.05862617492676,168.6873607635498,2.343043811352988,17.330935124816534,14.987891313463546,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p050_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p050_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p050_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p050_mixed_damage_mask.png
p041_scratch_thin,p041,high_texture_brushwork,Wheat Field with Cypresses,p041_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,11793,,,,,11793,2.5132,1.9994,26664.6015625,2143.239013671875,24521.362548828125,151.9729766845703,32.27507781982422,119.6978988647461,3.871452622733708,14.82009754674159,10.948644924007882,,,,ok,,5.833221435546875,,,,,,,median_representative_masked_region_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p041_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p041_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p041_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p041_scratch_thin_mask.png
p050_scratch_thin,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,11991,,,,,11991,2.6827,2.033,42905.9453125,3832.838134765625,39073.107177734375,204.32791137695312,44.88724899291992,159.4406623840332,1.8056288599056105,12.295598819898812,10.489969959993202,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p050_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p050_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p050_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p050_scratch_thin_mask.png
p013_loss_large,p013,landscape_natural,Landscape with a Village in the Distance,p013_loss_large,loss_large,stable_diffusion_inpainting,masked_region,44375,,,,,44375,10.8202,7.5234,46091.91796875,1272.348388671875,44819.569580078125,212.23541259765625,23.01388931274414,189.2215232849121,1.4945558058210142,17.084743167243257,15.590187361422243,,,,ok,,,,,,,,,category_mask_representative_best_mse_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p013_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p013_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p013_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p013_loss_large_mask.png
