case_id,painting_id,category,title,mask_id,mask_type,model_name,selection_group,figure_filename,figure_path,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked,status,issue
p041_scratch_thin,p041,high_texture_brushwork,Wheat Field with Cypresses,p041_scratch_thin,scratch_thin,stable_diffusion_inpainting,,p041_scratch_thin_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p041_scratch_thin_stable_diffusion_inpainting_error_maps.png,589824,11793,3.0385632514953613,12.590991973876953,-9.552427291870117,255.0,171.0,-168.6666717529297,254.0,151.9729766845703,32.27507781982422,119.69789123535156,103,11687,3,0.8733994742643941,99.10116170609685,ok,
p050_scratch_thin,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_scratch_thin,scratch_thin,stable_diffusion_inpainting,,p050_scratch_thin_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p050_scratch_thin_stable_diffusion_inpainting_error_maps.png,589824,11991,4.15394401550293,8.541765213012695,-4.387819290161133,255.0,178.6666717529297,-154.3333282470703,255.0,204.32791137695312,44.88724899291992,159.44065856933594,7,11984,0,0.05837711617046118,99.94162288382954,ok,
p013_loss_large,p013,landscape_natural,Landscape with a Village in the Distance,p013_loss_large,loss_large,stable_diffusion_inpainting,,p013_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p013_loss_large_stable_diffusion_inpainting_error_maps.png,589824,44375,15.96738338470459,7.152061462402344,8.81532096862793,245.6666717529297,178.6666717529297,-137.0,238.6666717529297,212.2354278564453,23.01388931274414,189.22152709960938,328,44044,3,0.7391549295774648,99.25408450704225,ok,
p017_loss_large,p017,landscape_natural,Picturesque Landscape,p017_loss_large,loss_large,stable_diffusion_inpainting,,p017_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p017_loss_large_stable_diffusion_inpainting_error_maps.png,589824,45832,7.30393648147583,13.275199890136719,-5.9712629318237305,186.6666717529297,154.0,-154.0,183.0,93.99626922607422,32.867061614990234,61.12921142578125,4122,41666,44,8.993716180834351,90.91028102635713,ok,
p020_loss_large,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_loss_large,loss_large,stable_diffusion_inpainting,,p020_loss_large_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p020_loss_large_stable_diffusion_inpainting_error_maps.png,589824,51159,6.276782035827637,10.562562942504883,-4.285782337188721,178.0,148.3333282470703,-132.6666717529297,160.0,72.3664779663086,44.66487503051758,27.701601028442383,15111,35965,83,29.537324810883714,70.3004358959323,ok,
p017_loss_small,p017,landscape_natural,Picturesque Landscape,p017_loss_small,loss_small,stable_diffusion_inpainting,,p017_loss_small_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p017_loss_small_stable_diffusion_inpainting_error_maps.png,589824,20288,3.2518155574798584,12.517730712890625,-9.265917778015137,188.3333282470703,155.0,-143.6666717529297,177.33334350585938,94.5385971069336,30.03736114501953,64.50123596191406,1272,19002,14,6.269716088328075,93.66127760252367,ok,
p019_loss_small,p019,landscape_natural,Evening: Landscape with an Aqueduct,p019_loss_small,loss_small,stable_diffusion_inpainting,,p019_loss_small_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p019_loss_small_stable_diffusion_inpainting_error_maps.png,589824,15653,5.574728488922119,7.428340435028076,-1.8536126613616943,244.3333282470703,219.6666717529297,-219.6666717529297,239.6666717529297,210.0625,9.742073059082031,200.3204345703125,0,15653,0,0.0,100.0,ok,
p020_loss_small,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_loss_small,loss_small,stable_diffusion_inpainting,,p020_loss_small_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p020_loss_small_stable_diffusion_inpainting_error_maps.png,589824,13227,1.3968043327331543,8.177395820617676,-6.780592918395996,178.0,129.3333282470703,-129.3333282470703,131.0,62.286888122558594,13.61800479888916,48.66888427734375,413,12807,7,3.1224011491645878,96.82467679745974,ok,
p017_mixed_damage,p017,landscape_natural,Picturesque Landscape,p017_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p017_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p017_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,39263,6.473071575164795,13.673563003540039,-7.200491905212402,188.6666717529297,156.3333282470703,-143.0,185.0,97.240966796875,38.91901779174805,58.321956634521484,6720,32492,51,17.115350329827063,82.75475638641979,ok,
p018_mixed_damage,p018,landscape_natural,Classical Landscape with Figures,p018_mixed_damage,mixed_damage,stable_diffusion_inpainting,,p018_mixed_damage_stable_diffusion_inpainting_error_maps.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\stable_diffusion_inpainting\all_cases\p018_mixed_damage_stable_diffusion_inpainting_error_maps.png,589824,44279,11.139533996582031,6.342392921447754,4.7971415519714355,255.0,208.6666717529297,-159.3333282470703,255.0,148.38555908203125,20.912410736083984,127.4731674194336,1203,43065,11,2.716863524469839,97.25829399941281,ok,
