original_case_id,case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,seed_a,seed_b,seed_pair,lpips_net,lpips_target_size,bbox_margin,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,pairwise_lpips_distance
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,alex,256,16,0,20,768,747,768,727,0.09410246461629868
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,alex,256,16,0,20,768,747,768,727,0.10068857669830322
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,alex,256,16,0,20,768,747,768,727,0.09559661149978638
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,alex,256,16,0,20,768,747,768,727,0.10018403828144073
p010_mixed_damage,p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,alex,256,16,0,20,768,747,768,727,0.10202902555465698
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,alex,256,16,0,116,768,747,768,631,0.06404110044240952
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,alex,256,16,0,116,768,747,768,631,0.05884793400764465
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,alex,256,16,0,116,768,747,768,631,0.05855631083250046
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,alex,256,16,0,116,768,747,768,631,0.061753854155540466
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,alex,256,16,0,116,768,747,768,631,0.05129391700029373
p010_scratch_thin,p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,alex,256,16,0,116,768,747,768,631,0.06266925483942032
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,alex,256,16,0,144,323,445,323,301,0.462927907705307
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,alex,256,16,0,144,323,445,323,301,0.49280020594596863
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,alex,256,16,0,144,323,445,323,301,0.4702047109603882
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2028,2027_2028,alex,256,16,0,144,323,445,323,301,0.4551583230495453
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2027,2029,2027_2029,alex,256,16,0,144,323,445,323,301,0.3687356114387512
p011_loss_large,p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2028,2029,2028_2029,alex,256,16,0,144,323,445,323,301,0.43454787135124207
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2027,2026_2027,alex,256,16,24,165,710,617,686,452,0.10532056540250778
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2028,2026_2028,alex,256,16,24,165,710,617,686,452,0.1449962705373764
p011_loss_small,p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,2026,2029,2026_2029,alex,256,16,24,165,710,617,686,452,0.13905984163284302
