dataset_name,case_id,painting_id,mask_id,mask_type,category,model_name,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,improvement_std_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked
canonical,p020_loss_small,p020,,,landscape_natural,opencv_telea,589824,13032,1.5055440664291382,0.293975830078125,1.2115682363510132,176.3333282470703,107.33333587646484,-51.33333206176758,148.6666717529297,68.14042663574219,13.305248260498047,54.835174560546875,20.626150131225586,211,12819,2,1.6190914671577654,98.36556169429097
canonical,p020_mixed_damage,p020,,,landscape_natural,opencv_telea,589824,34209,3.7111294269561768,0.574567973613739,3.1365621089935303,205.6666717529297,133.0,-60.0,193.0,63.986480712890625,9.906574249267578,54.07990264892578,28.513216018676758,183,34023,3,0.5349469437867228,99.45628343418399
canonical,p020_scratch_thin,p020,,,landscape_natural,opencv_telea,589824,8734,1.265429973602295,0.16143685579299927,1.1039931774139404,205.6666717529297,133.0,-63.000003814697266,188.66665649414062,85.45693969726562,10.902145385742188,74.5548095703125,45.901302337646484,36,8698,0,0.41218227616212505,99.58781772383787
canonical,p020_zero_control,p020,,,landscape_natural,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
canonical,p021_loss_large,p021,,,architecture_structured,opencv_telea,589824,57771,15.425642013549805,2.8937408924102783,12.531904220581055,252.6666717529297,179.3333282470703,-138.3333282470703,238.0,157.4910430908203,29.544198989868164,127.94685363769531,55.41182327270508,1123,56636,12,1.943881878451126,98.03534645410328
canonical,p021_loss_small,p021,,,architecture_structured,opencv_telea,589824,18677,5.868639945983887,0.5746002793312073,5.294038772583008,250.3333282470703,107.0,-30.333335876464844,238.66665649414062,185.33299255371094,18.146007537841797,167.18698120117188,49.58967971801758,36,18640,1,0.19275044171976227,99.80189537934358
canonical,p021_mixed_damage,p021,,,architecture_structured,opencv_telea,589824,49836,14.652216911315918,1.4594556093215942,13.192760467529297,250.3333282470703,169.6666717529297,-137.0,244.33334350585938,173.4133758544922,17.273094177246094,156.14027404785156,46.83926773071289,58,49777,1,0.11638173208122642,99.88161168633117
canonical,p021_scratch_thin,p021,,,architecture_structured,opencv_telea,589824,9825,3.1339755058288574,0.22235162556171417,2.911623954772949,250.0,191.0,-174.0,246.6666717529297,188.1418914794922,13.348431587219238,174.79345703125,54.76506805419922,148,9677,0,1.5063613231552162,98.49363867684478
canonical,p021_zero_control,p021,,,architecture_structured,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
canonical,p022_loss_large,p022,,,architecture_structured,opencv_telea,589824,53891,17.971216201782227,2.3115622997283936,15.65965747833252,247.6666717529297,130.0,-53.0,242.3333282470703,196.69065856933594,25.299484252929688,171.3911590576172,47.37248611450195,559,53325,7,1.037278951958583,98.94973186617432
canonical,p022_loss_small,p022,,,architecture_structured,opencv_telea,589824,20293,6.720692157745361,0.5269618034362793,6.19373083114624,248.6666717529297,125.33333587646484,-15.666664123535156,245.33334350585938,195.33958435058594,15.3163480758667,180.0232391357422,36.545814514160156,14,20279,0,0.0689893066574681,99.93101069334253
canonical,p022_mixed_damage,p022,,,architecture_structured,opencv_telea,589824,44952,14.965645790100098,1.0854191780090332,13.880227088928223,247.6666717529297,127.0,-31.0,245.0,196.36717224121094,14.241999626159668,182.12518310546875,37.684207916259766,11,44941,0,0.024470546360562378,99.97552945363944
canonical,p022_scratch_thin,p022,,,architecture_structured,opencv_telea,589824,8915,2.8120779991149902,0.10273687541484833,2.709341049194336,243.3333282470703,67.66666412353516,0.0,238.6666717529297,186.04946899414062,6.797158718109131,179.25230407714844,39.16273498535156,0,8915,0,0.0,100.0
canonical,p022_zero_control,p022,,,architecture_structured,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
canonical,p023_loss_large,p023,,,architecture_structured,opencv_telea,589824,44286,11.070987701416016,3.345961332321167,7.725024700164795,225.3333282470703,145.6666717529297,-84.66665649414062,209.6666717529297,147.44915771484375,44.563255310058594,102.88590240478516,64.90373229980469,4264,40001,21,9.628324978548525,90.32425597254212
canonical,p023_loss_small,p023,,,architecture_structured,opencv_telea,589824,18453,4.553889274597168,0.5214352011680603,4.032454013824463,220.0,107.33333587646484,-35.33333206176758,207.0,145.55862426757812,16.66693878173828,128.8916778564453,48.33546829223633,13,18439,1,0.07044924944453476,99.92413157752127
canonical,p023_mixed_damage,p023,,,architecture_structured,opencv_telea,589824,42254,10.320878982543945,1.603355884552002,8.717521667480469,223.0,146.6666717529297,-69.0,215.0,144.0692138671875,22.38125991821289,121.68795013427734,53.013946533203125,969,41280,5,2.293274009561225,97.69489279121504
canonical,p023_scratch_thin,p023,,,architecture_structured,opencv_telea,589824,8131,1.7338008880615234,0.0948096215724945,1.6389909982681274,224.3333282470703,89.66666412353516,-14.0,219.0,125.77017974853516,6.877505779266357,118.8926773071289,44.2930793762207,2,8129,0,0.02459722051408191,99.97540277948592
canonical,p023_zero_control,p023,,,architecture_structured,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
