case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue,distance_from_median_lpips_improvement,selection_reason,clean_path,damaged_path,restored_path,mask_path,visual_figure_path
p013_scratch_thin,p013,landscape_natural,Landscape with a Village in the Distance,p013_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,443556,0,51,666,717,7041,1.7168,1.1937,0.38923585414886475,0.14786465466022491,0.24137119948863983,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p013_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p013_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p013_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p013_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p013_scratch_thin_stable_diffusion_lpips.png
p016_scratch_thin,p016,landscape_natural,Wooded Landscape with a House beside a River,p016_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,5937,1.5939,1.0066,0.10143551230430603,0.10763268172740936,-0.0061971694231033325,alex,256,cuda,ok,,,weakest_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p016_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p016_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p016_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p016_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p016_scratch_thin_stable_diffusion_lpips.png
p017_scratch_thin,p017,landscape_natural,Picturesque Landscape,p017_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,5790,1.332,0.9816,0.09323197603225708,0.11457721889019012,-0.021345242857933044,alex,256,cuda,ok,,,weakest_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p017_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p017_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p017_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p017_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p017_scratch_thin_stable_diffusion_lpips.png
p020_scratch_thin,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,11485,2.8269,1.9472,0.18873794376850128,0.19335544109344482,-0.0046174973249435425,alex,256,cuda,ok,,,weakest_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p020_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p020_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p020_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p020_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p020_scratch_thin_stable_diffusion_lpips.png
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,140625,221,338,596,713,67242,13.2058,11.4003,0.6643260717391968,0.27319368720054626,0.3911323845386505,alex,256,cuda,ok,,,strongest_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p001_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p001_loss_large_stable_diffusion_lpips.png
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,97344,283,434,595,746,49705,14.4143,8.4271,0.680068850517273,0.2725929915904999,0.40747585892677307,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement; strongest_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p002_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p002_loss_large_stable_diffusion_lpips.png
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,408321,72,25,711,664,24198,4.7523,4.1026,0.3563153147697449,0.05031324177980423,0.30600207298994064,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p001_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p001_loss_small_stable_diffusion_lpips.png
p010_loss_small,p010,portrait_figure,Joan of Arc,p010_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,495616,26,39,730,743,19716,3.6938,3.3427,0.27098312973976135,0.10934896767139435,0.161634162068367,alex,256,cuda,ok,,4.2669475078582764e-05,median_representative_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p010_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p010_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p010_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p010_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p010_loss_small_stable_diffusion_lpips.png
p010_mixed_damage,p010,portrait_figure,Joan of Arc,p010_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,48195,9.0293,8.1711,0.49672678112983704,0.19057467579841614,0.3061521053314209,alex,256,cuda,ok,,,category_mask_representative_best_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p010_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p010_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p010_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p010_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p010_mixed_damage_stable_diffusion_lpips.png
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,8012,1.5735,1.3584,0.4253467917442322,0.263627290725708,0.16171950101852417,alex,256,cuda,ok,,4.2669475078582764e-05,median_representative_mask_bbox_lpips_improvement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\stable_diffusion_inpainting\p001_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_lpips_metric_cases\p001_scratch_thin_stable_diffusion_lpips.png
