case_id,painting_id,category,title,mask_type,mse_improvement,restored_mse,mae_improvement,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement
p013_scratch_thin,p013,landscape_natural,Landscape with a Village in the Distance,scratch_thin,40196.86880493164,368.0374450683594,183.37977600097656,20.422584694625296,0.38236114382743835,0.007821055129170418,0.37454008869826794
p014_loss_large,p014,landscape_natural,Landscape on a River,loss_large,26803.85009765625,1275.59912109375,139.3166847229004,13.426743734750737,0.5740740299224854,0.35078009963035583,0.22329393029212952
p014_loss_small,p014,landscape_natural,Landscape on a River,loss_small,23962.766662597656,136.75286865234375,143.4800510406494,22.46071938936428,0.2961568534374237,0.021867383271455765,0.27428947016596794
p014_mixed_damage,p014,landscape_natural,Landscape on a River,mixed_damage,24221.775665283203,491.1813659667969,137.96792030334473,17.016828315192193,0.4394245743751526,0.06708231568336487,0.3723422586917877
p014_scratch_thin,p014,landscape_natural,Landscape on a River,scratch_thin,40049.637786865234,421.6278381347656,182.81715774536133,19.82217508336541,0.421140193939209,0.005662888288497925,0.41547730565071106
p015_loss_large,p015,landscape_natural,Landscape,loss_large,20930.594665527344,746.0596313476562,122.66028594970705,14.632187101378166,0.6520757675170898,0.4836895167827606,0.16838625073432922
p015_loss_small,p015,landscape_natural,Landscape,loss_small,16166.191802978516,322.8081970214844,112.21566486358644,17.082497638399907,0.12911100685596466,0.010244019329547882,0.11886698752641678
p015_mixed_damage,p015,landscape_natural,Landscape,mixed_damage,14364.448852539062,1076.0286865234375,95.66929054260254,11.568368783402931,0.30545979738235474,0.07753275334835052,0.2279270440340042
p015_scratch_thin,p015,landscape_natural,Landscape,scratch_thin,11408.091766357422,187.24124145507807,91.53869819641112,17.918817137671727,0.15827175974845886,0.0014840950025245547,0.1567876647459343
p016_loss_large,p016,landscape_natural,Wooded Landscape with a House beside a River,loss_large,11261.2666015625,1693.2373046875,74.8512191772461,8.837029581992567,0.526730477809906,0.4351871609687805,0.09154331684112549
p016_loss_small,p016,landscape_natural,Wooded Landscape with a House beside a River,loss_small,14794.901245117188,915.2042236328124,96.9110164642334,12.346610849507789,0.14031606912612915,0.027741584926843643,0.11257448419928551
p016_mixed_damage,p016,landscape_natural,Wooded Landscape with a House beside a River,mixed_damage,11211.77801513672,913.8508911132812,77.88490676879883,11.22828933255893,0.198218435049057,0.0671999454498291,0.1310184895992279
p016_scratch_thin,p016,landscape_natural,Wooded Landscape with a House beside a River,scratch_thin,9762.392944335938,797.1715087890625,68.98567962646484,11.220942369089045,0.10143551230430603,0.007224059663712978,0.09421145264059305
p017_loss_large,p017,landscape_natural,Picturesque Landscape,loss_large,8919.4443359375,1484.4287109375,64.24769401550293,8.456356984598031,0.3723841607570648,0.33948254585266113,0.032901614904403687
p017_loss_small,p017,landscape_natural,Picturesque Landscape,loss_small,9369.60302734375,1182.99365234375,69.07392120361328,9.50376925403277,0.1596577912569046,0.0607866533100605,0.0988711379468441
p017_mixed_damage,p017,landscape_natural,Picturesque Landscape,mixed_damage,9888.088256835938,1100.4859619140625,73.32229804992676,9.9935683887564,0.19561046361923218,0.06012863293290138,0.1354818306863308
p017_scratch_thin,p017,landscape_natural,Picturesque Landscape,scratch_thin,11575.901550292969,524.1697387695312,85.71289825439453,13.633159842648114,0.09323197603225708,0.001788478926755488,0.09144349710550159
p018_loss_large,p018,landscape_natural,Classical Landscape with Figures,loss_large,19571.1416015625,1779.5400390625,109.93971633911131,10.791039809108009,0.4889947175979614,0.2848009169101715,0.20419380068778992
p018_loss_small,p018,landscape_natural,Classical Landscape with Figures,loss_small,30529.275512695312,397.3514404296875,159.48878288269043,18.9115776406979,0.19561190903186798,0.03031313419342041,0.16529877483844757
p018_mixed_damage,p018,landscape_natural,Classical Landscape with Figures,mixed_damage,25292.44403076172,486.5032348632813,136.4554271697998,17.241794457739033,0.31987670063972473,0.035560425370931625,0.2843162752687931
p018_scratch_thin,p018,landscape_natural,Classical Landscape with Figures,scratch_thin,39903.2108001709,129.58216857910156,188.00163555145264,24.89870646934432,0.3084329068660736,0.0018888075137510896,0.3065440993523225
p019_loss_large,p019,landscape_natural,Evening: Landscape with an Aqueduct,loss_large,25688.907470703125,2503.639404296875,115.27515411376952,10.515625329840375,0.33679288625717163,0.20905914902687073,0.1277337372303009
p019_loss_small,p019,landscape_natural,Evening: Landscape with an Aqueduct,loss_small,44883.55497741699,211.9489288330078,201.28735542297363,23.27902018150616,0.13740324974060059,0.009668958373367786,0.1277342913672328
p019_mixed_damage,p019,landscape_natural,Evening: Landscape with an Aqueduct,mixed_damage,43425.31103515625,883.16943359375,187.6593894958496,17.004428266766354,0.29815444350242615,0.04128871113061905,0.2568657323718071
p019_scratch_thin,p019,landscape_natural,Evening: Landscape with an Aqueduct,scratch_thin,30969.56401062012,192.8344268798828,152.69229936599731,22.08446304669564,0.232696533203125,0.0008889652672223747,0.23180756793590263
p020_loss_large,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),loss_large,5225.530151367188,1214.7965087890625,46.85239410400391,7.244043606658163,0.4251325726509094,0.3839724063873291,0.04116016626358032
p020_loss_small,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),loss_small,3981.432342529297,256.5134582519531,53.18275737762451,12.18045242436436,0.17223742604255676,0.026392389088869095,0.14584503695368767
p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),mixed_damage,4540.541717529297,436.2405090332031,50.75857925415039,10.572226459126258,0.2603759467601776,0.04301323741674423,0.21736270934343338
p020_scratch_thin,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),scratch_thin,8513.512023925781,551.1862182617188,71.37262725830078,12.160550012637731,0.18873794376850128,0.012697705999016762,0.17604023776948452
p021_loss_large,p021,architecture_structured,Interior of the Oude Kerk in Delft,loss_large,25887.306640625,1296.13671875,129.0927219390869,13.216536543976552,0.5458166599273682,0.36021482944488525,0.1856018304824829
p021_loss_small,p021,architecture_structured,Interior of the Oude Kerk in Delft,loss_small,36344.1103515625,599.9091796875,171.2017002105713,17.894586376986883,0.13929502665996552,0.014993109740316868,0.12430191691964865
p021_mixed_damage,p021,architecture_structured,Interior of the Oude Kerk in Delft,mixed_damage,24579.17987060547,645.4588012695312,136.07932567596436,15.919564268611753,0.3369160294532776,0.04985935986042023,0.28705666959285736
p021_scratch_thin,p021,architecture_structured,Interior of the Oude Kerk in Delft,scratch_thin,33284.92254638672,519.6751098632812,162.9844036102295,18.132438547733347,0.16973194479942322,0.004586686845868826,0.1651452579535544
p022_loss_large,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",loss_large,32630.9658203125,2198.2958984375,150.04197311401367,11.998581191462256,0.5423682928085327,0.3193618059158325,0.2230064868927002
p022_loss_small,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",loss_small,36720.03741455078,652.1578979492188,174.76116180419922,17.581958517030326,0.2673954665660858,0.03959216922521591,0.2278032973408699
p022_mixed_damage,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",mixed_damage,34831.59460449219,1309.6632080078125,163.93378067016602,14.408436359227004,0.37797117233276367,0.06272722780704498,0.3152439445257187
