case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_mse_improvement,opencv_telea_psnr_improvement,opencv_telea_ssim_improvement,opencv_telea_lpips_improvement,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_mse_improvement,lama_psnr_improvement,lama_ssim_improvement,lama_lpips_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,stable_diffusion_inpainting_lpips_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement,winner_lpips_improvement,winner_clip_improvement,winner_dinov2_improvement,opencv_telea_metric_wins,lama_metric_wins,stable_diffusion_inpainting_metric_wins,metric_ties,overall_metric_vote,mixed_metric_outcome,all_metrics_same_winner,opencv_telea_all_metrics_win,lama_all_metrics_win,stable_diffusion_inpainting_all_metrics_win,num_unique_metric_winners,max_model_metric_wins,disagreement_strength
p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,38123.13516235352,19.3601717408502,,0.1996963620185852,0.054261028766632,-0.0443043708801269,38095.727142333984,19.101648437916182,,0.367238238453865,0.1899043321609497,0.3130960464477539,37876.23669433594,17.4499989396261,,0.2825779616832733,0.1569653153419494,0.2559692859649658,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p010_loss_small,p010,p010_loss_small,loss_small,portrait_figure,Joan of Arc,43292.633392333984,21.76358843504289,,0.2361908964812755,0.1199399232864379,0.029944896697998,43276.67184448242,21.5311920720138,,0.2449731975793838,0.1212677955627441,0.0500761270523071,43180.51480102539,20.34558855020845,,0.161634162068367,0.0949597954750061,0.001774251461029,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p010_scratch_thin,p010,p010_scratch_thin,scratch_thin,portrait_figure,Joan of Arc,42821.99607086182,25.853695708608832,,0.362081061117351,0.1296925544738769,0.1778187155723571,42817.48448181152,25.681489811110783,,0.3624455295503139,0.12972491979599,0.1780105829238891,38657.36669921875,10.017418442118384,,0.1666091382503509,0.0787569880485534,0.0020129084587097,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p012_scratch_thin,p012,p012_scratch_thin,scratch_thin,landscape_natural,An Extensive Wooded Landscape,23988.14758300781,11.8173305044564,,0.2772136237472296,0.148080825805664,0.2217461466789245,25235.946685791016,17.641695274435676,,0.2928924355655908,0.1500707268714904,0.2155142426490783,22696.925048828125,9.351993655913816,,0.2050558626651764,0.0660505294799804,-0.0181735157966613,lama,lama,no_valid_values,lama,lama,opencv_telea,1,4,0,1,lama,True,False,False,False,False,3,4,4
p013_loss_small,p013,p013_loss_small,loss_small,landscape_natural,Landscape with a Village in the Distance,29369.31149291992,19.31433848292552,,0.2145170513540506,0.1621161103248596,0.1191982626914978,29285.49691772461,18.377170286388477,,0.2274408200755715,0.1633013486862182,0.1530717015266418,28123.75561523437,12.70643471485098,,0.1240322440862655,0.1456443071365356,0.0209220647811889,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p014_scratch_thin,p014,p014_scratch_thin,scratch_thin,landscape_natural,Landscape on a River,40049.637786865234,19.82217508336541,,0.415477305650711,0.140863299369812,0.3726850152015686,39918.44952392578,18.645661023253616,,0.4169335691258311,0.1347090005874633,0.350375771522522,34379.2998046875,8.223893279315224,,0.1565363407135009,0.0118151307106018,-0.1291376948356628,opencv_telea,opencv_telea,no_valid_values,lama,opencv_telea,opencv_telea,4,1,0,1,opencv_telea,True,False,False,False,False,3,4,4
p015_loss_large,p015,p015_loss_large,loss_large,landscape_natural,Landscape,20930.594665527344,14.632187101378166,,0.1683862507343292,-0.0467734932899475,-0.1973687410354614,20803.24493408203,13.94775340330906,,0.4214644581079483,0.1642574071884155,0.3434723615646362,18072.2431640625,7.791581252492291,,0.2557416558265686,0.0382831096649169,0.1829873919486999,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p015_loss_small,p015,p015_loss_small,loss_small,landscape_natural,Landscape,16166.191802978516,17.082497638399907,,0.1188669875264167,0.0446751713752746,0.0766756534576416,16078.172576904297,16.035328793277706,,0.1230125571601092,0.0454081296920776,0.0891027450561523,15727.9150390625,13.357601145935634,,0.0558198243379592,0.0290002226829528,0.0308336019515991,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p015_scratch_thin,p015,p015_scratch_thin,scratch_thin,landscape_natural,Landscape,11408.091766357422,17.918817137671727,,0.1567876647459343,0.0798462629318237,0.3343988060951233,11398.009506225586,17.69104412117241,,0.1572647686116397,0.0798993706703186,0.3343613147735595,10499.930419921877,10.247094630949247,,0.0767566040158271,0.0657161474227905,0.2164626121520996,opencv_telea,opencv_telea,no_valid_values,lama,lama,opencv_telea,3,2,0,1,opencv_telea,True,False,False,False,False,3,3,4
p016_loss_small,p016,p016_loss_small,loss_small,landscape_natural,Wooded Landscape with a House beside a River,14794.901245117188,12.346610849507789,,0.1125744841992855,0.1186209321022033,0.0704962611198425,14480.845581054688,11.065353903823512,,0.1276129130274057,0.1241198182106018,0.0959588289260864,14228.2294921875,10.253672431326825,,0.0541728213429451,0.0872040390968322,0.0305869579315185,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p016_mixed_damage,p016,p016_mixed_damage,mixed_damage,landscape_natural,Wooded Landscape with a House beside a River,11211.77801513672,11.22828933255893,,0.1310184895992279,0.1667985320091247,0.1875715255737304,11195.005920410156,11.149300770142755,,0.1691376492381096,0.1819378137588501,0.3077877163887024,10800.452514648438,9.61430297652503,,0.1151655092835426,0.1614837646484375,0.2564638257026672,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p016_scratch_thin,p016,p016_scratch_thin,scratch_thin,landscape_natural,Wooded Landscape with a House beside a River,9762.392944335938,11.220942369089045,,0.094211452640593,0.03790283203125,0.0624782443046569,9802.864868164062,11.447219892861517,,0.0964444885030388,0.0378718376159668,0.0624757409095764,7386.870361328125,5.222177120027347,,-0.0061971694231033,0.0023524761199951,-0.0062337517738342,lama,lama,no_valid_values,lama,opencv_telea,opencv_telea,2,3,0,1,lama,True,False,False,False,False,3,3,4
p017_loss_large,p017,p017_loss_large,loss_large,landscape_natural,Picturesque Landscape,8919.4443359375,8.456356984598031,,0.0329016149044036,-0.0309364795684814,-0.2869917154312134,8867.896484375,8.308104552463803,,0.207484945654869,0.0872251391410827,0.1792643070220947,8670.136962890625,7.782120558985792,,0.155702531337738,0.0748223662376403,0.0428134202957153,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p017_scratch_thin,p017,p017_scratch_thin,scratch_thin,landscape_natural,Picturesque Landscape,11575.901550292969,13.633159842648114,,0.0914434971055015,0.0260106921195983,0.084892451763153,11593.451721191406,13.781059688861465,,0.0907072348054498,0.0257405638694763,0.0835596323013305,9532.495849609377,6.732647163035898,,-0.021345242857933,0.0049807429313659,0.036929965019226,lama,lama,no_valid_values,opencv_telea,opencv_telea,opencv_telea,3,2,0,1,opencv_telea,True,False,False,False,False,3,3,4
p018_loss_large,p018,p018_loss_large,loss_large,landscape_natural,Classical Landscape with Figures,19571.1416015625,10.791039809108009,,0.2041938006877899,0.0686316490173339,-0.1257827281951904,20284.2294921875,13.014703713544176,,0.3454868197441101,0.2010728120803833,0.08487468957901,19818.33935546875,11.440559586906357,,0.251799464225769,0.0589441657066345,0.0909712314605712,lama,lama,no_valid_values,lama,lama,stable_diffusion_inpainting,0,4,1,1,lama,True,False,False,False,False,3,4,4
p018_mixed_damage,p018,p018_mixed_damage,mixed_damage,landscape_natural,Classical Landscape with Figures,25292.44403076172,17.241794457739033,,0.2843162752687931,0.1662093997001648,0.0948591232299804,25134.493041992188,16.02073103784273,,0.3042363412678242,0.1802831292152404,0.1432873010635376,24390.736206054688,12.688096780959205,,0.2255993708968162,0.1264335513114929,0.0143761038780212,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p019_scratch_thin,p019,p019_scratch_thin,scratch_thin,landscape_natural,Evening: Landscape with an Aqueduct,30969.56401062012,22.08446304669564,,0.2318075679359026,0.117043912410736,0.0799077749252319,30949.688705444336,21.658435155641623,,0.2309313808800652,0.1177018880844116,0.0606942772865295,27937.944580078125,9.8517470961215,,0.1195244714617729,0.079303503036499,0.0092765092849731,opencv_telea,opencv_telea,no_valid_values,opencv_telea,lama,opencv_telea,4,1,0,1,opencv_telea,True,False,False,False,False,3,4,4
