dataset_name,evaluation_region,mask_type,category,inference_mode,source_mask_semantics,lama_applicability,metric,row_count,valid_count,mean_value,median_value,std_value,min_value,max_value,positive_improvement_count,zero_improvement_count,negative_improvement_count,positive_improvement_share
canonical,outside_mask_region,loss_large,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_large,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,12592.026904296876,12266.9912109375,5624.2013851602205,2364.40380859375,20920.32421875,,,,
canonical,full_image,loss_small,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,833.8630584716797,806.9179382324219,231.81304740547216,455.7175598144531,1239.0440673828125,,,,
canonical,content_region,loss_small,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,1078.483056640625,984.0811462402344,311.4950110230997,708.48388671875,1635.02783203125,,,,
canonical,masked_region,loss_small,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,28025.19609375,27819.791015625,7553.583505528285,19224.056640625,40416.88671875,,,,
canonical,boundary_region,loss_small,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,13437.68505859375,13368.18603515625,3499.4025370988575,9520.361328125,19626.533203125,,,,
canonical,outside_mask_region,loss_small,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_small,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,2336.533728027344,2015.0250854492188,1174.1478609385993,1343.9593505859375,5177.18310546875,,,,
canonical,full_image,mixed_damage,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,2251.769708251953,2374.8048095703125,791.8861635765223,741.9506225585938,3497.8173828125,,,,
canonical,content_region,mixed_damage,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,2899.4042724609376,2908.0255126953125,1055.9174299117037,1153.4781494140625,4615.67626953125,,,,
canonical,masked_region,mixed_damage,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,28477.987109375,30850.7255859375,8975.403869408572,10678.6162109375,40647.34765625,,,,
canonical,boundary_region,mixed_damage,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,12794.806689453126,12964.4677734375,2988.76974126236,7227.77197265625,18420.806640625,,,,
canonical,outside_mask_region,mixed_damage,high_texture_brushwork,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
