case_id,painting_id,mask_id,mask_type,category,seed_count,heatmap_status,heatmap_png_path,overlay_png_path,compact_figure_path,heatmap_error_message
p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p011_mixed_damage_uncertainty_compact.png,
p011_scratch_thin,p011,p011_scratch_thin,scratch_thin,landscape_natural,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p011_scratch_thin_uncertainty_compact.png,
p018_loss_large,p018,p018_loss_large,loss_large,landscape_natural,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p018_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p018_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p018_loss_large_uncertainty_compact.png,
p018_loss_small,p018,p018_loss_small,loss_small,landscape_natural,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p018_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p018_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p018_loss_small_uncertainty_compact.png,
p018_mixed_damage,p018,p018_mixed_damage,mixed_damage,landscape_natural,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p018_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p018_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p018_mixed_damage_uncertainty_compact.png,
p018_scratch_thin,p018,p018_scratch_thin,scratch_thin,landscape_natural,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p018_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p018_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p018_scratch_thin_uncertainty_compact.png,
p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p021_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p021_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p021_loss_large_uncertainty_compact.png,
p021_loss_small,p021,p021_loss_small,loss_small,architecture_structured,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p021_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p021_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p021_loss_small_uncertainty_compact.png,
p021_mixed_damage,p021,p021_mixed_damage,mixed_damage,architecture_structured,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p021_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p021_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p021_mixed_damage_uncertainty_compact.png,
p021_scratch_thin,p021,p021_scratch_thin,scratch_thin,architecture_structured,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p021_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p021_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p021_scratch_thin_uncertainty_compact.png,
p026_loss_large,p026,p026_loss_large,loss_large,architecture_structured,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p026_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p026_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p026_loss_large_uncertainty_compact.png,
p026_loss_small,p026,p026_loss_small,loss_small,architecture_structured,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p026_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p026_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p026_loss_small_uncertainty_compact.png,
p026_mixed_damage,p026,p026_mixed_damage,mixed_damage,architecture_structured,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p026_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p026_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p026_mixed_damage_uncertainty_compact.png,
p026_scratch_thin,p026,p026_scratch_thin,scratch_thin,architecture_structured,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p026_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p026_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p026_scratch_thin_uncertainty_compact.png,
p031_loss_large,p031,p031_loss_large,loss_large,abstraction_surrealism,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p031_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p031_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p031_loss_large_uncertainty_compact.png,
p031_loss_small,p031,p031_loss_small,loss_small,abstraction_surrealism,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p031_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p031_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p031_loss_small_uncertainty_compact.png,
p031_mixed_damage,p031,p031_mixed_damage,mixed_damage,abstraction_surrealism,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p031_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p031_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p031_mixed_damage_uncertainty_compact.png,
p031_scratch_thin,p031,p031_scratch_thin,scratch_thin,abstraction_surrealism,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p031_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p031_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p031_scratch_thin_uncertainty_compact.png,
p037_loss_large,p037,p037_loss_large,loss_large,abstraction_surrealism,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p037_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p037_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p037_loss_large_uncertainty_compact.png,
p037_loss_small,p037,p037_loss_small,loss_small,abstraction_surrealism,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p037_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p037_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p037_loss_small_uncertainty_compact.png,
p037_mixed_damage,p037,p037_mixed_damage,mixed_damage,abstraction_surrealism,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p037_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p037_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p037_mixed_damage_uncertainty_compact.png,
p037_scratch_thin,p037,p037_scratch_thin,scratch_thin,abstraction_surrealism,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p037_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p037_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p037_scratch_thin_uncertainty_compact.png,
p041_loss_large,p041,p041_loss_large,loss_large,high_texture_brushwork,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p041_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p041_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p041_loss_large_uncertainty_compact.png,
p041_loss_small,p041,p041_loss_small,loss_small,high_texture_brushwork,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p041_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p041_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p041_loss_small_uncertainty_compact.png,
p041_mixed_damage,p041,p041_mixed_damage,mixed_damage,high_texture_brushwork,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p041_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p041_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p041_mixed_damage_uncertainty_compact.png,
p041_scratch_thin,p041,p041_scratch_thin,scratch_thin,high_texture_brushwork,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p041_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p041_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p041_scratch_thin_uncertainty_compact.png,
p043_loss_large,p043,p043_loss_large,loss_large,high_texture_brushwork,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p043_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p043_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p043_loss_large_uncertainty_compact.png,
p043_loss_small,p043,p043_loss_small,loss_small,high_texture_brushwork,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p043_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p043_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p043_loss_small_uncertainty_compact.png,
p043_mixed_damage,p043,p043_mixed_damage,mixed_damage,high_texture_brushwork,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p043_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p043_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p043_mixed_damage_uncertainty_compact.png,
p043_scratch_thin,p043,p043_scratch_thin,scratch_thin,high_texture_brushwork,4,ok,outputs/figures/uncertainty_heatmaps/heatmap_images/p043_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p043_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/all_cases/p043_scratch_thin_uncertainty_compact.png,
