case_id,painting_id,category,mask_type,overall_metric_vote,texture_winner_model
p018_loss_small,p018,landscape_natural,loss_small,lama,lama
p008_mixed_damage,p008,portrait_figure,mixed_damage,lama,lama
p044_mixed_damage,p044,high_texture_brushwork,mixed_damage,lama,lama
p021_loss_small,p021,architecture_structured,loss_small,lama,lama
p003_loss_small,p003,portrait_figure,loss_small,lama,lama
p004_mixed_damage,p004,portrait_figure,mixed_damage,lama,lama
p006_loss_large,p006,portrait_figure,loss_large,lama,lama
p024_loss_small,p024,architecture_structured,loss_small,lama,lama
p004_loss_small,p004,portrait_figure,loss_small,lama,lama
p037_mixed_damage,p037,abstraction_surrealism,mixed_damage,lama,lama
p048_loss_small,p048,high_texture_brushwork,loss_small,lama,lama
p022_loss_small,p022,architecture_structured,loss_small,lama,lama
p047_mixed_damage,p047,high_texture_brushwork,mixed_damage,lama,lama
p045_scratch_thin,p045,high_texture_brushwork,scratch_thin,lama,lama
p039_loss_small,p039,abstraction_surrealism,loss_small,lama,lama
p034_loss_small,p034,abstraction_surrealism,loss_small,lama,lama
p020_scratch_thin,p020,landscape_natural,scratch_thin,lama,lama
p040_loss_small,p040,abstraction_surrealism,loss_small,lama,lama
p038_loss_small,p038,abstraction_surrealism,loss_small,lama,lama
p014_loss_large,p014,landscape_natural,loss_large,lama,lama
p011_scratch_thin,p011,landscape_natural,scratch_thin,lama,lama
p039_mixed_damage,p039,abstraction_surrealism,mixed_damage,lama,lama
p043_mixed_damage,p043,high_texture_brushwork,mixed_damage,lama,lama
p014_loss_small,p014,landscape_natural,loss_small,lama,lama
p038_scratch_thin,p038,abstraction_surrealism,scratch_thin,lama,lama
p025_scratch_thin,p025,architecture_structured,scratch_thin,lama,lama
p013_scratch_thin,p013,landscape_natural,scratch_thin,lama,lama
p022_scratch_thin,p022,architecture_structured,scratch_thin,lama,lama
p028_loss_small,p028,architecture_structured,loss_small,lama,lama
p006_mixed_damage,p006,portrait_figure,mixed_damage,lama,lama
p044_loss_small,p044,high_texture_brushwork,loss_small,lama,lama
p008_scratch_thin,p008,portrait_figure,scratch_thin,lama,lama
p037_loss_small,p037,abstraction_surrealism,loss_small,lama,lama
p002_loss_small,p002,portrait_figure,loss_small,lama,lama
p032_mixed_damage,p032,abstraction_surrealism,mixed_damage,lama,lama
p045_loss_small,p045,high_texture_brushwork,loss_small,lama,lama
p047_loss_small,p047,high_texture_brushwork,loss_small,lama,lama
p006_loss_small,p006,portrait_figure,loss_small,lama,lama
p008_loss_large,p008,portrait_figure,loss_large,lama,lama
p005_scratch_thin,p005,portrait_figure,scratch_thin,lama,lama
p034_scratch_thin,p034,abstraction_surrealism,scratch_thin,lama,lama
p043_scratch_thin,p043,high_texture_brushwork,scratch_thin,lama,lama
p024_mixed_damage,p024,architecture_structured,mixed_damage,lama,lama
p004_loss_large,p004,portrait_figure,loss_large,lama,lama
p046_scratch_thin,p046,high_texture_brushwork,scratch_thin,lama,lama
p007_scratch_thin,p007,portrait_figure,scratch_thin,lama,lama
p021_scratch_thin,p021,architecture_structured,scratch_thin,lama,lama
p019_loss_small,p019,landscape_natural,loss_small,lama,lama
p018_scratch_thin,p018,landscape_natural,scratch_thin,lama,lama
p032_scratch_thin,p032,abstraction_surrealism,scratch_thin,lama,lama
p001_scratch_thin,p001,portrait_figure,scratch_thin,lama,lama
p008_loss_small,p008,portrait_figure,loss_small,lama,lama
p003_scratch_thin,p003,portrait_figure,scratch_thin,lama,lama
p006_scratch_thin,p006,portrait_figure,scratch_thin,lama,lama
p031_mixed_damage,p031,abstraction_surrealism,mixed_damage,lama,lama
p002_scratch_thin,p002,portrait_figure,scratch_thin,lama,lama
p001_loss_small,p001,portrait_figure,loss_small,lama,lama
p047_scratch_thin,p047,high_texture_brushwork,scratch_thin,lama,lama
p001_loss_large,p001,portrait_figure,loss_large,lama,lama
p044_scratch_thin,p044,high_texture_brushwork,scratch_thin,lama,lama
p012_loss_small,p012,landscape_natural,loss_small,lama,lama
p024_scratch_thin,p024,architecture_structured,scratch_thin,opencv_telea,opencv_telea
