dataset_name,mask_type,category,source_mask_semantics,lama_applicability,evaluation_region,metric,case_count,valid_count,mean,median,std,min,max
canonical,mixed_damage,abstraction_surrealism,binary_missing_content,primary,mask_bbox_crop,mae_improvement,10,10,9.900372031331063,9.369143187999725,3.8785738074062217,4.162097752094269,14.377728581428528
canonical,scratch_thin,abstraction_surrealism,binary_missing_content,primary,full_image,mae_improvement,10,10,1.8932765915989875,1.7716036587953568,0.9572118879747159,0.519496239721775,3.5964841842651367
canonical,scratch_thin,abstraction_surrealism,binary_missing_content,primary,content_region,mae_improvement,10,10,2.2707379713654516,2.3740401193499565,1.123600844071928,0.519496239721775,3.706275999546051
canonical,scratch_thin,abstraction_surrealism,binary_missing_content,primary,masked_region,mae_improvement,10,10,113.45789713859558,127.96344804763794,38.9731679203386,36.96601915359497,152.33393096923828
canonical,scratch_thin,abstraction_surrealism,binary_missing_content,primary,boundary_region,mae_improvement,10,10,41.45127426385879,48.279794454574585,13.713475054727494,14.826958060264587,52.65307807922363
canonical,scratch_thin,abstraction_surrealism,binary_missing_content,primary,outside_mask_region,mae_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,scratch_thin,abstraction_surrealism,binary_missing_content,primary,mask_bbox_crop,mae_improvement,10,10,2.3179110791534185,2.3692569956183434,1.0792943171181906,0.524274755269289,3.7452895045280457
canonical,zero_control,abstraction_surrealism,binary_missing_content,primary,full_image,mae_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,zero_control,abstraction_surrealism,binary_missing_content,primary,content_region,mae_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,loss_large,high_texture_brushwork,binary_missing_content,primary,full_image,mae_improvement,10,10,12.841492843627929,11.748690128326416,4.784911395829121,4.792945504188538,18.62478995323181
canonical,loss_large,high_texture_brushwork,binary_missing_content,primary,content_region,mae_improvement,10,10,16.302319142222405,15.318826258182526,5.403986951897696,7.45138081908226,23.334160089492798
canonical,loss_large,high_texture_brushwork,binary_missing_content,primary,masked_region,mae_improvement,10,10,132.2450092792511,135.45607662200928,33.96656036410971,68.61969900131226,175.23272705078125
canonical,loss_large,high_texture_brushwork,binary_missing_content,primary,boundary_region,mae_improvement,10,10,71.14569467306137,75.61607432365417,16.875137757335125,37.90793740749359,93.78349804878235
canonical,loss_large,high_texture_brushwork,binary_missing_content,primary,outside_mask_region,mae_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,loss_large,high_texture_brushwork,binary_missing_content,primary,mask_bbox_crop,mae_improvement,10,10,67.12002073526382,67.58020734786987,21.27437124460535,27.885677933692932,100.5056962966919
canonical,loss_small,high_texture_brushwork,binary_missing_content,primary,full_image,mae_improvement,10,10,4.436141450703144,4.3198065757751465,0.8894177494452014,2.6853762418031693,5.7006975710392
canonical,loss_small,high_texture_brushwork,binary_missing_content,primary,content_region,mae_improvement,10,10,5.720359346270561,5.3564267456531525,1.1092698758249702,4.174836069345474,7.522570312023163
canonical,loss_small,high_texture_brushwork,binary_missing_content,primary,masked_region,mae_improvement,10,10,148.50378065109254,151.02963066101074,24.43391623197306,117.69121551513672,185.95334148406982
canonical,loss_small,high_texture_brushwork,binary_missing_content,primary,boundary_region,mae_improvement,10,10,73.49916296005249,74.74626791477203,11.585316807789733,58.589210987091064,91.7128038406372
canonical,loss_small,high_texture_brushwork,binary_missing_content,primary,outside_mask_region,mae_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,loss_small,high_texture_brushwork,binary_missing_content,primary,mask_bbox_crop,mae_improvement,10,10,12.32568746805191,10.51514384150505,5.440111248235061,7.751340985298157,25.96291494369507
canonical,mixed_damage,high_texture_brushwork,binary_missing_content,primary,full_image,mae_improvement,10,10,11.691401121020316,12.070632547140121,2.9731154209540933,6.037254840135574,16.157194137573242
canonical,mixed_damage,high_texture_brushwork,binary_missing_content,primary,content_region,mae_improvement,10,10,15.08775674700737,14.970497757196426,3.939320892685492,9.38585352897644,21.32082962989807
canonical,mixed_damage,high_texture_brushwork,binary_missing_content,primary,masked_region,mae_improvement,10,10,148.42658796310425,154.57559156417847,31.973576552186,86.8919186592102,187.7590742111206
canonical,mixed_damage,high_texture_brushwork,binary_missing_content,primary,boundary_region,mae_improvement,10,10,66.40212755203247,67.57724225521088,11.748840473412752,42.94529366493225,85.06283450126648
canonical,mixed_damage,high_texture_brushwork,binary_missing_content,primary,outside_mask_region,mae_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,mixed_damage,high_texture_brushwork,binary_missing_content,primary,mask_bbox_crop,mae_improvement,10,10,14.88850781917572,14.765537649393082,3.656295066296932,9.091395080089569,20.750373601913452
canonical,scratch_thin,high_texture_brushwork,binary_missing_content,primary,full_image,mae_improvement,10,10,2.676905909180641,2.647519960999489,0.7751947993049494,1.5071151554584503,4.148320727050304
canonical,scratch_thin,high_texture_brushwork,binary_missing_content,primary,content_region,mae_improvement,10,10,3.431276694685221,3.4258338436484337,0.8672744613760015,2.245447412133217,4.600482597947121
canonical,scratch_thin,high_texture_brushwork,binary_missing_content,primary,masked_region,mae_improvement,10,10,162.44033479690552,166.002343416214,25.659333559537163,110.19371223449707,202.92412281036377
canonical,scratch_thin,high_texture_brushwork,binary_missing_content,primary,boundary_region,mae_improvement,10,10,59.98012135028839,61.89180088043213,10.019851638637252,40.04979109764099,73.70632219314575
canonical,scratch_thin,high_texture_brushwork,binary_missing_content,primary,outside_mask_region,mae_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,scratch_thin,high_texture_brushwork,binary_missing_content,primary,mask_bbox_crop,mae_improvement,10,10,3.580400566756725,3.728989504277706,0.6549193485329879,2.5423373132944107,4.452972114086151
canonical,zero_control,high_texture_brushwork,binary_missing_content,primary,full_image,mae_improvement,10,10,0.0,0.0,0.0,0.0,0.0
canonical,zero_control,high_texture_brushwork,binary_missing_content,primary,content_region,mae_improvement,10,10,0.0,0.0,0.0,0.0,0.0
damage_size,,portrait_figure,binary_missing_content,primary,full_image,mae_improvement,7,7,16.53976629461561,13.819568991661072,11.659171230601373,3.5154934227466583,36.38330852985382
damage_size,,portrait_figure,binary_missing_content,primary,content_region,mae_improvement,7,7,19.159186456884658,16.008185863494873,13.505646640759808,4.072245657444,42.14537465572357
damage_size,,portrait_figure,binary_missing_content,primary,masked_region,mae_improvement,7,7,204.1244615827288,203.9062156677246,4.434233688552288,199.85568046569824,210.4577751159668
damage_size,,portrait_figure,binary_missing_content,primary,boundary_region,mae_improvement,7,7,107.46016137940543,108.3724137544632,3.7442018370458956,100.99418187141418,111.11152529716492
damage_size,,portrait_figure,binary_missing_content,primary,outside_mask_region,mae_improvement,7,7,0.0,0.0,0.0,0.0,0.0
damage_size,,portrait_figure,binary_missing_content,primary,mask_bbox_crop,mae_improvement,7,7,108.68353138651166,107.57137775421143,7.423315700555766,97.91388440132141,118.58244800567627
damage_size,,landscape_natural,binary_missing_content,primary,full_image,mae_improvement,7,7,8.104939009462084,6.728458762168884,5.926088890668132,1.3691829442977905,18.190781116485596
damage_size,,landscape_natural,binary_missing_content,primary,content_region,mae_improvement,7,7,12.277304487568992,10.19222104549408,8.976797994672134,2.074028730392456,27.55526566505432
damage_size,,landscape_natural,binary_missing_content,primary,masked_region,mae_improvement,7,7,126.88452325548444,128.1334743499756,11.319183150188065,103.84171295166016,137.66882514953613
