dataset_name,evaluation_region,metric,case_count,valid_count,mean,median,std,min,max
synthetic_degradation,outside_mask_region,mse_improvement,50,50,0.0,0.0,0.0,0.0,0.0
synthetic_degradation,mask_bbox_crop,mse_improvement,50,50,-113.6720147728722,-7.229104518890381,205.59505162040878,-886.351806640625,0.0
canonical,full_image,mae_improvement,250,250,5.908744726464152,4.344277709722519,5.410238956645886,0.0,24.47186851501465
canonical,content_region,mae_improvement,250,250,7.721694872766733,5.7038771361112595,6.97167849639289,0.0,29.148914575576782
canonical,masked_region,mae_improvement,200,200,140.72185443878175,145.36900806427002,42.320930934176836,36.96601915359497,228.08351373672485
canonical,boundary_region,mae_improvement,200,200,64.71751709729433,66.44803869724274,19.2851188508176,14.826958060264587,110.67459654808044
canonical,outside_mask_region,mae_improvement,200,200,0.0,0.0,0.0,0.0,0.0
canonical,mask_bbox_crop,mae_improvement,200,200,23.27503731077537,11.559035018086433,27.885404611696448,0.524274755269289,115.84346294403076
damage_size,full_image,mae_improvement,35,35,10.069805905542204,7.880039155483246,8.003454861227759,1.3691829442977905,36.38330852985382
damage_size,content_region,mae_improvement,35,35,13.164582679952893,10.19222104549408,9.68980992216647,1.8867457956075668,42.14537465572357
damage_size,masked_region,mae_improvement,35,35,140.8279470716204,128.1334743499756,40.82913399096998,89.72101974487305,210.4577751159668
damage_size,boundary_region,mae_improvement,35,35,75.14558936868396,71.82702398300171,20.709474778784532,46.6223931312561,111.11152529716492
damage_size,outside_mask_region,mae_improvement,35,35,0.0,0.0,0.0,0.0,0.0
damage_size,mask_bbox_crop,mae_improvement,35,35,75.55045106751578,66.8942437171936,24.189218262494396,42.08711862564087,118.58244800567627
mask_robustness,full_image,mae_improvement,75,75,7.304962599923213,4.8793977200984955,5.664359076292132,1.3273247629404068,22.895330667495728
mask_robustness,content_region,mae_improvement,75,75,9.640985724528631,6.956629544496536,7.070251413375303,1.8074209690093994,26.521284580230713
mask_robustness,masked_region,mae_improvement,75,75,156.69037364959718,152.86805152893066,35.4210288161745,85.53115463256836,230.52768993377686
mask_robustness,boundary_region,mae_improvement,75,75,74.01192667007446,73.12233853340149,18.25985362701374,39.9480082988739,116.67595982551575
mask_robustness,outside_mask_region,mae_improvement,75,75,0.0,0.0,0.0,0.0,0.0
mask_robustness,mask_bbox_crop,mae_improvement,75,75,30.739477713306744,10.95157390832901,33.63912749323082,2.69302462041378,125.24347591400146
synthetic_degradation,full_image,mae_improvement,50,50,-0.7880599089458701,-0.09486954659223557,1.5361043723397823,-6.956502914428711,0.0
