artifact_type,source_stage,artifact_id,artifact_path,filename,extension,exists,file_size_bytes,row_count,json_key_count,expected_to_exist
batch4_selected_reference__clean_path,batch4,zero_control_largest_regression__sd24_0005__content_region__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,zero_control_largest_regression__sd24_0010__content_region__lpips,data/processed/clean/p002_clean.png,p002_clean.png,.png,True,339472,,,True
batch4_selected_reference__clean_path,batch4,zero_control_largest_regression__sd24_0015__content_region__lpips,data/processed/clean/p003_clean.png,p003_clean.png,.png,True,648764,,,True
batch4_selected_reference__clean_path,batch4,zero_control_largest_regression__sd24_0036__content_region__lpips,data/processed/clean/p004_clean.png,p004_clean.png,.png,True,709746,,,True
batch4_selected_reference__clean_path,batch4,zero_control_largest_regression__sd24_0037__content_region__lpips,data/processed/clean/p004_clean.png,p004_clean.png,.png,True,709746,,,True
batch4_selected_reference__clean_path,batch4,zero_control_largest_regression__sd24_0038__content_region__lpips,data/processed/clean/p004_clean.png,p004_clean.png,.png,True,709746,,,True
batch4_selected_reference__clean_path,batch4,zero_control_largest_regression__sd24_0039__content_region__lpips,data/processed/clean/p004_clean.png,p004_clean.png,.png,True,709746,,,True
batch4_selected_reference__clean_path,batch4,zero_control_largest_regression__sd24_0040__content_region__lpips,data/processed/clean/p004_clean.png,p004_clean.png,.png,True,709746,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__content_region__sd24_0003__content_region__lpips,data/processed/masked/p001_mixed_damage_damaged.png,p001_mixed_damage_damaged.png,.png,True,675436,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__content_region__sd24_0043__content_region__lpips,data/processed/masked/p005_mixed_damage_damaged.png,p005_mixed_damage_damaged.png,.png,True,707826,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__content_region__sd24_0188__content_region__lpips,data/processed/masked/p022_mixed_damage_damaged.png,p022_mixed_damage_damaged.png,.png,True,687563,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__content_region__sd24_0228__content_region__lpips,data/processed/masked/p026_mixed_damage_damaged.png,p026_mixed_damage_damaged.png,.png,True,698866,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__content_region__sd24_0263__content_region__lpips,data/processed/masked/p029_mixed_damage_damaged.png,p029_mixed_damage_damaged.png,.png,True,620364,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__content_region__sd24_0396__content_region__lpips,data/processed/masked/p044_mixed_damage_damaged.png,p044_mixed_damage_damaged.png,.png,True,712982,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__content_region__sd24_0397__content_region__lpips,data/processed/masked/p044_mixed_damage_damaged.png,p044_mixed_damage_damaged.png,.png,True,712982,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__content_region__sd24_0398__content_region__lpips,data/processed/masked/p044_mixed_damage_damaged.png,p044_mixed_damage_damaged.png,.png,True,712982,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__full_image__sd24_0003__full_image__lpips,data/processed/masked/p001_mixed_damage_damaged.png,p001_mixed_damage_damaged.png,.png,True,675436,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__full_image__sd24_0088__full_image__lpips,data/processed/masked/p010_mixed_damage_damaged.png,p010_mixed_damage_damaged.png,.png,True,894179,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__full_image__sd24_0089__full_image__lpips,data/processed/masked/p010_scratch_thin_damaged.png,p010_scratch_thin_damaged.png,.png,True,953926,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__full_image__sd24_0188__full_image__lpips,data/processed/masked/p022_mixed_damage_damaged.png,p022_mixed_damage_damaged.png,.png,True,687563,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__full_image__sd24_0228__full_image__lpips,data/processed/masked/p026_mixed_damage_damaged.png,p026_mixed_damage_damaged.png,.png,True,698866,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__full_image__sd24_0263__full_image__lpips,data/processed/masked/p029_mixed_damage_damaged.png,p029_mixed_damage_damaged.png,.png,True,620364,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__full_image__sd24_0396__full_image__lpips,data/processed/masked/p044_mixed_damage_damaged.png,p044_mixed_damage_damaged.png,.png,True,712982,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__full_image__sd24_0421__full_image__lpips,data/processed/masked/p047_mixed_damage_damaged.png,p047_mixed_damage_damaged.png,.png,True,746382,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__mask_bbox_crop__sd24_0001__mask_bbox_crop__lpips,data/processed/masked/p001_loss_large_damaged.png,p001_loss_large_damaged.png,.png,True,631126,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__mask_bbox_crop__sd24_0276__mask_bbox_crop__lpips,data/processed/masked/p032_loss_large_damaged.png,p032_loss_large_damaged.png,.png,True,624661,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__mask_bbox_crop__sd24_0459__mask_bbox_crop__lpips,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_02pct_damaged.png,p001__loss_large__size_02pct_damaged.png,.png,True,710313,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__mask_bbox_crop__sd24_0462__mask_bbox_crop__lpips,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_08pct_damaged.png,p001__loss_large__size_08pct_damaged.png,.png,True,666515,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__mask_bbox_crop__sd24_0463__mask_bbox_crop__lpips,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_10pct_damaged.png,p001__loss_large__size_10pct_damaged.png,.png,True,653852,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__mask_bbox_crop__sd24_0464__mask_bbox_crop__lpips,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_10pct_damaged.png,p001__loss_large__size_10pct_damaged.png,.png,True,653852,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__mask_bbox_crop__sd24_0467__mask_bbox_crop__lpips,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_10pct_damaged.png,p001__loss_large__size_10pct_damaged.png,.png,True,653852,,,True
batch4_selected_reference__damaged_path,batch4,strongest_improvement__mask_bbox_crop__sd24_0516__mask_bbox_crop__lpips,data/processed/damaged/mask_robustness/p001__loss_large__variant_03_damaged.png,p001__loss_large__variant_03_damaged.png,.png,True,634655,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__content_region__sd24_0669__content_region__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__mild_degraded.png,p001__dirt_dust__mild_degraded.png,.png,True,723879,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__content_region__sd24_0670__content_region__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__moderate_degraded.png,p001__dirt_dust__moderate_degraded.png,.png,True,723870,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__content_region__sd24_0671__content_region__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__content_region__sd24_0672__content_region__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__content_region__sd24_0673__content_region__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__content_region__sd24_0674__content_region__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__content_region__sd24_0675__content_region__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__content_region__sd24_0679__content_region__lpips,data/processed/degraded/synthetic_degradation/p001__discolouration__severe_degraded.png,p001__discolouration__severe_degraded.png,.png,True,722926,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__full_image__sd24_0669__full_image__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__mild_degraded.png,p001__dirt_dust__mild_degraded.png,.png,True,723879,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__full_image__sd24_0670__full_image__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__moderate_degraded.png,p001__dirt_dust__moderate_degraded.png,.png,True,723870,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__full_image__sd24_0671__full_image__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__full_image__sd24_0672__full_image__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__full_image__sd24_0673__full_image__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__full_image__sd24_0674__full_image__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__full_image__sd24_0675__full_image__lpips,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,p001__dirt_dust__severe_degraded.png,.png,True,723560,,,True
batch4_selected_reference__damaged_path,batch4,weakest_or_regressed__full_image__sd24_0679__full_image__lpips,data/processed/degraded/synthetic_degradation/p001__discolouration__severe_degraded.png,p001__discolouration__severe_degraded.png,.png,True,722926,,,True
