map_id,map_index,candidate_id,status,issue,map_asset_count,map_asset_types,error_map_version,boundary_width_pixels,boundary_mode,mask_threshold,error_vmin,error_vmax,improvement_vmin,improvement_vmax,damaged_error_map_filename,restored_error_map_filename,signed_improvement_map_filename,masked_signed_improvement_map_filename,boundary_signed_improvement_map_filename,mask_overlay_filename,boundary_overlay_filename,damaged_error_map_path,restored_error_map_path,signed_improvement_map_path,masked_signed_improvement_map_path,boundary_signed_improvement_map_path,mask_overlay_path,boundary_overlay_path,damaged_error_filename_length,restored_error_filename_length,signed_improvement_filename_length,masked_signed_improvement_filename_length,boundary_signed_improvement_filename_length,mask_overlay_filename_length,boundary_overlay_filename_length,damaged_error_file_size_bytes,restored_error_file_size_bytes,signed_improvement_file_size_bytes,masked_signed_improvement_file_size_bytes,boundary_signed_improvement_file_size_bytes,mask_overlay_file_size_bytes,boundary_overlay_file_size_bytes
dm_000001,1,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000001_der.png,dm_000001_rer.png,dm_000001_sig.png,dm_000001_msi.png,dm_000001_bsi.png,dm_000001_msk.png,dm_000001_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000001_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000001_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000001_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000001_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000001_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000001_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000001_bnd.png,17,17,17,17,17,17,17,104423,111713,86922,85116,14180,631126,632316
dm_000776,776,sd__syn__p026__blur__p00_generic__s2026__a3437785f3,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000776_der.png,dm_000776_rer.png,dm_000776_sig.png,dm_000776_msi.png,dm_000776_bsi.png,dm_000776_msk.png,dm_000776_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000776_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000776_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000776_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000776_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000776_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000776_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000776_bnd.png,17,17,17,17,17,17,17,42129,68012,34217,34485,4786,741101,741145
dm_000777,777,sd__syn__p026__blur__p00_generic__s2026__88b2266083,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000777_der.png,dm_000777_rer.png,dm_000777_sig.png,dm_000777_msi.png,dm_000777_bsi.png,dm_000777_msk.png,dm_000777_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000777_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000777_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000777_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000777_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000777_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000777_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000777_bnd.png,17,17,17,17,17,17,17,185162,277398,155181,155016,5161,681573,680486
dm_000778,778,sd__syn__p026__blur__p00_generic__s2026__d30f978c46,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000778_der.png,dm_000778_rer.png,dm_000778_sig.png,dm_000778_msi.png,dm_000778_bsi.png,dm_000778_msk.png,dm_000778_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000778_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000778_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000778_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000778_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000778_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000778_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000778_bnd.png,17,17,17,17,17,17,17,290702,396842,217219,216170,5388,619256,617799
dm_000779,779,sd__syn__p026__blur__p01_style_period__s2026__96ba8770dd,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000779_der.png,dm_000779_rer.png,dm_000779_sig.png,dm_000779_msi.png,dm_000779_bsi.png,dm_000779_msk.png,dm_000779_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000779_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000779_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000779_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000779_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000779_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000779_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000779_bnd.png,17,17,17,17,17,17,17,290702,397404,215597,214872,5388,619256,617799
dm_000780,780,sd__syn__p026__blur__p02_artist__s2026__204e75e8c4,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000780_der.png,dm_000780_rer.png,dm_000780_sig.png,dm_000780_msi.png,dm_000780_bsi.png,dm_000780_msk.png,dm_000780_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000780_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000780_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000780_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000780_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000780_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000780_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000780_bnd.png,17,17,17,17,17,17,17,290702,393881,215890,215119,5388,619256,617799
dm_000781,781,sd__syn__p026__blur__p03_artist_style_p__s2026__5fdc5b4ccd,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000781_der.png,dm_000781_rer.png,dm_000781_sig.png,dm_000781_msi.png,dm_000781_bsi.png,dm_000781_msk.png,dm_000781_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000781_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000781_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000781_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000781_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000781_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000781_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000781_bnd.png,17,17,17,17,17,17,17,290702,395811,216968,215934,5388,619256,617799
dm_000782,782,sd__syn__p026__blur__p04_full_context__s2026__e6a124d5a3,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000782_der.png,dm_000782_rer.png,dm_000782_sig.png,dm_000782_msi.png,dm_000782_bsi.png,dm_000782_msk.png,dm_000782_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000782_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000782_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000782_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000782_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000782_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000782_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000782_bnd.png,17,17,17,17,17,17,17,290702,396819,219662,218826,5388,619256,617799
dm_000783,783,sd__syn__p026__dirt_dust__p00_generic__s2026__61df8ef5c8,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000783_der.png,dm_000783_rer.png,dm_000783_sig.png,dm_000783_msi.png,dm_000783_bsi.png,dm_000783_msk.png,dm_000783_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000783_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000783_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000783_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000783_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000783_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000783_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000783_bnd.png,17,17,17,17,17,17,17,4396,9499,8999,9791,12066,754191,757187
dm_000784,784,sd__syn__p026__dirt_dust__p00_generic__s2026__510cb7fde0,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000784_der.png,dm_000784_rer.png,dm_000784_sig.png,dm_000784_msi.png,dm_000784_bsi.png,dm_000784_msk.png,dm_000784_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000784_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000784_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000784_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000784_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000784_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000784_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000784_bnd.png,17,17,17,17,17,17,17,9195,22273,18531,20787,20658,745912,749559
dm_000785,785,sd__syn__p026__dirt_dust__p00_generic__s2026__2686f762cd,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000785_der.png,dm_000785_rer.png,dm_000785_sig.png,dm_000785_msi.png,dm_000785_bsi.png,dm_000785_msk.png,dm_000785_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000785_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000785_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000785_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000785_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000785_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000785_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000785_bnd.png,17,17,17,17,17,17,17,32016,61762,39019,43652,31375,736773,738696
dm_000786,786,sd__syn__p026__dirt_dust__p01_style_period__s2026__2f36ac63eb,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000786_der.png,dm_000786_rer.png,dm_000786_sig.png,dm_000786_msi.png,dm_000786_bsi.png,dm_000786_msk.png,dm_000786_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000786_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000786_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000786_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000786_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000786_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000786_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000786_bnd.png,17,17,17,17,17,17,17,32016,61657,39111,43574,31325,736773,738696
